Availability,Context_Identifier,Execution_Id,Feed_Code,Record_Create_By,Record_Create_Date,Site,Source,Source_Country,color,description,material,name,price,product_id,size
OutofStock,/au/skincare/serums-concentrate/c/6x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 10:29:40.133784,https://www.chanel.com,https://www.chanel.com/au/skincare/p/140885/n1-de-chanel-revitalizing-serum-prevents-and-corrects-the-appearance-of-the-5-signs-of-ageing/,Australia,,PREVENTS AND CORRECTS THE APPEARANCE OF THE 5 SIGNS OF AGEING.,,N°1 DE CHANEL REVITALIZING SERUM,AUD220,140885,"50 ml ,30 ml "
OutofStock,/au/skincare/treatment/c/6x1x12/,,aeid5473,aeid5473_chanel,2022-11-03 10:29:40.133784,https://www.chanel.com,https://www.chanel.com/au/skincare/p/142550/sublimage-lextrait-intense-restoring-treatment/,Australia,,INTENSE RESTORING TREATMENT,,SUBLIMAGE L’EXTRAIT,AUD685,142550,
OutofStock,/au/skincare/moisturisers/c/6x1x5/,,aeid5473,aeid5473_chanel,2022-11-03 10:29:40.133784,https://www.chanel.com,https://www.chanel.com/au/skincare/p/141180/sublimage-lextrait-de-creme-ultimate-revitalising-and-restoring-cream/,Australia,,ULTIMATE REVITALISING AND RESTORING CREAM,,SUBLIMAGE L’EXTRAIT DE CRÈME,AUD745,141180,
OutofStock,/au/skincare/serums-concentrate/c/6x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 10:29:40.133784,https://www.chanel.com,https://www.chanel.com/au/skincare/p/144460/sublimage-lextrait-de-nuit-regenerating-and-repairing-night-concentrate/,Australia,,REGENERATING AND REPAIRING NIGHT CONCENTRATE,,SUBLIMAGE L’EXTRAIT DE NUIT,AUD845,144460,
OutofStock,/au/makeup/eyes/c/5x1x4/,,aeid5473,aeid5473_chanel,2022-11-03 10:29:40.133784,https://www.chanel.com,https://www.chanel.com/au/makeup/p/151018/les-4-ombres-tweed-multi-effect-quadra-eyeshadow/,Australia,01 - TWEED CUIVRÉ,MULTI-EFFECT QUADRA EYESHADOW,,LES 4 OMBRES TWEED,AUD140,151018,
OutofStock,/au/skincare/moisturisers/c/6x1x5/,,aeid5473,aeid5473_chanel,2022-11-03 10:29:40.133784,https://www.chanel.com,https://www.chanel.com/au/skincare/p/141130/sublimage-la-creme-ultimate-skin-revitalisation/,Australia,,ULTIMATE SKIN REVITALISATION,,SUBLIMAGE LA CRÈME,AUD535,141130,
OutofStock,/au/skincare/moisturisers/c/6x1x5/,,aeid5473,aeid5473_chanel,2022-11-03 10:29:40.133784,https://www.chanel.com,https://www.chanel.com/au/skincare/p/141140/sublimage-la-creme-ultimate-skin-revitalisation-texture-supreme/,Australia,,ULTIMATE SKIN REVITALISATION - TEXTURE SUPRÊME,,SUBLIMAGE LA CRÈME,AUD535,141140,
OutofStock,/au/skincare/moisturisers/c/6x1x5/,,aeid5473,aeid5473_chanel,2022-11-03 10:29:40.133784,https://www.chanel.com,https://www.chanel.com/au/skincare/p/141180/sublimage-lextrait-de-creme-ultimate-revitalising-and-restoring-cream/,Australia,,ULTIMATE REVITALISING AND RESTORING CREAM,,SUBLIMAGE L’EXTRAIT DE CRÈME,AUD745,141180,
OutofStock,/au/makeup/lips/c/5x1x1/,,aeid5473,aeid5473_chanel,2022-11-03 10:29:40.133784,https://www.chanel.com,https://www.chanel.com/au/makeup/p/145385/n1-de-chanel-lip-and-cheek-balm-enhances-colour-nourishes-plumps/,Australia,,ENHANCES COLOUR - NOURISHES - PLUMPS,,N°1 DE CHANEL LIP AND CHEEK BALM,AUD75,145385,
OutofStock,/au/fragrance/women/c/7x1x1/,,aeid5473,aeid5473_chanel,2022-11-03 10:29:40.133784,https://www.chanel.com,https://www.chanel.com/au/fragrance/p/116400/coco-mademoiselle-eau-de-parfum-twist-and-spray/,Australia,,EAU DE PARFUM TWIST AND SPRAY,,COCO MADEMOISELLE,AUD207,116400,
