Availability,Context_Identifier,Execution_Id,Feed_Code,Record_Create_By,Record_Create_Date,Site,Source,Source_Country,color,description,material,name,price,product_id,size
OutofStock,/at/make-up/pinsel-und-accessoires/c/5x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 10:53:21.389012,https://www.chanel.com,https://www.chanel.com/at/make-up/p/137500/miroir-double-facettes-taschenspiegel-mit-zwei-facetten/,Austria,,TASCHENSPIEGEL MIT ZWEI FACETTEN,,MIROIR DOUBLE FACETTES,35 €,137500,
InStock,/at/hautpflege/augen-und-lippenpflege/c/6x1x2/,,aeid5473,aeid5473_chanel,2022-11-03 10:53:21.389012,https://www.chanel.com,https://www.chanel.com/at/hautpflege/p/141160/sublimage-la-creme-yeux-ultimative-regeneration-fuer-die-augenkontur/,Austria,,ULTIMATIVE REGENERATION FÜR DIE AUGENKONTUR,,SUBLIMAGE LA CRÈME YEUX,180 €,141160,
InStock,/at/hautpflege/cremes/c/6x1x5/,,aeid5473,aeid5473_chanel,2022-11-03 10:53:21.389012,https://www.chanel.com,https://www.chanel.com/at/hautpflege/p/141180/sublimage-lextrait-de-creme-ultimative-regeneration/,Austria,,ULTIMATIVE REGENERATION,,SUBLIMAGE L’EXTRAIT DE CRÈME,530 €,141180,
InStock,/at/hautpflege/cremes/c/6x1x5/,,aeid5473,aeid5473_chanel,2022-11-03 10:53:21.389012,https://www.chanel.com,https://www.chanel.com/at/hautpflege/p/141130/sublimage-la-creme-ultimative-regeneration-der-haut/,Austria,,ULTIMATIVE REGENERATION DER HAUT,,SUBLIMAGE LA CRÈME,360 €,141130,
InStock,/at/hautpflege/cremes/c/6x1x5/,,aeid5473,aeid5473_chanel,2022-11-03 10:53:21.389012,https://www.chanel.com,https://www.chanel.com/at/hautpflege/p/141140/sublimage-la-creme-texture-supreme-ultimative-regeneration-der-haut/,Austria,,ULTIMATIVE REGENERATION DER HAUT,,SUBLIMAGE LA CRÈME Texture Suprême,360 €,141140,
InStock,/at/make-up/pinsel-und-accessoires/c/5x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 10:53:21.389012,https://www.chanel.com,https://www.chanel.com/at/make-up/p/138856/pinceau-duo-contour-yeux-retractable-n201-doppelseitiger-pinsel-definieren-und-verblenden/,Austria,,DOPPELSEITIGER PINSEL: DEFINIEREN UND VERBLENDEN,,PINCEAU DUO CONTOUR YEUX RÉTRACTABLE N°201,49 €,138856,
InStock,/at/make-up/augen/c/5x1x4/,,aeid5473,aeid5473_chanel,2022-11-03 10:53:21.389012,https://www.chanel.com,https://www.chanel.com/at/make-up/p/151048/les-4-ombres-tweed-lidschatten-mit-vielfaeltigen-effekten/,Austria,04 - TWEED BRUN ET ROSE,LIDSCHATTEN MIT VIELFÄLTIGEN EFFEKTEN,,LES 4 OMBRES TWEED,78 €,151048,
InStock,/at/make-up/lippen/c/5x1x1/,,aeid5473,aeid5473_chanel,2022-11-03 10:53:21.389012,https://www.chanel.com,https://www.chanel.com/at/make-up/p/145382/n1-de-chanel-balsam-fuer-lippen-und-wangen-schenkt-farbe-naehrt-polstert-auf/,Austria,,SCHENKT FARBE - NÄHRT - POLSTERT AUF,,N°1 DE CHANEL BALSAM FÜR LIPPEN UND WANGEN,45 €,145382,
InStock,/at/parfum/damen/c/7x1x1/,,aeid5473,aeid5473_chanel,2022-11-03 10:53:21.389012,https://www.chanel.com,https://www.chanel.com/at/parfum/p/116830/coco-mademoiselle-koerpercreme/,Austria,,KÖRPERCREME,,COCO MADEMOISELLE,82 €,116830,
OutofStock,/at/uhren/monsieur-de-chanel/c/4x2x6/,,aeid5473,aeid5473_chanel,2022-11-03 10:53:21.389012,https://www.chanel.com,https://www.chanel.com/at/uhren/p/H6596/monsieur-de-chanel-uhr/,Austria,Schwarz,"BEIGEGOLD, Opalin-Zifferblatt mit springender Stunde und 240° retrograder Minute",BEIGEGOLD,MONSIEUR DE CHANEL Uhr,46 200 €,H6596,
