Availability,Context_Identifier,Execution_Id,Feed_Code,Record_Create_By,Record_Create_Date,Site,Source,Source_Country,color,description,material,name,price,product_id,size
InStock,/be-fr/maquillage/yeux/c/5x1x4/,,aeid5473,aeid5473_chanel,2022-11-03 11:12:19.873716,https://www.chanel.com,https://www.chanel.com/be-fr/maquillage/p/151048/les-4-ombres-tweed-ombres-a-paupieres-effets-multiples/,Belgium,04 - TWEED BRUN ET ROSE,OMBRES À PAUPIÈRES EFFETS MULTIPLES,,LES 4 OMBRES TWEED,78 €,151048,
InStock,/be-fr/maquillage/yeux/c/5x1x4/,,aeid5473,aeid5473_chanel,2022-11-03 11:12:19.873716,https://www.chanel.com,https://www.chanel.com/be-fr/maquillage/p/187615/le-crayon-khol-crayon-khol/,Belgium,61 - NOIR,CRAYON KHÔL,,LE CRAYON KHÔL,25 €,187615,
InStock,/be-fr/maquillage/yeux/c/5x1x4/,,aeid5473,aeid5473_chanel,2022-11-03 11:12:19.873716,https://www.chanel.com,https://www.chanel.com/be-fr/maquillage/p/187014/stylo-yeux-waterproof-contour-des-yeux-longue-tenue/,Belgium,10 - ÉBÈNE,CONTOUR DES YEUX LONGUE TENUE,,STYLO YEUX WATERPROOF,27 €,187014,
InStock,/be-fr/maquillage/yeux/c/5x1x4/,,aeid5473,aeid5473_chanel,2022-11-03 11:12:19.873716,https://www.chanel.com,https://www.chanel.com/be-fr/maquillage/p/182204/stylo-ombre-et-contour-ombre-a-paupieres-liner-khol/,Belgium,04 - ELECTRIC BROWN,OMBRE À PAUPIÈRES - LINER - KHÔL,,STYLO OMBRE ET CONTOUR,33 €,182204,
InStock,/be-fr/maquillage/yeux/c/5x1x4/,,aeid5473,aeid5473_chanel,2022-11-03 11:12:19.873716,https://www.chanel.com,https://www.chanel.com/be-fr/maquillage/p/187516/le-liner-de-chanel-eye-liner-liquide-haute-precision-longue-tenue-et-waterproof/,Belgium,516 - ROUGE NOIR,"EYE-LINER LIQUIDE HAUTE PRECISION, LONGUE TENUE ET WATERPROOF",,LE LINER DE CHANEL,37 €,187516,
InStock,/be-fr/maquillage/yeux/c/5x1x4/,,aeid5473,aeid5473_chanel,2022-11-03 11:12:19.873716,https://www.chanel.com,https://www.chanel.com/be-fr/maquillage/p/181014/le-crayon-yeux-crayon-contour-des-yeux-precision/,Belgium,01 - NOIR BLACK,CRAYON CONTOUR DES YEUX PRÉCISION,,LE CRAYON YEUX,25 €,181014,
InStock,/be-fr/maquillage/yeux/c/5x1x4/,,aeid5473,aeid5473_chanel,2022-11-03 11:12:19.873716,https://www.chanel.com,https://www.chanel.com/be-fr/maquillage/p/184190/les-beiges-palette-regard-palette-regard-belle-mine-naturelle/,Belgium,TENDER,PALETTE REGARD BELLE MINE NATURELLE,,LES BEIGES PALETTE REGARD,60 €,184190,
InStock,/be-fr/maquillage/yeux/c/5x1x4/,,aeid5473,aeid5473_chanel,2022-11-03 11:12:19.873716,https://www.chanel.com,https://www.chanel.com/be-fr/maquillage/p/175028/ombre-premiere-laque-ombre-a-paupieres-liquide-longue-tenue/,Belgium,28 - DESERT WIND,OMBRE À PAUPIÈRES LIQUIDE LONGUE TENUE,,OMBRE PREMIÈRE LAQUE,34 €,175028,
InStock,/be-fr/soins/serums/c/6x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 11:12:19.873716,https://www.chanel.com,https://www.chanel.com/be-fr/soins/p/140885/n1-de-chanel-serum-revitalisant-previent-et-corrige-lapparence-des-5-signes-de-lage/,Belgium,,PRÉVIENT ET CORRIGE L’APPARENCE DES 5 SIGNES DE L’ÂGE,,N°1 DE CHANEL SÉRUM REVITALISANT,138 €,140885,"50 ml ,30 ml "
InStock,/be-fr/parfums/femmes/c/7x1x1/,,aeid5473,aeid5473_chanel,2022-11-03 11:12:19.873716,https://www.chanel.com,https://www.chanel.com/be-fr/parfums/p/125530/n5-eau-de-parfum-vaporisateur/,Belgium,,EAU DE PARFUM VAPORISATEUR,,N°5,147 €,125530,"100 ml ,35 ml ,50 ml ,200 ml "
InStock,/be-fr/maquillage/teint/c/5x1x6/,,aeid5473,aeid5473_chanel,2022-11-03 11:12:19.873716,https://www.chanel.com,https://www.chanel.com/be-fr/soins/p/147140/sublimage-lessence-de-teint-serum-de-teint-ultime-generateur-declat/,Belgium,,SÉRUM DE TEINT ULTIME GÉNÉRATEUR D’ÉCLAT,,SUBLIMAGE L’ESSENCE DE TEINT,145 €,147140,
InStock,/be-fr/maquillage/yeux/c/5x1x4/,,aeid5473,aeid5473_chanel,2022-11-03 11:12:19.873716,https://www.chanel.com,https://www.chanel.com/be-fr/maquillage/p/151937/les-4-ombres-creation-exclusive-ombre-a-paupieres-effets-multiples-edition-ombres-de-lune/,Belgium,937 - OMBRES DE LUNE,OMBRE À PAUPIÈRES EFFETS MULTIPLES - ÉDITION OMBRES DE LUNE,,LES 4 OMBRES - CRÉATION EXCLUSIVE,57 €,151937,
OutofStock,/be-fr/joaillerie/coco-crush/c/3x2x5/,,aeid5473,aeid5473_chanel,2022-11-03 11:12:19.873716,https://www.chanel.com,https://www.chanel.com/be-fr/joaillerie/p/J11785/bague-coco-crush/,Belgium,Beige,"Motif matelassé, mini modèle, OR BEIGE 18 carats",OR BEIGE,Bague Coco Crush,1 640 €,J11785,
InStock,/be-fr/maquillage/yeux/c/5x1x4/,,aeid5473,aeid5473_chanel,2022-11-03 11:12:19.873716,https://www.chanel.com,https://www.chanel.com/be-fr/maquillage/p/182450/la-palette-sourcils-duo-sourcils-cire-et-poudre-avec-accessoires/,Belgium,01 - LIGHT,DUO SOURCILS CIRE ET POUDRE AVEC ACCESSOIRES,,LA PALETTE SOURCILS,52 €,182450,
