Availability,Context_Identifier,Execution_Id,Feed_Code,Record_Create_By,Record_Create_Date,Site,Source,Source_Country,color,description,material,name,price,product_id,size
InStock,/br/skincare/brumas/c/6x1x10/,,aeid5473,aeid5473_chanel,2022-11-03 11:48:02.573071,https://www.chanel.com,https://www.chanel.com/br/skincare/p/141170/sublimage-la-brume-bruma-revitalizante-e-intensa/,Brazil,,BRUMA REVITALIZANTE E INTENSA,,SUBLIMAGE LA BRUME:,R$ 1.560,141170,
OutofStock,/br/skincare/serum-concentrados/c/6x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 11:48:02.573071,https://www.chanel.com,https://www.chanel.com/br/skincare/p/140885/n1-de-chanel-serum-revitalizante-previne-e-atenua-a-aparencia-dos-5-sinais-do-envelhecimento/,Brazil,,PREVINE E ATENUA A APARENCIA DOS 5 SINAIS DO ENVELHECIMENTO<br>,,N°1 DE CHANEL SÉRUM REVITALIZANTE,R$ 1.250,140885,
InStock,/br/skincare/mascaras-e-esfoliantes/c/6x1x7/,,aeid5473,aeid5473_chanel,2022-11-03 11:48:02.573071,https://www.chanel.com,https://www.chanel.com/br/skincare/p/144350/sublimage-les-grains-de-vanille-esfoliante-facial-com-sementes-de-baunilha-purificador-e-revelador-da-radiancia/,Brazil,,ESFOLIANTE FACIAL COM SEMENTES DE BAUNILHA PURIFICADOR E REVELADOR DA RADIÂNCIA,,SUBLIMAGE LES GRAINS DE VANILLE,R$ 1.095,144350,
InStock,/br/skincare/limpeza-facial-demaquilantes/c/6x1x4/,,aeid5473,aeid5473_chanel,2022-11-03 11:48:02.573071,https://www.chanel.com,https://www.chanel.com/br/skincare/p/144360/sublimage-gel-to-oil-cleanser-gel-a-oleo-de-limpeza-para-um-conforto-radiante-maximo/,Brazil,,GEL-A-OLEO DE LIMPEZA  PARA  UM CONFORTO RADIANTE MÁXIMO,,SUBLIMAGE GEL-TO-OIL CLEANSER,R$ 860,144360,
InStock,/br/skincare/serum-concentrados/c/6x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 11:48:02.573071,https://www.chanel.com,https://www.chanel.com/br/skincare/p/144460/sublimage-lextrait-de-nuit-concentrado-noturno-reparador-e-regenerador/,Brazil,,CONCENTRADO NOTURNO REPARADOR E REGENERADOR,,SUBLIMAGE L’EXTRAIT DE NUIT,R$ 5.850,144460,
InStock,/br/skincare/mascaras-e-esfoliantes/c/6x1x7/,,aeid5473,aeid5473_chanel,2022-11-03 11:48:02.573071,https://www.chanel.com,https://www.chanel.com/br/skincare/p/142520/sublimage-masque-mascara-regeneradora-essencial/,Brazil,,MÁSCARA REGENERADORA ESSENCIAL,,SUBLIMAGE MASQUE,R$ 1.560,142520,
InStock,/br/maquiagem/pinceis-e-acessorios/c/5x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 11:48:02.573071,https://www.chanel.com,https://www.chanel.com/br/maquiagem/p/137880/le-recourbe-cils-de-chanel-curvador-de-cilios/,Brazil,,CURVADOR DE CÍLIOS,,LE RECOURBE CILS DE CHANEL,R$ 235,137880,
InStock,/br/skincare/olhos-e-labios/c/6x1x2/,,aeid5473,aeid5473_chanel,2022-11-03 11:48:02.573071,https://www.chanel.com,https://www.chanel.com/br/skincare/p/141680/le-lift-eye-cream-suaviza-firma/,Brazil,,SUAVIZA - FIRMA,,LE LIFT EYE CREAM,R$ 820,141680,
OutofStock,/br/maquiagem/face/c/5x1x6/,,aeid5473,aeid5473_chanel,2022-11-03 11:48:02.573071,https://www.chanel.com,https://www.chanel.com/br/maquiagem/p/184920/les-beiges-eau-de-blush/,Brazil,LIGHT PEACH,EAU DE BLUSH,,LES BEIGES ,R$ 395,184920,
InStock,/br/maquiagem/face/c/5x1x6/,,aeid5473,aeid5473_chanel,2022-11-03 11:48:02.573071,https://www.chanel.com,https://www.chanel.com/br/maquiagem/p/185390/creme-bronzeador-de-brilho-saudavel-bronzeador-em-creme-gel-para-um-brilho-saudavel-e-bronzeado/,Brazil,390 - SOLEIL TAN BRONZE,BRONZEADOR EM CREME-GEL PARA UM BRILHO SAUDÁVEL E BRONZEADO,,CREME BRONZEADOR DE BRILHO SAUDÁVEL,R$ 395,185390,
