Availability,Context_Identifier,Execution_Id,Feed_Code,Record_Create_By,Record_Create_Date,Site,Source,Source_Country,color,description,material,name,price,product_id,size
OutofStock,/bg/makeup/brushes-and-accessories/c/5x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 12:04:41.271350,https://www.chanel.com,https://www.chanel.com/bg/makeup/p/137500/miroir-double-facettes-mirror-duo/,Bulgaria,,MIRROR DUO,,MIROIR DOUBLE FACETTES,37 €,137500,
InStock,/bg/makeup/brushes-and-accessories/c/5x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 12:04:41.271350,https://www.chanel.com,https://www.chanel.com/bg/makeup/p/138856/pinceau-duo-contour-yeux-retractable-n201-dual-ended-brush-defines-and-blends/,Bulgaria,,DUAL-ENDED BRUSH: DEFINES AND BLENDS,,PINCEAU DUO CONTOUR YEUX RÉTRACTABLE N°201,51 €,138856,
InStock,/bg/skincare/serums-concentrates/c/6x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 12:04:41.271350,https://www.chanel.com,https://www.chanel.com/bg/skincare/p/140885/n1-de-chanel-revitalizing-serum-prevents-and-corrects-the-appearance-of-the-5-signs-of-aging/,Bulgaria,,PREVENTS AND CORRECTS THE APPEARANCE OF THE 5 SIGNS OF AGING,,N°1 DE CHANEL REVITALIZING SERUM,145 €,140885,"50 ml ,30 ml "
OutofStock,/bg/makeup/brushes-and-accessories/c/5x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 12:04:41.271350,https://www.chanel.com,https://www.chanel.com/bg/makeup/p/138841/pinceau-estompe-teint-n102-fluid-foundation-blending-brush/,Bulgaria,,FLUID FOUNDATION-BLENDING BRUSH,,PINCEAU ESTOMPE TEINT N°102 ,51 €,138841,
OutofStock,/bg/makeup/brushes-and-accessories/c/5x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 12:04:41.271350,https://www.chanel.com,https://www.chanel.com/bg/makeup/p/138844/angled-eyeliner-brush-n206-powder-and-cream-eyeliner-brush/,Bulgaria,,POWDER AND CREAM EYELINER BRUSH,,ANGLED EYELINER BRUSH N°206,29 €,138844,
OutofStock,/bg/makeup/brushes-and-accessories/c/5x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 12:04:41.271350,https://www.chanel.com,https://www.chanel.com/bg/makeup/p/186097/les-beiges-oversize-kabuki-brush-oversize-kabuki-brush-for-face-and-body/,Bulgaria,,OVERSIZE KABUKI BRUSH FOR FACE AND BODY.,,LES BEIGES OVERSIZE KABUKI BRUSH,53 €,186097,
InStock,/bg/makeup/brushes-and-accessories/c/5x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 12:04:41.271350,https://www.chanel.com,https://www.chanel.com/bg/makeup/p/138846/petit-pinceau-kabuki-kabuki-brush/,Bulgaria,,KABUKI BRUSH,,PETIT PINCEAU KABUKI,51 €,138846,
OutofStock,/bg/makeup/brushes-and-accessories/c/5x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 12:04:41.271350,https://www.chanel.com,https://www.chanel.com/bg/makeup/p/138845/pinceau-fond-de-teint-retractable-n103-retractable-foundation-brush/,Bulgaria,,RETRACTABLE FOUNDATION BRUSH,,PINCEAU FOND DE TEINT RETRACTABLE N°103 ,51 €,138845,
InStock,/bg/makeup/brushes-and-accessories/c/5x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 12:04:41.271350,https://www.chanel.com,https://www.chanel.com/bg/makeup/p/138847/pinceau-poudre-n106-powder-brush/,Bulgaria,,POWDER BRUSH,,PINCEAU POUDRE N°106,59 €,138847,
InStock,/bg/fragrance/women/c/7x1x1/,,aeid5473,aeid5473_chanel,2022-11-03 12:04:41.271350,https://www.chanel.com,https://www.chanel.com/bg/fragrance/p/125530/n5-eau-de-parfum-spray/,Bulgaria,,EAU DE PARFUM SPRAY,,N°5,154 €,125530,"100 ml ,35 ml ,50 ml ,200 ml "
