Availability,Context_Identifier,Execution_Id,Feed_Code,Record_Create_By,Record_Create_Date,Site,Source,Source_Country,color,description,material,name,price,product_id,size
OutofStock,/dk/watches/monsieur/c/4x2x6/,,aeid5473,aeid5473_chanel,2022-11-03 13:04:50.005016,https://www.chanel.com,https://www.chanel.com/dk/watches/p/H6432/monsieur-blue-edition-watch/,Denmark,Blue,White gold and grained navy blue dial with jumping hour and 240° retrograde minute,White gold,Monsieur. Blue Edition Watch,344 200 DKK,H6432,
OutofStock,/dk/watches/monsieur/c/4x2x6/,,aeid5473,aeid5473_chanel,2022-11-03 13:04:50.005016,https://www.chanel.com,https://www.chanel.com/dk/watches/p/H6672/monsieur-watch/,Denmark,Black,"White gold, opaline dial with jumping hour and 240° retrograde minute",White gold,Monsieur Watch,340 300 DKK,H6672,
OutofStock,/dk/watches/monsieur/c/4x2x6/,,aeid5473,aeid5473_chanel,2022-11-03 13:04:50.005016,https://www.chanel.com,https://www.chanel.com/dk/watches/p/H6823/monsieur-superleggera-edition-watch/,Denmark,Black,"Matte black highly resistant ceramic and steel, matte black guilloché type dial with jumping hour and 240° retrograde minute",Matte black ceramic,Monsieur. Superleggera Edition Watch,327 000 DKK,H6823,
OutofStock,/dk/watches/monsieur/c/4x2x6/,,aeid5473,aeid5473_chanel,2022-11-03 13:04:50.005016,https://www.chanel.com,https://www.chanel.com/dk/watches/p/H6596/monsieur-watch/,Denmark,Black,"BEIGE GOLD, opaline dial with jumping hour and 240° retrograde minute",BEIGE GOLD,Monsieur Watch,361 400 DKK,H6596,
OutofStock,/dk/watches/premiere/c/4x2x2/,,aeid5473,aeid5473_chanel,2022-11-03 13:04:50.005016,https://www.chanel.com,https://www.chanel.com/dk/watches/p/H3249/premiere-gourmette-chain-watch/,Denmark,White,"Small version, steel, white mother-of-pearl dial",Steel,Première Gourmette Chain Watch,34 000 DKK,H3249,
OutofStock,/dk/watches/code-coco/c/4x2x8/,,aeid5473,aeid5473_chanel,2022-11-03 13:04:50.005016,https://www.chanel.com,https://www.chanel.com/dk/watches/p/H6027/code-coco-watch/,Denmark,Black,"Black highly resistant ceramic, steel and diamonds",Steel,CODE COCO watch,129 100 DKK,H6027,
OutofStock,/dk/watches/monsieur/c/4x2x6/,,aeid5473,aeid5473_chanel,2022-11-03 13:04:50.005016,https://www.chanel.com,https://www.chanel.com/dk/watches/p/H6216/monsieur-marble-edition-watch/,Denmark,Black,"Matte black highly resistant ceramic and steel, black marble dial with jumping hour and 240° retrograde minute",Matte black ceramic,Monsieur. Marble Edition Watch,262 100 DKK,H6216,
InStock,/dk/skincare/serums-concentrates/c/6x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 13:04:50.005016,https://www.chanel.com,https://www.chanel.com/dk/skincare/p/140885/n1-de-chanel-revitalizing-serum-prevents-and-corrects-the-appearance-of-the-5-signs-of-aging/,Denmark,,PREVENTS AND CORRECTS THE APPEARANCE OF THE 5 SIGNS OF AGING,,N°1 DE CHANEL REVITALIZING SERUM,1 120 DKK,140885,"50 ml ,30 ml "
InStock,/dk/makeup/nails/c/5x1x7/,,aeid5473,aeid5473_chanel,2022-11-03 13:04:50.005016,https://www.chanel.com,https://www.chanel.com/dk/makeup/p/158250/la-base-camelia-fortifying-protecting-and-smoothing-base-coat/,Denmark,,"FORTIFYING, PROTECTING AND SMOOTHING BASE COAT",,LA BASE CAMÉLIA,255 DKK,158250,
InStock,/dk/makeup/lips/c/5x1x1/,,aeid5473,aeid5473_chanel,2022-11-03 13:04:50.005016,https://www.chanel.com,https://www.chanel.com/dk/makeup/p/145382/n1-de-chanel-lip-and-cheek-balm-enhances-colour-nourishes-plumps/,Denmark,,ENHANCES COLOUR - NOURISHES - PLUMPS,,N°1 DE CHANEL LIP AND CHEEK BALM,365 DKK,145382,
