Availability,Context_Identifier,Execution_Id,Feed_Code,Record_Create_By,Record_Create_Date,Site,Source,Source_Country,color,description,material,name,price,product_id,size
OutofStock,/gr/makeup/nails/c/5x1x7/,,aeid5473,aeid5473_chanel,2022-11-03 14:36:12.326681,https://www.chanel.com,https://www.chanel.com/gr/makeup/p/158250/la-base-camelia-fortifying-protecting-and-smoothing-base-coat/,Greece,,"FORTIFYING, PROTECTING AND SMOOTHING BASE COAT",,LA BASE CAMÉLIA,,158250,
OutofStock,/gr/makeup/nails/c/5x1x7/,,aeid5473,aeid5473_chanel,2022-11-03 14:36:12.326681,https://www.chanel.com,https://www.chanel.com/gr/makeup/p/159634/le-vernis-longwear-nail-colour/,Greece,,LONGWEAR NAIL COLOUR,,LE VERNIS,, 159634,
OutofStock,/gr/makeup/nails/c/5x1x7/,,aeid5473,aeid5473_chanel,2022-11-03 14:36:12.326681,https://www.chanel.com,https://www.chanel.com/gr/makeup/p/195404/boy-de-chanel-le-vernis-matte-nail-colour-easy-to-apply-quick-drying/,Greece,,"MATTE NAIL COLOUR. EASY TO APPLY, QUICK DRYING.",,BOY DE CHANEL LE VERNIS,, 195404,
OutofStock,/gr/makeup/nails/c/5x1x7/,,aeid5473,aeid5473_chanel,2022-11-03 14:36:12.326681,https://www.chanel.com,https://www.chanel.com/gr/makeup/p/195402/boy-de-chanel-le-vernis-matte-nail-colour-easy-to-apply-quick-drying/,Greece,402 - NATURAL,"MATTE NAIL COLOUR. EASY TO APPLY, QUICK DRYING.",,BOY DE CHANEL LE VERNIS,,195402,
OutofStock,/gr/makeup/nails/c/5x1x7/,,aeid5473,aeid5473_chanel,2022-11-03 14:36:12.326681,https://www.chanel.com,https://www.chanel.com/gr/makeup/p/159965/le-vernis-longwear-nail-colour/,Greece,,LONGWEAR NAIL COLOUR,,LE VERNIS,, 159965,
OutofStock,/gr/makeup/nails/c/5x1x7/,,aeid5473,aeid5473_chanel,2022-11-03 14:36:12.326681,https://www.chanel.com,https://www.chanel.com/gr/makeup/p/159628/le-vernis-longwear-nail-colour/,Greece,,LONGWEAR NAIL COLOUR,,LE VERNIS,, 159628,
OutofStock,/gr/makeup/brushes-and-accessories/c/5x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 14:36:12.326681,https://www.chanel.com,https://www.chanel.com/gr/makeup/p/137500/miroir-double-facettes-mirror-duo/,Greece,,MIRROR DUO,,MIROIR DOUBLE FACETTES,,137500,
OutofStock,/gr/makeup/lips/c/5x1x1/,,aeid5473,aeid5473_chanel,2022-11-03 14:36:12.326681,https://www.chanel.com,https://www.chanel.com/gr/makeup/p/145382/n1-de-chanel-lip-and-cheek-balm-enhances-colour-nourishes-plumps/,Greece,,ENHANCES COLOUR - NOURISHES - PLUMPS,,N°1 DE CHANEL LIP AND CHEEK BALM,,145382,
OutofStock,/gr/skincare/serums-concentrates/c/6x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 14:36:12.326681,https://www.chanel.com,https://www.chanel.com/gr/skincare/p/140885/n1-de-chanel-revitalizing-serum-prevents-and-corrects-the-appearance-of-the-5-signs-of-aging/,Greece,,PREVENTS AND CORRECTS THE APPEARANCE OF THE 5 SIGNS OF AGING,,N°1 DE CHANEL REVITALIZING SERUM,,140885,"50 ml ,30 ml "
OutofStock,/gr/fragrance/bath-and-body/c/7x1x7/,,aeid5473,aeid5473_chanel,2022-11-03 14:36:12.326681,https://www.chanel.com,https://www.chanel.com/gr/fragrance/p/116945/coco-mademoiselle-moisturising-body-lotion/,Greece,,MOISTURISING BODY LOTION,,COCO MADEMOISELLE,,116945,
