Availability,Context_Identifier,Execution_Id,Feed_Code,Record_Create_By,Record_Create_Date,Site,Source,Source_Country,color,description,material,name,price,product_id,size
OutofStock,/hk-en/fine-jewellery/camelia/c/3x2x1/,,aeid5473,aeid5473_chanel,2022-11-03 14:53:54.091634,https://www.chanel.com,https://www.chanel.com/hk-en/fine-jewellery/p/J11669/petales-de-camelia-ring/,Hong Kong S.A.R,Yellow,"18K yellow gold, diamond",Yellow gold,Pétales de Camélia ring,"HKD 83,200",J11669,
OutofStock,/hk-en/fine-jewellery/camelia/c/3x2x1/,,aeid5473,aeid5473_chanel,2022-11-03 14:53:54.091634,https://www.chanel.com,https://www.chanel.com/hk-en/fine-jewellery/p/J11859/extrait-de-camelia-transformable-ring/,Hong Kong S.A.R,Pink,"18K pink gold, diamonds",Pink gold,Extrait de Camélia transformable ring,"HKD 87,700",J11859,
OutofStock,/hk-en/fine-jewellery/coco-crush/c/3x2x5/,,aeid5473,aeid5473_chanel,2022-11-03 14:53:54.091634,https://www.chanel.com,https://www.chanel.com/hk-en/fine-jewellery/p/J11785/coco-crush-ring/,Hong Kong S.A.R,Beige,"Quilted motif, 18K BEIGE GOLD. Mini version.",BEIGE GOLD,Coco Crush ring,"HKD 12,200",J11785,
OutofStock,/hk-en/fine-jewellery/camelia/c/3x2x1/,,aeid5473,aeid5473_chanel,2022-11-03 14:53:54.091634,https://www.chanel.com,https://www.chanel.com/hk-en/fine-jewellery/p/J11873/extrait-de-camelia-charms-ring/,Hong Kong S.A.R,Gold,"18K yellow gold, diamonds",Yellow gold,Extrait de Camélia Charms ring,"HKD 58,600",J11873,
OutofStock,/hk-en/fine-jewellery/camelia/c/3x2x1/,,aeid5473,aeid5473_chanel,2022-11-03 14:53:54.091634,https://www.chanel.com,https://www.chanel.com/hk-en/fine-jewellery/p/J11670/petales-de-camelia-ring/,Hong Kong S.A.R,Yellow,"18K yellow gold, diamond",Yellow gold,Pétales de Camélia ring,"HKD 70,500",J11670,
OutofStock,/hk-en/fine-jewellery/camelia/c/3x2x1/,,aeid5473,aeid5473_chanel,2022-11-03 14:53:54.091634,https://www.chanel.com,https://www.chanel.com/hk-en/fine-jewellery/p/J11188/bouton-de-camelia-ring/,Hong Kong S.A.R,White,"18K white gold, diamonds",White gold,Bouton de Camélia ring,"HKD 48,800",J11188,
OutofStock,/hk-en/fine-jewellery/camelia/c/3x2x1/,,aeid5473,aeid5473_chanel,2022-11-03 14:53:54.091634,https://www.chanel.com,https://www.chanel.com/hk-en/fine-jewellery/p/J11662/extrait-de-camelia-ring/,Hong Kong S.A.R,Pink,"18K pink gold, diamond",Pink gold,Extrait de Camélia ring,"HKD 21,600",J11662,
OutofStock,/hk-en/makeup/lips/c/5x1x1/,,aeid5473,aeid5473_chanel,2022-11-03 14:53:54.091634,https://www.chanel.com,https://www.chanel.com/hk-en/makeup/p/149165/rouge-allure-le-coffret-set-of-4-liquid-lipsticks/,Hong Kong S.A.R,,SET OF 4 LIQUID LIPSTICKS,,ROUGE ALLURE LE COFFRET ,"HKD 1,220",149165,
OutofStock,/hk-en/makeup/brushes-and-accessories/c/5x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 14:53:54.091634,https://www.chanel.com,https://www.chanel.com/hk-en/makeup/p/137500/miroir-double-facettes-mirror-duo/,Hong Kong S.A.R,,MIRROR DUO,,MIROIR DOUBLE FACETTES,HKD 260,137500,
OutofStock,/hk-en/makeup/complexion/c/5x1x6/,,aeid5473,aeid5473_chanel,2022-11-03 14:53:54.091634,https://www.chanel.com,https://www.chanel.com/hk-en/makeup/p/184920/les-beiges-water-fresh-blush/,Hong Kong S.A.R,LIGHT PEACH,WATER-FRESH BLUSH,,LES BEIGES ,HKD 480,184920,
