Availability,Context_Identifier,Execution_Id,Feed_Code,Record_Create_By,Record_Create_Date,Site,Source,Source_Country,color,description,material,name,price,product_id,size
OutofStock,/hu/skincare/moisturisers/c/6x1x5/,,aeid5473,aeid5473_chanel,2022-11-03 15:01:34.342012,https://www.chanel.com,https://www.chanel.com/hu/skincare/p/141180/sublimage-lextrait-de-creme-ultimate-revitalising-and-restoring-cream/,Hungary,,ULTIMATE REVITALISING AND RESTORING CREAM,,SUBLIMAGE L'EXTRAIT DE CRÈME,,141180,
OutofStock,/hu/skincare/eyes-lips/c/6x1x2/,,aeid5473,aeid5473_chanel,2022-11-03 15:01:34.342012,https://www.chanel.com,https://www.chanel.com/hu/skincare/p/141160/sublimage-la-creme-yeux-ultimate-revitalisation-eye-cream/,Hungary,,ULTIMATE REVITALISATION EYE CREAM,,SUBLIMAGE LA CRÈME YEUX,,141160,
OutofStock,/hu/skincare/moisturisers/c/6x1x5/,,aeid5473,aeid5473_chanel,2022-11-03 15:01:34.342012,https://www.chanel.com,https://www.chanel.com/hu/skincare/p/141130/sublimage-la-creme-ultimate-skin-revitalisation/,Hungary,,ULTIMATE SKIN REVITALISATION,,SUBLIMAGE LA CRÈME,,141130,
OutofStock,/hu/skincare/moisturisers/c/6x1x5/,,aeid5473,aeid5473_chanel,2022-11-03 15:01:34.342012,https://www.chanel.com,https://www.chanel.com/hu/skincare/p/141120/sublimage-la-creme-ultimate-skin-revitalisation-texture-fine/,Hungary,,ULTIMATE SKIN REVITALISATION - TEXTURE FINE,,SUBLIMAGE LA CRÈME,,141120,
OutofStock,/hu/skincare/moisturisers/c/6x1x5/,,aeid5473,aeid5473_chanel,2022-11-03 15:01:34.342012,https://www.chanel.com,https://www.chanel.com/hu/skincare/p/141140/sublimage-la-creme-ultimate-skin-revitalisation-texture-supreme/,Hungary,,ULTIMATE SKIN REVITALISATION - TEXTURE SUPRÊME,,SUBLIMAGE LA CRÈME,,141140,
OutofStock,/hu/skincare/eyes-lips/c/6x1x2/,,aeid5473,aeid5473_chanel,2022-11-03 15:01:34.342012,https://www.chanel.com,https://www.chanel.com/hu/skincare/p/147890/sublimage-lessence-fondamentale-yeux-redefining-and-radiance-renewing-eye-serum/,Hungary,,REDEFINING AND RADIANCE-RENEWING EYE SERUM,,SUBLIMAGE L'ESSENCE FONDAMENTALE YEUX ,,147890,
OutofStock,/hu/skincare/eyes-lips/c/6x1x2/,,aeid5473,aeid5473_chanel,2022-11-03 15:01:34.342012,https://www.chanel.com,https://www.chanel.com/hu/skincare/p/141680/le-lift-eye-cream-smooths-firms/,Hungary,,SMOOTHS - FIRMS,,LE LIFT EYE CREAM,,141680,
OutofStock,/hu/makeup/brushes-and-accessories/c/5x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 15:01:34.342012,https://www.chanel.com,https://www.chanel.com/hu/makeup/p/138856/pinceau-duo-contour-yeux-retractable-n201-dual-ended-brush-defines-and-blends/,Hungary,,DUAL-ENDED BRUSH: DEFINES AND BLENDS,,PINCEAU DUO CONTOUR YEUX RÉTRACTABLE N°201,,138856,
OutofStock,/hu/makeup/lips/c/5x1x1/,,aeid5473,aeid5473_chanel,2022-11-03 15:01:34.342012,https://www.chanel.com,https://www.chanel.com/hu/makeup/p/163817/rouge-allure-lextrait-high-intensity-lip-colour-concentrated-radiance-and-care-refillable/,Hungary,817,HIGH-INTENSITY LIP COLOUR CONCENTRATED RADIANCE AND CARE REFILLABLE,,ROUGE ALLURE L'EXTRAIT,,163817,
OutofStock,/hu/makeup/boy-de-chanel/c/5x1x10/,,aeid5473,aeid5473_chanel,2022-11-03 15:01:34.342012,https://www.chanel.com,https://www.chanel.com/hu/makeup/p/195782/boy-de-chanel-foundation-subtle-and-longwearing-complexion-enhancer/,Hungary,N°20 - LIGHT,SUBTLE AND LONGWEARING COMPLEXION ENHANCER,,BOY DE CHANEL FOUNDATION,,195782,
OutofStock,/hu/watches/monsieur/c/4x2x6/,,aeid5473,aeid5473_chanel,2022-11-03 15:01:34.342012,https://www.chanel.com,https://www.chanel.com/hu/watches/p/H6432/monsieur-blue-edition-watch/,Hungary,Blue,White gold and grained navy blue dial with jumping hour and 240° retrograde minute,White gold,Monsieur. Blue Edition Watch,,H6432,
OutofStock,/hu/watches/monsieur/c/4x2x6/,,aeid5473,aeid5473_chanel,2022-11-03 15:01:34.342012,https://www.chanel.com,https://www.chanel.com/hu/watches/p/H6672/monsieur-watch/,Hungary,Black,"White gold, opaline dial with jumping hour and 240° retrograde minute",White gold,Monsieur Watch,,H6672,
OutofStock,/hu/skincare/moisturisers/c/6x1x5/,,aeid5473,aeid5473_chanel,2022-11-03 15:01:34.342012,https://www.chanel.com,https://www.chanel.com/hu/skincare/p/141070/hydra-beauty-micro-creme-fortifying-replenishing-hydration/,Hungary,,FORTIFYING REPLENISHING HYDRATION,,HYDRA BEAUTY MICRO CRÈME,,141070,
OutofStock,/hu/skincare/toners-lotions/c/6x1x9/,,aeid5473,aeid5473_chanel,2022-11-03 15:01:34.342012,https://www.chanel.com,https://www.chanel.com/hu/skincare/p/143170/hydra-beauty-lotion-very-moist-hydration-protection-radiance/,Hungary,,HYDRATION PROTECTION RADIANCE,,HYDRA BEAUTY LOTION VERY MOIST,,143170,
OutofStock,/hu/skincare/toners-lotions/c/6x1x9/,,aeid5473,aeid5473_chanel,2022-11-03 15:01:34.342012,https://www.chanel.com,https://www.chanel.com/hu/skincare/p/141020/hydra-beauty-micro-liquid-essence-refining-energising-hydration/,Hungary,,REFINING ENERGISING HYDRATION,,HYDRA BEAUTY MICRO LIQUID ESSENCE,,141020,
OutofStock,/hu/fine-jewellery/camelia/c/3x2x1/,,aeid5473,aeid5473_chanel,2022-11-03 15:01:34.342012,https://www.chanel.com,https://www.chanel.com/hu/fine-jewellery/p/J12071/bouton-de-camelia-necklace/,Hungary,White,"18K white gold, diamonds",White gold,Bouton de Camélia necklace,,J12071,
OutofStock,/hu/eyewear/optical/c/2x1x2/,,aeid5473,aeid5473_chanel,2022-11-03 15:01:34.342012,https://www.chanel.com,https://www.chanel.com/hu/eyewear/p/A75242X08101V388852MOCCI/cat-eye-eyeglasses-black/,Hungary,Black,Black,Acetate,Cat Eye Eyeglasses,,A75242X08101V388852MOCCI,"Medium (52 mm) ,Large (54 mm) "
OutofStock,/hu/makeup/nails/c/5x1x7/,,aeid5473,aeid5473_chanel,2022-11-03 15:01:34.342012,https://www.chanel.com,https://www.chanel.com/hu/makeup/p/159504/le-vernis-longwear-nail-colour/,Hungary,,LONGWEAR NAIL COLOUR,,LE VERNIS,, 159504,
