Availability,Context_Identifier,Execution_Id,Feed_Code,Record_Create_By,Record_Create_Date,Site,Source,Source_Country,color,description,material,name,price,product_id,size
InStock,/it/skincare/sieri/c/6x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 15:26:25.784296,https://www.chanel.com,https://www.chanel.com/it/skincare/p/140885/n1dechanel-siero-rivitalizzante-prevenire-e-correggere-i-cinque-segni-del-tempo/,Italy,,PREVENIRE E CORREGGERE I CINQUE SEGNI DEL TEMPO,,N°1 DE CHANEL SIERO RIVITALIZZANTE ,138 €,140885,"50 ml ,30 ml "
InStock,/it/skincare/sieri/c/6x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 15:26:25.784296,https://www.chanel.com,https://www.chanel.com/it/skincare/p/141490/sublimage-lessence-lumiere-suprema-perfezione-della-pelle/,Italy,,SUPREMA PERFEZIONE DELLA PELLE,,SUBLIMAGE L’ESSENCE LUMIÈRE,415 €,141490,
InStock,/it/skincare/creme/c/6x1x5/,,aeid5473,aeid5473_chanel,2022-11-03 15:26:25.784296,https://www.chanel.com,https://www.chanel.com/it/skincare/p/144290/sublimage-la-creme-lumiere-rigenerazione-suprema-e-luminosita/,Italy,,RIGENERAZIONE SUPREMA E LUMINOSITÀ,,SUBLIMAGE LA CRÈME LUMIÈRE ,380 €,144290,
InStock,/it/skincare/tonici-lozioni/c/6x1x9/,,aeid5473,aeid5473_chanel,2022-11-03 15:26:25.784296,https://www.chanel.com,https://www.chanel.com/it/skincare/p/144260/sublimage-la-lotion-lumiere-exfoliante-lozione-esfoliante-rigeneratrice-di-luminosita/,Italy,,LOZIONE ESFOLIANTE RIGENERATRICE DI LUMINOSITÀ,,SUBLIMAGE LA LOTION LUMIÈRE EXFOLIANTE,150 €,144260,
InStock,/it/profumi/uomo/c/7x1x2/,,aeid5473,aeid5473_chanel,2022-11-03 15:26:25.784296,https://www.chanel.com,https://www.chanel.com/it/profumi/p/107180/bleu-de-chanel-parfum-vaporizzatore/,Italy,,PARFUM VAPORIZZATORE,,BLEU DE CHANEL,145 €,107180,"100 ml ,50 ml ,150 ml "
InStock,/it/skincare/sieri/c/6x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 15:26:25.784296,https://www.chanel.com,https://www.chanel.com/it/skincare/p/141190/sublimage-lessence-fondamentale-suprema-densita-della-pelle/,Italy,,SUPREMA DENSITÀ DELLA PELLE,,SUBLIMAGE L’ESSENCE FONDAMENTALE,405 €,141190,
InStock,/it/skincare/creme/c/6x1x5/,,aeid5473,aeid5473_chanel,2022-11-03 15:26:25.784296,https://www.chanel.com,https://www.chanel.com/it/skincare/p/140240/le-lift-fluide-leviga-rassoda-opacizza/,Italy,,LEVIGA - RASSODA - OPACIZZA,,LE LIFT FLUIDE,120 €,140240,
OutofStock,/it/skincare/accessori-da-massaggio/c/6x1x14/,,aeid5473,aeid5473_chanel,2022-11-03 15:26:25.784296,https://www.chanel.com,https://www.chanel.com/it/skincare/p/141880/le-lift-pro-massage-tool-correggere-ridefinire-levigare/,Italy,,CORREGGERE - RIDEFINIRE - LEVIGARE,,LE LIFT PRO MASSAGE TOOL,79 €,141880,
InStock,/it/skincare/creme/c/6x1x5/,,aeid5473,aeid5473_chanel,2022-11-03 15:26:25.784296,https://www.chanel.com,https://www.chanel.com/it/skincare/p/141740/le-lift-pro-creme-volume-correggere-ridefinire-rimpolpare/,Italy,,CORREGGERE - RIDEFINIRE - RIMPOLPARE,,LE LIFT PRO CRÈME VOLUME,150 €,141740,
InStock,/it/profumi/donna/c/7x1x1/,,aeid5473,aeid5473_chanel,2022-11-03 15:26:25.784296,https://www.chanel.com,https://www.chanel.com/it/profumi/p/105120/n5-eau-de-toilette-twist-and-spray/,Italy,,EAU DE TOILETTE TWIST AND SPRAY,,N°5,107 €,105120,"3x20 ml ,3x20 ml Ricarica "
InStock,/it/make-up/unghie/c/5x1x7/,,aeid5473,aeid5473_chanel,2022-11-03 15:26:25.784296,https://www.chanel.com,https://www.chanel.com/it/make-up/p/159895/le-vernis-lunga-tenuta/,Italy,,LUNGA TENUTA,,LE VERNIS,27 €, 159895,
InStock,/it/make-up/labbra/c/5x1x1/,,aeid5473,aeid5473_chanel,2022-11-03 15:26:25.784296,https://www.chanel.com,https://www.chanel.com/it/make-up/p/145382/n1dechanel-balsamo-labbra-e-guance-esaltare-il-colore-nutrire-rimpolpare/,Italy,,ESALTARE IL COLORE - NUTRIRE - RIMPOLPARE,,N°1 DE CHANEL BALSAMO LABBRA E GUANCE,45 €,145382,
OutofStock,/it/gioielleria/coco-crush/c/3x2x5/,,aeid5473,aeid5473_chanel,2022-11-03 15:26:25.784296,https://www.chanel.com,https://www.chanel.com/it/gioielleria/p/J11785/anello-coco-crush/,Italy,Beige,"Motivo matelassé modello mini, in ORO BEIGE 18 carati",ORO BEIGE,Anello Coco Crush,1 640 €,J11785,
InStock,/it/make-up/unghie/c/5x1x7/,,aeid5473,aeid5473_chanel,2022-11-03 15:26:25.784296,https://www.chanel.com,https://www.chanel.com/it/make-up/p/158250/la-base-camelia-la-base-fortificante-protettiva-e-levigante/,Italy,,"LA BASE FORTIFICANTE, PROTETTIVA E LEVIGANTE",,LA BASE CAMÉLIA,32 €,158250,
InStock,/it/make-up/unghie/c/5x1x7/,,aeid5473,aeid5473_chanel,2022-11-03 15:26:25.784296,https://www.chanel.com,https://www.chanel.com/it/make-up/p/159014/le-vernis-lunga-tenuta/,Italy,,LUNGA TENUTA,,LE VERNIS,28 €, 159014,
InStock,/it/make-up/unghie/c/5x1x7/,,aeid5473,aeid5473_chanel,2022-11-03 15:26:25.784296,https://www.chanel.com,https://www.chanel.com/it/make-up/p/159500/le-vernis-lunga-tenuta/,Italy,,LUNGA TENUTA,,LE VERNIS,28 €, 159500,
InStock,/it/skincare/creme/c/6x1x5/,,aeid5473,aeid5473_chanel,2022-11-03 15:26:25.784296,https://www.chanel.com,https://www.chanel.com/it/skincare/p/141070/hydra-beauty-micro-creme-idratante-rimpolpante-rivitalizzante/,Italy,,IDRATANTE RIMPOLPANTE RIVITALIZZANTE,,HYDRA BEAUTY MICRO CRÈME,84 €,141070,
InStock,/it/make-up/occhi/c/5x1x4/,,aeid5473,aeid5473_chanel,2022-11-03 15:26:25.784296,https://www.chanel.com,https://www.chanel.com/it/make-up/p/184190/les-beiges-palette-regard-palette-occhi-effetto-radioso-e-naturale/,Italy,TENDER,PALETTE OCCHI EFFETTO RADIOSO E NATURALE,,LES BEIGES PALETTE REGARD,58 €,184190,
InStock,/it/make-up/labbra/c/5x1x1/,,aeid5473,aeid5473_chanel,2022-11-03 15:26:25.784296,https://www.chanel.com,https://www.chanel.com/it/make-up/p/145382/n1dechanel-balsamo-labbra-e-guance-esaltare-il-colore-nutrire-rimpolpare/,Italy,,ESALTARE IL COLORE - NUTRIRE - RIMPOLPARE,,N°1 DE CHANEL BALSAMO LABBRA E GUANCE,45 €,145382,
InStock,/it/make-up/occhi/c/5x1x4/,,aeid5473,aeid5473_chanel,2022-11-03 15:26:25.784296,https://www.chanel.com,https://www.chanel.com/it/make-up/p/183750/signature-de-chanel-stilo-eyeliner-intensita-e-lunga-tenuta/,Italy,10 - NOIR,STILO EYELINER INTENSITÀ E LUNGA TENUTA,,SIGNATURE DE CHANEL,40 €,183750,
InStock,/it/make-up/colorito/c/5x1x6/,,aeid5473,aeid5473_chanel,2022-11-03 15:26:25.784296,https://www.chanel.com,https://www.chanel.com/it/make-up/p/145764/n1dechanel-fondotinta-rivitalizzante-illuminare-idratare-proteggere/,Italy,,ILLUMINARE - IDRATARE - PROTEGGERE,,N°1 DE CHANEL FONDOTINTA RIVITALIZZANTE ,70 €,145764,
InStock,/it/make-up/unghie/c/5x1x7/,,aeid5473,aeid5473_chanel,2022-11-03 15:26:25.784296,https://www.chanel.com,https://www.chanel.com/it/make-up/p/158350/le-gel-coat-gel-coat/,Italy,,GEL COAT,,LE GEL COAT,28 €,158350,
InStock,/it/make-up/unghie/c/5x1x7/,,aeid5473,aeid5473_chanel,2022-11-03 15:26:25.784296,https://www.chanel.com,https://www.chanel.com/it/make-up/p/158340/le-top-coat-brillantezza-e-asciugatura-rapida/,Italy,,BRILLANTEZZA E ASCIUGATURA RAPIDA,,LE TOP COAT,28 €,158340,
InStock,/it/make-up/colorito/c/5x1x6/,,aeid5473,aeid5473_chanel,2022-11-03 15:26:25.784296,https://www.chanel.com,https://www.chanel.com/it/make-up/p/144930/la-base-illuminatrice-base-colorito-rimpolpante-e-protettiva/,Italy,,BASE COLORITO RIMPOLPANTE E PROTETTIVA,,LA BASE ILLUMINATRICE,46 €,144930,
InStock,/it/make-up/colorito/c/5x1x6/,,aeid5473,aeid5473_chanel,2022-11-03 15:26:25.784296,https://www.chanel.com,https://www.chanel.com/it/make-up/p/132212/poudre-universelle-libre-cipria-satinata-trasparente-per-il-viso/,Italy,12,CIPRIA SATINATA TRASPARENTE PER IL VISO,,POUDRE UNIVERSELLE LIBRE,50 €,132212,
OutofStock,/it/moda/calzature/c/1x1x5/,,aeid5473,aeid5473_chanel,2022-11-03 15:26:25.784296,https://www.chanel.com,https://www.chanel.com/it/moda/p/G39245X56681K4357/decollete-pelle-di-capretto-lucida-perle-fantasia/,Italy,Beige & nero,"Pelle di capretto lucida & perle fantasia, Beige & nero",Pelle di capretto lucida & perle fantasia,Decolleté,1 350 €,G39245X56681K4357,
OutofStock,/it/moda/calzature/c/1x1x5/,,aeid5473,aeid5473_chanel,2022-11-03 15:26:25.784296,https://www.chanel.com,https://www.chanel.com/it/moda/p/G39620X5632694305/stivali-gomma/,Italy,Nero,Gomma,,Stivali,1 150 €,"
               G39620 X56326 94305",1 in
InStock,/it/make-up/colorito/c/5x1x6/,,aeid5473,aeid5473_chanel,2022-11-03 15:26:25.784296,https://www.chanel.com,https://www.chanel.com/it/skincare/p/144270/sublimage-le-soin-perfecteur-trattamento-idratante-e-illuminante/,Italy,,TRATTAMENTO IDRATANTE E ILLUMINANTE,,SUBLIMAGE LE SOIN PERFECTEUR,240 €,144270,
OutofStock,/it/moda/pret-a-porter/l/1x1x9/the-looks/,,aeid5473,aeid5473_chanel,2022-11-03 15:26:25.784296,https://www.chanel.com,https://www.chanel.com/it/moda/p/P73723C65360NK803/trench-pelle-di-agnello/,Italy,Marrone chiaro,"Pelle di agnello, Marrone chiaro",Pelle di agnello,Trench,14 950 €,P73723C65360NK803,
InStock,/it/make-up/unghie/c/5x1x7/,,aeid5473,aeid5473_chanel,2022-11-03 15:26:25.784296,https://www.chanel.com,https://www.chanel.com/it/make-up/p/159012/le-vernis-lunga-tenuta/,Italy,08 - PIRATE,LUNGA TENUTA,,LE VERNIS,28 €,159012,
OutofStock,/it/moda/pret-a-porter/l/1x1x9/the-looks/,,aeid5473,aeid5473_chanel,2022-11-03 15:26:25.784296,https://www.chanel.com,https://www.chanel.com/it/moda/p/P73636V65139NK280/gonna-tweed-di-lana/,Italy,Grigio & nero,"Tweed di lana, Grigio & nero",Tweed di lana,Gonna,2 200 €,P73636V65139NK280,
OutofStock,/it/moda/pret-a-porter/l/1x1x9/the-looks/,,aeid5473,aeid5473_chanel,2022-11-03 15:26:25.784296,https://www.chanel.com,https://www.chanel.com/it/moda/p/P73814K10572NK735/pullover-lana-strass/,Italy,Grigio & nero,Lana & strass,,Pullover,4 600 €,"
               P73814 K10572 NK735",
OutofStock,/it/moda/altri-accessori/c/1x1x4/,,aeid5473,aeid5473_chanel,2022-11-03 15:26:25.784296,https://www.chanel.com,https://www.chanel.com/it/moda/p/AA8648B09359NK698/calzini-cachemire/,Italy,Verde scuro & blu,"Cachemire, Verde scuro & blu",Cachemire,Calzini,820 €,AA8648B09359NK698,
OutofStock,/it/moda/calzature/c/1x1x5/,,aeid5473,aeid5473_chanel,2022-11-03 15:26:25.784296,https://www.chanel.com,https://www.chanel.com/it/moda/p/G39620X563260Q303/stivali-gomma/,Italy,Beige scuro,Gomma,,Stivali,1 150 €,"
               G39620 X56326 0Q303",1 in
InStock,/it/skincare/tonici-lozioni/c/6x1x9/,,aeid5473,aeid5473_chanel,2022-11-03 15:26:25.784296,https://www.chanel.com,https://www.chanel.com/it/skincare/p/195020/boy-de-chanel-lotion-tonique-anti-brillance-lozione-tonica-opacizzante/,Italy,,LOZIONE TONICA OPACIZZANTE,,BOY DE CHANEL LOTION TONIQUE ANTI-BRILLANCE,58 €,195020,
OutofStock,/it/moda/calzature/c/1x1x5/,,aeid5473,aeid5473_chanel,2022-11-03 15:26:25.784296,https://www.chanel.com,https://www.chanel.com/it/moda/p/G39620X5632694305/stivali-gomma/,Italy,Nero,Gomma,,Stivali,1 150 €,"
               G39620 X56326 94305",1 in
InStock,/it/skincare/creme/c/6x1x5/,,aeid5473,aeid5473_chanel,2022-11-03 15:26:25.784296,https://www.chanel.com,https://www.chanel.com/it/skincare/p/195010/boy-de-chanel-gel-hydratant-fortifiant-gel-idratante-viso-ultra-fresco-protegge-la-pelle-dalle-aggressioni-quotidiane/,Italy,,GEL IDRATANTE VISO ULTRA-FRESCO. PROTEGGE LA PELLE DALLE AGGRESSIONI QUOTIDIANE,,BOY DE CHANEL GEL HYDRATANT FORTIFIANT,75 €,195010,
OutofStock,/it/moda/pret-a-porter/l/1x1x9/i-looks/,,aeid5473,aeid5473_chanel,2022-11-03 15:26:25.784296,https://www.chanel.com,https://www.chanel.com/it/moda/pret-a-porter/l/1x1x9x1/accessori-pret-a-porter/,Italy,,,,,,,
InStock,/it/skincare/detersione-pulizia/c/6x1x4/,,aeid5473,aeid5473_chanel,2022-11-03 15:26:25.784296,https://www.chanel.com,https://www.chanel.com/it/skincare/p/166140/demaquillant-yeux-intense-detergente-bifase-delicato/,Italy,,DETERGENTE BIFASE DELICATO,,DÉMAQUILLANT YEUX INTENSE,29 €,166140,
InStock,/it/skincare/detersione-pulizia/c/6x1x4/,,aeid5473,aeid5473_chanel,2022-11-03 15:26:25.784296,https://www.chanel.com,https://www.chanel.com/it/skincare/p/141470/le-lait-douceur-dhuile-latte-olio-detergente-anti-inquinamento/,Italy,,LATTE-OLIO DETERGENTE ANTI-INQUINAMENTO,,LE LAIT DOUCEUR D’HUILE,39 €,141470,
OutofStock,/it/moda/altri-accessori/c/1x1x4/,,aeid5473,aeid5473_chanel,2022-11-03 15:26:25.784296,https://www.chanel.com,https://www.chanel.com/it/moda/p/AA8648B09359NK700/calzini-cachemire/,Italy,"Verde scuro, grigio & beige",Cachemire,,Calzini,820 €,"
               AA8648 B09359 NK700",
OutofStock,/it/moda/pret-a-porter/l/1x1x9/the-looks/,,aeid5473,aeid5473_chanel,2022-11-03 15:26:25.784296,https://www.chanel.com,https://www.chanel.com/it/moda/p/P73601V65153NK302/shorts-cotone-tweed-di-lana/,Italy,"Nero, bianco & multicolor",Cotone & tweed di lana,,Shorts,1 950 €,"
               P73601 V65153 NK302",
OutofStock,/it/moda/pret-a-porter/l/1x1x9/the-looks/,,aeid5473,aeid5473_chanel,2022-11-03 15:26:25.784296,https://www.chanel.com,https://www.chanel.com/it/moda/p/P73609V65153NK302/giacca-cotone-tweed-di-lana/,Italy,"Nero, bianco & multicolor","Cotone & tweed di lana, Nero, bianco & multicolor",Cotone & tweed di lana,Giacca,6 500 €,P73609V65153NK302,
OutofStock,/it/moda/cinture/c/1x1x6/,,aeid5473,aeid5473_chanel,2022-11-03 15:26:25.784296,https://www.chanel.com,https://www.chanel.com/it/moda/p/AA8656B09592NL107/cintura-pelle-metallo-effetto-dorato-tweed/,Italy,"Nero, rosso & blu","Pelle, metallo effetto dorato & tweed",,Cintura,950 €,"
               AA8656 B09592 NL107",
OutofStock,/it/moda/borse/c/1x1x1/,,aeid5473,aeid5473_chanel,2022-11-03 15:26:25.784296,https://www.chanel.com,https://www.chanel.com/it/moda/p/AS3652B09404NK302/borsa-piccola-con-manico-cotone-tweed-di-lana-metallo-effetto-dorato/,Italy,"Nero, bianco & multicolor","Cotone, tweed di lana & metallo effetto dorato",,Borsa piccola con manico,4 200 €,"
               AS3652 B09404 NK302",
InStock,/it/skincare/detersione-pulizia/c/6x1x4/,,aeid5473,aeid5473_chanel,2022-11-03 15:26:25.784296,https://www.chanel.com,https://www.chanel.com/it/skincare/p/141420/le-lait-latte-detergente-anti-inquinamento/,Italy,,LATTE DETERGENTE ANTI-INQUINAMENTO,,LE LAIT,39 €,141420,
OutofStock,/it/moda/pret-a-porter/l/1x1x9/the-looks/,,aeid5473,aeid5473_chanel,2022-11-03 15:26:25.784296,https://www.chanel.com,https://www.chanel.com/it/moda/p/P73679V6159500100/top-organza-di-seta-ricamata/,Italy,Bianco & multicolore,"Organza di seta ricamata, Bianco & multicolore",Organza di seta ricamata,Top,10 400 €,P73679V6159500100,
OutofStock,/it/moda/cinture/c/1x1x6/,,aeid5473,aeid5473_chanel,2022-11-03 15:26:25.784296,https://www.chanel.com,https://www.chanel.com/it/moda/p/AB9645B09609NL143/cintura-metallo-perle-in-pasta-di-vetro-strass/,Italy,"Oro, nero, bianco perlato & cristallo","Metallo, perle in pasta di vetro & strass, Oro, nero, bianco perlato & cristallo","Metallo, perle in pasta di vetro & strass",Cintura,1 750 €,AB9645B09609NL143,
InStock,/it/skincare/detersione-pulizia/c/6x1x4/,,aeid5473,aeid5473_chanel,2022-11-03 15:26:25.784296,https://www.chanel.com,https://www.chanel.com/it/skincare/p/141040/leau-micellaire-acqua-detergente-anti-inquinamento/,Italy,,ACQUA DETERGENTE ANTI-INQUINAMENTO,,L'EAU MICELLAIRE,39 €,141040,
OutofStock,/it/moda/bijoux/c/1x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 15:26:25.784296,https://www.chanel.com,https://www.chanel.com/it/moda/p/AB9663B09626NL179/collana-metallo-pelle-di-agnello-perle-in-pasta-di-vetro-perle-fantasia-strass/,Italy,"Oro, nero, bianco perlato & cristallo","Metallo, pelle di agnello, perle in pasta di vetro, perle fantasia & strass, Oro, nero, bianco perlato & cristallo","Metallo, pelle di agnello, perle in pasta di vetro, perle fantasia & strass",Collana,2 280 €,AB9663B09626NL179,
InStock,/it/skincare/detersione-pulizia/c/6x1x4/,,aeid5473,aeid5473_chanel,2022-11-03 15:26:25.784296,https://www.chanel.com,https://www.chanel.com/it/skincare/p/141440/le-lait-fraicheur-deau-latte-acqua-detergente-anti-inquinamento/,Italy,,LATTE-ACQUA DETERGENTE ANTI-INQUINAMENTO,,LE LAIT FRAÎCHEUR D’EAU,39 €,141440,
OutofStock,/it/moda/camelie/c/1x1x7/,,aeid5473,aeid5473_chanel,2022-11-03 15:26:25.784296,https://www.chanel.com,https://www.chanel.com/it/moda/p/AA8752B09688NL226/spilla-camelia-tweed-fantasia/,Italy,"Rosso, grigio & blu marine","Tweed fantasia, Rosso, grigio & blu marine",Tweed fantasia,Spilla camelia,690 €,AA8752B09688NL226,7 cm
