Availability,Context_Identifier,Execution_Id,Feed_Code,Record_Create_By,Record_Create_Date,Site,Source,Source_Country,color,description,material,name,price,product_id,size
InStock,/jp/fragrance/bath-and-body/c/7x1x7/,,aeid5473,aeid5473_chanel,2022-11-03 15:43:41.810502,https://www.chanel.com,https://www.chanel.com/jp/fragrance/p/105748/n5-the-body-lotion/,Japan,,ザ ボディ ローション,,シャネル N°5,"¥ 8,800",105748,
InStock,/jp/makeup/face/c/5x1x6/,,aeid5473,aeid5473_chanel,2022-11-03 15:43:41.810502,https://www.chanel.com,https://www.chanel.com/jp/makeup/p/169060/baume-essentiel-multi-use-glow-stick/,Japan,スカルプティング,フェイスカラー,,ボーム エサンシエル,"¥ 6,600",169060,
InStock,/jp/makeup/lips/c/5x1x1/,,aeid5473,aeid5473_chanel,2022-11-03 15:43:41.810502,https://www.chanel.com,https://www.chanel.com/jp/makeup/p/171912/rouge-coco-baume-hydrating-beautifying-tinted-lip-balm-buildable-colour/,Japan,912 - ドリーミー ホワイト,リップボーム,,シャネル ルージュ ココ ボーム,"¥ 4,950",171912,
OutofStock,/jp/makeup/eyes/c/5x1x4/,,aeid5473,aeid5473_chanel,2022-11-03 15:43:41.810502,https://www.chanel.com,https://www.chanel.com/jp/makeup/p/151018/les-4-ombres-tweed-limited-edition-multi-effect-quadra-eyeshadow/,Japan,01 - ツイード キュイヴレ,4色アイシャドウ,,レ キャトル オンブル ツイード,"¥ 11,880",151018,
InStock,/jp/fragrance/bath-and-body/c/7x1x7/,,aeid5473,aeid5473_chanel,2022-11-03 15:43:41.810502,https://www.chanel.com,https://www.chanel.com/jp/fragrance/p/126810/chance-eau-tendre-sheer-moisture-mist/,Japan,,モイスチャー ミスト,,チャンス オー タンドゥル,"¥ 6,600",126810,
OutofStock,/jp/fragrance/bath-and-body/c/7x1x7/,,aeid5473,aeid5473_chanel,2022-11-03 15:43:41.810502,https://www.chanel.com,https://www.chanel.com/jp/fragrance/p/126730/chance-eau-tendre-moisturizing-body-cream/,Japan,,ボディ クリーム,,チャンス オー タンドゥル,"¥ 13,200",126730,
InStock,/jp/fragrance/bath-and-body/c/7x1x7/,,aeid5473,aeid5473_chanel,2022-11-03 15:43:41.810502,https://www.chanel.com,https://www.chanel.com/jp/fragrance/p/136850/chance-eau-fraiche-sheer-moisture-mist/,Japan,,モイスチャー ミスト,,チャンス オー フレッシュ,"¥ 6,600",136850,
OutofStock,/jp/fragrance/bath-and-body/c/7x1x7/,,aeid5473,aeid5473_chanel,2022-11-03 15:43:41.810502,https://www.chanel.com,https://www.chanel.com/jp/fragrance/p/136845/chance-eau-fraiche-moisturizing-body-cream/,Japan,,ボディ クリーム,,チャンス オー フレッシュ,"¥ 13,200",136845,
InStock,/jp/fragrance/women/c/7x1x1/,,aeid5473,aeid5473_chanel,2022-11-03 15:43:41.810502,https://www.chanel.com,https://www.chanel.com/jp/fragrance/p/126780/chance-eau-tendre-hair-mist/,Japan,,ヘア ミスト,,チャンス オー タンドゥル,"¥ 6,930",126780,
InStock,/jp/fragrance/bath-and-body/c/7x1x7/,,aeid5473,aeid5473_chanel,2022-11-03 15:43:41.810502,https://www.chanel.com,https://www.chanel.com/jp/fragrance/p/116945/coco-mademoiselle-moisturizing-body-lotion/,Japan,,ボディ ローション,,ココ マドモアゼル,"¥ 8,800",116945,
InStock,/jp/skincare/cleansers-makeup-removers/c/6x1x4/,,aeid5473,aeid5473_chanel,2022-11-03 15:43:41.810502,https://www.chanel.com,https://www.chanel.com/jp/skincare/p/140630/n1-de-chanel-powder-to-foam-cleanser-cleanses-purifies-illuminates/,Japan,,ホリスティック エイジングケア*1洗顔料,,クレンザー N°1 ドゥ シャネル,"¥ 6,600",140630,
InStock,/jp/makeup/brushes-and-accessories/c/5x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 15:43:41.810502,https://www.chanel.com,https://www.chanel.com/jp/makeup/p/138842/les-pinceaux-de-chanel-2-in-1-foundation-brush-fluid-and-powder-n101/,Japan,,ファンデーション ブラシ,,パンソー フリュイド エ プードゥル N°101,"¥ 7,700",138842,
InStock,/jp/makeup/nails/c/5x1x7/,,aeid5473,aeid5473_chanel,2022-11-03 15:43:41.810502,https://www.chanel.com,https://www.chanel.com/jp/makeup/p/158250/la-base-camelia-fortifying-protecting-and-smoothing-base-coat/,Japan,,ベースコート,,ラ バーズ プロテクトリス,"¥ 4,400",158250,
InStock,/jp/fragrance/men/c/7x1x2/,,aeid5473,aeid5473_chanel,2022-11-03 15:43:41.810502,https://www.chanel.com,https://www.chanel.com/jp/fragrance/p/102940/paris-edimbourg-les-eaux-de-chanel-body-lotion/,Japan,,ボディ ローション - レ ゾー ドゥ シャネル,,パリ エディンバラ ,"¥ 8,800",102940,
InStock,/jp/fragrance/men/c/7x1x2/,,aeid5473,aeid5473_chanel,2022-11-03 15:43:41.810502,https://www.chanel.com,https://www.chanel.com/jp/fragrance/p/102930/paris-riviera-les-eaux-de-chanel-body-lotion/,Japan,,ボディ ローション - レ ゾー ドゥ シャネル,,パリ リヴィエラ,"¥ 8,800",102930,
InStock,/jp/skincare/serums/c/6x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 15:43:41.810502,https://www.chanel.com,https://www.chanel.com/jp/skincare/p/140880/n1-de-chanel-revitalizing-serum-prevents-and-corrects-the-appearance-of-the-5-signs-of-aging/,Japan,,ホリスティック エイジングケア*1美容液,,セラム N°1 ドゥ シャネル,"¥ 13,200",140880,"30 ml ,50 ml "
InStock,/jp/skincare/serums/c/6x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 15:43:41.810502,https://www.chanel.com,https://www.chanel.com/jp/skincare/p/144460/sublimage-lextrait-de-nuit-regenerating-and-restoring-night-concentrate/,Japan,,プレミアム 夜用美容液,,サブリマージュ レクストレ ドゥ ニュイ,"¥ 88,000",144460,
