Availability,Context_Identifier,Execution_Id,Feed_Code,Record_Create_By,Record_Create_Date,Site,Source,Source_Country,color,description,material,name,price,product_id,size
InStock,/kr/makeup/nails/c/5x1x7/,,aeid5473,aeid5473_chanel,2022-11-03 15:56:03.647547,https://www.chanel.com,https://www.chanel.com/kr/makeup/p/158260/lhuile-camelia-hydrating-and-fortifying-oil/,South Korea,,수분을 충전하고 피부를 강화하는 오일,,르 윌 까멜리아,"41,000 원",158260,
InStock,/kr/makeup/nails/c/5x1x7/,,aeid5473,aeid5473_chanel,2022-11-03 15:56:03.647547,https://www.chanel.com,https://www.chanel.com/kr/makeup/p/159735/le-vernis-longwear-nail-colour/,South Korea,,롱웨어 네일 컬러,,르 베르니,"36,000 원",레퍼런스 159735,
InStock,/kr/makeup/nails/c/5x1x7/,,aeid5473,aeid5473_chanel,2022-11-03 15:56:03.647547,https://www.chanel.com,https://www.chanel.com/kr/makeup/p/159602/le-vernis-longwear-nail-colour/,South Korea,,롱웨어 네일 컬러,,르 베르니,"36,000 원",레퍼런스 159602,
OutofStock,/kr/makeup/nails/c/5x1x7/,,aeid5473,aeid5473_chanel,2022-11-03 15:56:03.647547,https://www.chanel.com,https://www.chanel.com/kr/makeup/p/159634/le-vernis-longwear-nail-colour/,South Korea,,롱웨어 네일 컬러,,르 베르니,"36,000 원",레퍼런스 159634,
InStock,/kr/makeup/nails/c/5x1x7/,,aeid5473,aeid5473_chanel,2022-11-03 15:56:03.647547,https://www.chanel.com,https://www.chanel.com/kr/makeup/p/159739/le-vernis-longwear-nail-colour/,South Korea,,롱웨어 네일 컬러,,르 베르니,"36,000 원",레퍼런스 159739,
InStock,/kr/makeup/nails/c/5x1x7/,,aeid5473,aeid5473_chanel,2022-11-03 15:56:03.647547,https://www.chanel.com,https://www.chanel.com/kr/makeup/p/159616/le-vernis-longwear-nail-colour/,South Korea,,롱웨어 네일 컬러,,르 베르니,"36,000 원",레퍼런스 159616,
OutofStock,/kr/watches/monsieur/c/4x2x6/,,aeid5473,aeid5473_chanel,2022-11-03 15:56:03.647547,https://www.chanel.com,https://www.chanel.com/kr/watches/p/H6596/monsieur-watch/,South Korea,베이지,"베이지 골드, 오팔린 다이얼, 점핑 아워, 240° 레트로그레이드 미닛",베이지 골드,Monsieur 워치,"64,900,000 원",H6596,
InStock,/kr/makeup/nails/c/5x1x7/,,aeid5473,aeid5473_chanel,2022-11-03 15:56:03.647547,https://www.chanel.com,https://www.chanel.com/kr/makeup/p/158350/le-gel-coat-longwear-top-coat/,South Korea,,젤 코트,,르 젤 코트,"36,000 원",158350,
InStock,/kr/makeup/eyes/c/5x1x4/,,aeid5473,aeid5473_chanel,2022-11-03 15:56:03.647547,https://www.chanel.com,https://www.chanel.com/kr/makeup/p/184189/les-beiges-healthy-glow-natural-eyeshadow-palette/,South Korea,웜,헬시 글로우 내추럴 아이섀도우 팔레트,,레 베쥬,"90,000 원",184189,
OutofStock,/kr/makeup/face/c/5x1x6/,,aeid5473,aeid5473_chanel,2022-11-03 15:56:03.647547,https://www.chanel.com,https://www.chanel.com/kr/makeup/p/132210/poudre-universelle-libre-natural-finish-loose-powder/,South Korea,10,내추럴 피니쉬 루스 파우더,,뿌드르 위니베르셀 리브르,"78,000 원",132210,
InStock,/kr/makeup/face/c/5x1x6/,,aeid5473,aeid5473_chanel,2022-11-03 15:56:03.647547,https://www.chanel.com,https://www.chanel.com/kr/makeup/p/144270/sublimage-le-soin-perfecteur-ultimate-radiance-enhancing-priming-moisturizer/,South Korea,,프리미엄 안티에이징 펄 프라이머,,수블리마지 르 수앙 페르펙뛰,"325,000 원",144270,
OutofStock,/kr/fragrance/bath-and-body/c/7x1x7/,,aeid5473,aeid5473_chanel,2022-11-03 15:56:03.647547,https://www.chanel.com,https://www.chanel.com/kr/fragrance/p/126730/chance-eau-tendre-moisturizing-body-cream/,South Korea,,바디 크림,,샹스 오 땅드르,"143,000 원",126730,
InStock,/kr/fragrance/men/c/7x1x2/,,aeid5473,aeid5473_chanel,2022-11-03 15:56:03.647547,https://www.chanel.com,https://www.chanel.com/kr/fragrance/p/122020/n22-les-exclusifs-de-chanel-eau-de-parfum/,South Korea,,레 젝스클루시프 드 샤넬 오 드 빠르펭,,N°22,"292,000 원",122020,"75 ml ,200 ml "
InStock,/kr/makeup/face/c/5x1x6/,,aeid5473,aeid5473_chanel,2022-11-03 15:56:03.647547,https://www.chanel.com,https://www.chanel.com/kr/makeup/p/144935/la-base-illuminatrice-glowing-makeup-primer-moisturizing-plumping-spf50-pa/,South Korea,,글로잉 메이크업 프라이머 모이스처라이징-플럼핑 SPF 45/PA+++,,라 바즈 일루미나트리스,"72,000 원",144935,
InStock,/kr/makeup/nails/c/5x1x7/,,aeid5473,aeid5473_chanel,2022-11-03 15:56:03.647547,https://www.chanel.com,https://www.chanel.com/kr/makeup/p/158350/le-gel-coat-longwear-top-coat/,South Korea,,젤 코트,,르 젤 코트,"36,000 원",158350,
InStock,/kr/makeup/face/c/5x1x6/,,aeid5473,aeid5473_chanel,2022-11-03 15:56:03.647547,https://www.chanel.com,https://www.chanel.com/kr/skincare/p/140555/cc-cream-super-active-complete-correction-spf-50/,South Korea,,"피부톤 보정 크림<br>SPF50+, PA+++",,CC 크림,"79,000 원",140555,
OutofStock,/kr/fine-jewelry/camelia/c/3x2x1/,,aeid5473,aeid5473_chanel,2022-11-03 15:56:03.647547,https://www.chanel.com,https://www.chanel.com/kr/fine-jewelry/p/J12039/bouton-de-camelia-earrings/,South Korea,화이트,"18K 화이트 골드, 다이아몬드로 이루어진 이어링",화이트 골드,Bouton de Camélia 이어링,"46,600,000 원",J12039,
OutofStock,/kr/fine-jewelry/camelia/c/3x2x1/,,aeid5473,aeid5473_chanel,2022-11-03 15:56:03.647547,https://www.chanel.com,https://www.chanel.com/kr/fine-jewelry/p/J11671/petales-de-camelia-brooch/,South Korea,옐로우,18K 옐로우 골드와 다이아몬드로 이루어진 브로치,옐로우 골드,Pétales de Camélia 브로치,"15,800,000 원",J11671,
InStock,/kr/makeup/nails/c/5x1x7/,,aeid5473,aeid5473_chanel,2022-11-03 15:56:03.647547,https://www.chanel.com,https://www.chanel.com/kr/makeup/p/158340/le-top-coat-quick-dry-and-shine/,South Korea,,탑 코트,,르 탑 코트,"36,000 원",158340,
OutofStock,/kr/fragrance/women/c/7x1x1/,,aeid5473,aeid5473_chanel,2022-11-03 15:56:03.647547,https://www.chanel.com,https://www.chanel.com/kr/fragrance/p/122010/gardenia-les-exclusifs-de-chanel-eau-de-parfum/,South Korea,,레 젝스클루시프 드 샤넬 오 드 빠르펭,,가드니아 ,"292,000 원",122010,"75 ml ,200 ml "
OutofStock,/kr/fine-jewelry/camelia/c/3x2x1/,,aeid5473,aeid5473_chanel,2022-11-03 15:56:03.647547,https://www.chanel.com,https://www.chanel.com/kr/fine-jewelry/p/J11337/camelia-precieux-earrings/,South Korea,화이트,18K 화이트 골드와 다이아몬드로 이루어진 이어링,화이트 골드,Camélia Précieux 이어링,"32,500,000 원",J11337,
OutofStock,/kr/fragrance/women/c/7x1x1/,,aeid5473,aeid5473_chanel,2022-11-03 15:56:03.647547,https://www.chanel.com,https://www.chanel.com/kr/fragrance/p/126700/chance-eau-tendre-scented-bath-tablets/,South Korea,,풍성한 향의 배쓰 밤,,샹스 오 땅드르,"93,000 원",126700,
InStock,/kr/makeup/nails/c/5x1x7/,,aeid5473,aeid5473_chanel,2022-11-03 15:56:03.647547,https://www.chanel.com,https://www.chanel.com/kr/makeup/p/158347/le-top-coat-shimmering-amber-top-coat/,South Korea,347 - 에뚜왈,반짝이는 엠버 탑 코트,,르 탑 코트,"36,000 원",158347,
OutofStock,/kr/watches/j12/c/4x2x1/,,aeid5473,aeid5473_chanel,2022-11-03 15:56:03.647547,https://www.chanel.com,https://www.chanel.com/kr/watches/p/H5697/j12-watch-caliber-12-1-38-mm/,South Korea,블랙,견고한 블랙 세라믹과 스틸,블랙 세라믹,"J12 워치 칼리버 12.1, 38mm","11,400,000 원",H5697,
OutofStock,/kr/watches/j12/c/4x2x1/,,aeid5473,aeid5473_chanel,2022-11-03 15:56:03.647547,https://www.chanel.com,https://www.chanel.com/kr/watches/p/H5702/j12-watch-caliber-12-1-38-mm/,South Korea,블랙,"견고한 블랙 세라믹과 스틸, 다이아몬드 인디케이터",블랙 세라믹,"J12 워치 칼리버 12.1, 38mm","13,700,000 원",H5702,
OutofStock,/kr/watches/j12/c/4x2x1/,,aeid5473,aeid5473_chanel,2022-11-03 15:56:03.647547,https://www.chanel.com,https://www.chanel.com/kr/watches/p/H6185/j12-phantom-watch-caliber-12-1-38-mm/,South Korea,블랙,견고한 블랙 세라믹과 스틸,블랙 세라믹,"J12 팬텀 워치 칼리버 12.1, 38mm","12,200,000 원",H6185,
OutofStock,/kr/watches/j12/c/4x2x1/,,aeid5473,aeid5473_chanel,2022-11-03 15:56:03.647547,https://www.chanel.com,https://www.chanel.com/kr/watches/p/H5696/j12-watch-caliber-12-2-33-mm/,South Korea,블랙,견고한 블랙 세라믹과 스틸,블랙 세라믹,"J12 워치 칼리버 12.2, 33MM","10,880,000 원",H5696,
InStock,/kr/skincare/body/c/6x1x1/,,aeid5473,aeid5473_chanel,2022-11-03 15:56:03.647547,https://www.chanel.com,https://www.chanel.com/kr/skincare/p/102040/lhuile-orient-body-massage-oil/,South Korea,,오리엔트 바디오일,,르 윌 오리엔트,"312,000 원",102040,
OutofStock,/kr/skincare/oils/c/6x1x8/,,aeid5473,aeid5473_chanel,2022-11-03 15:56:03.647547,https://www.chanel.com,https://www.chanel.com/kr/skincare/p/102000/huile-de-jasmin-revitalizing-facial-oil-with-jasmine-extract/,South Korea,,자스민 오일,,윌 드 자스민,"208,000 원",102000,
OutofStock,/kr/makeup/nails/c/5x1x7/,,aeid5473,aeid5473_chanel,2022-11-03 15:56:03.647547,https://www.chanel.com,https://www.chanel.com/kr/makeup/p/158910/le-dissolvant-douceur-nail-colour-remover/,South Korea,,네일 에나멜 리무버,,르 디솔방 두쉐르,"21,000 원",158910,
InStock,/kr/makeup/nails/c/5x1x7/,,aeid5473,aeid5473_chanel,2022-11-03 15:56:03.647547,https://www.chanel.com,https://www.chanel.com/kr/makeup/p/159008/le-vernis-longwear-nail-colour/,South Korea,,롱웨어 네일 컬러,,르 베르니,"36,000 원",레퍼런스 159008,
InStock,/kr/fragrance/men/c/7x1x2/,,aeid5473,aeid5473_chanel,2022-11-03 15:56:03.647547,https://www.chanel.com,https://www.chanel.com/kr/fragrance/p/102930/paris-riviera-les-eaux-de-chanel-body-lotion/,South Korea,,레 조 드 샤넬 - 바디 로션,,파리-리비에라,"84,000 원",102930,
InStock,/kr/skincare/toners-lotions/c/6x1x9/,,aeid5473,aeid5473_chanel,2022-11-03 15:56:03.647547,https://www.chanel.com,https://www.chanel.com/kr/skincare/p/140650/n1-de-chanel-revitalizing-essence-lotion-plumps-evens-illuminates/,South Korea,,리바이탈라이징 안티에이징 에센스 로씨옹,,N°1 DE CHANEL 레드 까멜리아 에센스 로씨옹,"129,000 원",140650,
