Availability,Context_Identifier,Execution_Id,Feed_Code,Record_Create_By,Record_Create_Date,Site,Source,Source_Country,color,description,material,name,price,product_id,size
OutofStock,/kw/makeup/brushes-and-accessories/c/5x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 16:12:13.681145,https://www.chanel.com,https://www.chanel.com/kw/makeup/p/137500/miroir-double-facettes-mirror-duo/,Kuwait,,مرآة مزدوجة,,MIROIR DOUBLE FACETTES,,137500,
OutofStock,/kw/makeup/brushes-and-accessories/c/5x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 16:12:13.681145,https://www.chanel.com,https://www.chanel.com/kw/makeup/p/138841/pinceau-estompe-teint-n102-fluid-foundation-blending-brush/,Kuwait,,فرشاة لتطبيق مستحضر الأساس السائل,,PINCEAU ESTOMPE TEINT N°102,,138841,
OutofStock,/kw/makeup/brushes-and-accessories/c/5x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 16:12:13.681145,https://www.chanel.com,https://www.chanel.com/kw/makeup/p/186097/les-beiges-oversize-kabuki-brush-oversize-kabuki-brush-for-face-and-body/,Kuwait,,فرشاة كابوكي كبيرة الحجم للوجه والجسم.,,LES BEIGES MAXI PINCEAU KABUKI,,186097,
OutofStock,/kw/makeup/brushes-and-accessories/c/5x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 16:12:13.681145,https://www.chanel.com,https://www.chanel.com/kw/makeup/p/138856/pinceau-duo-contour-yeux-retractable-n201-dual-ended-brush-defines-and-blends/,Kuwait,,فرشاة ذات طرفين للتحديد والمزج,,PINCEAU DUO CONTOUR YEUX RÉTRACTABLE N°201,,138856,
OutofStock,/kw/makeup/brushes-and-accessories/c/5x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 16:12:13.681145,https://www.chanel.com,https://www.chanel.com/kw/makeup/p/138845/pinceau-fond-de-teint-retractable-n103-retractable-foundation-brush/,Kuwait,,فرشاة قابلة للسحب لمستحضر الأساس<br>,,PINCEAU FOND DE TEINT RETRACTABLE N°103 ,,138845,
OutofStock,/kw/makeup/brushes-and-accessories/c/5x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 16:12:13.681145,https://www.chanel.com,https://www.chanel.com/kw/makeup/p/138844/angled-eyeliner-brush-n206-powder-and-cream-eyeliner-brush/,Kuwait,,فرشاة لمستحضر رسم محيط العينين الكريمي والبودرة,,PINCEAU EYELINER BISEAUTÉ N°206,,138844,
OutofStock,/kw/makeup/brushes-and-accessories/c/5x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 16:12:13.681145,https://www.chanel.com,https://www.chanel.com/kw/makeup/p/138846/petit-pinceau-kabuki-kabuki-brush/,Kuwait,,فرشاة كابوكي,,PETIT PINCEAU KABUKI,,138846,
OutofStock,/kw/makeup/nails/c/5x1x7/,,aeid5473,aeid5473_chanel,2022-11-03 16:12:13.681145,https://www.chanel.com,https://www.chanel.com/kw/makeup/p/158250/la-base-camelia-fortifying-protecting-and-smoothing-base-coat/,Kuwait,,أساس لتقوية الأظافر وحمايتها وتنعيمها.,,LA BASE CAMÉLIA,,158250,
OutofStock,/kw/skincare/moisturisers/c/6x1x5/,,aeid5473,aeid5473_chanel,2022-11-03 16:12:13.681145,https://www.chanel.com,https://www.chanel.com/kw/skincare/p/141180/sublimage-lextrait-de-creme-ultimate-revitalising-and-restoring-cream/,Kuwait,,<br>كريم مثالي لتجديد البشرة وإصلاحها,,SUBLIMAGE L’EXTRAIT DE CRÈME,,141180,
OutofStock,/kw/fragrance/women/c/7x1x1/,,aeid5473,aeid5473_chanel,2022-11-03 16:12:13.681145,https://www.chanel.com,https://www.chanel.com/kw/fragrance/p/125530/n5-eau-de-parfum-spray/,Kuwait,,بخاخ ماء العطر,,N°5 Eau de Parfum Vaporisateur,,125530,"100 ml ,35 ml ,50 ml ,200 ml "
OutofStock,/kw/watches/monsieur/c/4x2x6/,,aeid5473,aeid5473_chanel,2022-11-03 16:12:13.681145,https://www.chanel.com,https://www.chanel.com/kw/watches/p/H6432/monsieur-blue-edition-watch/,Kuwait,أزرق,ذهب أبيض وميناء كحلي محبّب مع ساعات قافزة ودقائق ارتجاعية 240°,الذهب الأبيض,ساعة Monsieur de CHANEL. Blue Edition,,H6432,
OutofStock,/kw/watches/monsieur/c/4x2x6/,,aeid5473,aeid5473_chanel,2022-11-03 16:12:13.681145,https://www.chanel.com,https://www.chanel.com/kw/watches/p/H6672/monsieur-watch/,Kuwait,أسود,ذهب أبيض وميناء من الأوبالين مع ساعات قافزة ودقائق ارتجاعية 240°,الذهب الأبيض,ساعة Monsieur,,H6672,
OutofStock,/kw/watches/monsieur/c/4x2x6/,,aeid5473,aeid5473_chanel,2022-11-03 16:12:13.681145,https://www.chanel.com,https://www.chanel.com/kw/watches/p/H6596/monsieur-watch/,Kuwait,أسود,ذهب بيج وميناء من الأوبالين مع ساعات قافزة ودقائق ارتجاعية 240°,الذهب البيج,ساعة Monsieur,,H6596,
OutofStock,/kw/watches/monsieur/c/4x2x6/,,aeid5473,aeid5473_chanel,2022-11-03 16:12:13.681145,https://www.chanel.com,https://www.chanel.com/kw/watches/p/H6216/monsieur-marble-edition-watch/,Kuwait,أسود,سيراميك شديد الصلابة باللون الأسود غير اللامع وفولاذ، ميناء من الرخام الأسود مع ساعات قافزة ودقائق ارتجاعية 240°,سيراميك باللون الأسود غير اللامع,ساعة Monsieur de CHANEL. Édition Marbre,,H6216,
OutofStock,/kw/watches/monsieur/c/4x2x6/,,aeid5473,aeid5473_chanel,2022-11-03 16:12:13.681145,https://www.chanel.com,https://www.chanel.com/kw/watches/p/H6823/monsieur-superleggera-edition-watch/,Kuwait,أسود,سيراميك شديد الصلابة باللون الأسود غير اللامع وفولاذ، ميناء مضفّر باللون الأسود غير اللامع مع ساعات قافزة ودقائق ارتجاعية 240°,سيراميك باللون الأسود غير اللامع,ساعة Monsieur de CHANEL. Édition Superleggera,,H6823,
OutofStock,/kw/watches/code-coco/c/4x2x8/,,aeid5473,aeid5473_chanel,2022-11-03 16:12:13.681145,https://www.chanel.com,https://www.chanel.com/kw/watches/p/H6027/code-coco-watch/,Kuwait,أسود,سيراميك شديد الصلابة باللون الأسود والفولاذ والماس,الفولاذ,ساعة CODE COCO,,H6027,
OutofStock,/kw/fine-jewelry/camelia/c/3x2x1/,,aeid5473,aeid5473_chanel,2022-11-03 16:12:13.681145,https://www.chanel.com,https://www.chanel.com/kw/fine-jewelry/p/J12071/bouton-de-camelia-necklace/,Kuwait,أبيض,ذهب أبيض عيار 18 قيراطاً، ماس,الذهب الأبيض,قلادة Bouton de Camélia,,J12071,
OutofStock,/kw/makeup/complexion/c/5x1x6/,,aeid5473,aeid5473_chanel,2022-11-03 16:12:13.681145,https://www.chanel.com,https://www.chanel.com/kw/makeup/p/186340/les-beiges-highlighting-fluid-sheer-fluid-highlighter-for-a-luminous-healthy-glow-for-face-and-body/,Kuwait,PEARLY GLOW,مستحضر لإبراز الملامح سائل وشفاف<br>لوجه وجسم بإشراقة صحية وطبيعية.,,LES BEIGES FLUIDE ENLUMINEUR ,,186340,
