Availability,Context_Identifier,Execution_Id,Feed_Code,Record_Create_By,Record_Create_Date,Site,Source,Source_Country,color,description,material,name,price,product_id,size
OutofStock,/lx/maquillaje/ojos/c/5x1x4/,,aeid5473,aeid5473_chanel,2022-11-03 16:31:14.699967,https://www.chanel.com,https://www.chanel.com/lx/maquillaje/p/151018/les-4-ombres-tweed-sombras-de-ojos-efectos-multiples/,Latin America,01 - TWEED CUIVRÉ,SOMBRAS DE OJOS EFECTOS MÚLTIPLES,,LES 4 OMBRES TWEED,,151018,
OutofStock,/lx/maquillaje/ojos/c/5x1x4/,,aeid5473,aeid5473_chanel,2022-11-03 16:31:14.699967,https://www.chanel.com,https://www.chanel.com/lx/maquillaje/p/183650/calligraphie-de-chanel-eyeliner-en-crema-intensidad-y-a-prueba-de-agua/,Latin America,65 - HYPERBLACK,EYELINER EN CREMA INTENSIDAD Y A PRUEBA DE AGUA,,CALLIGRAPHIE DE CHANEL,,183650,
OutofStock,/lx/maquillaje/ojos/c/5x1x4/,,aeid5473,aeid5473_chanel,2022-11-03 16:31:14.699967,https://www.chanel.com,https://www.chanel.com/lx/maquillaje/p/183750/signature-de-chanel-lapiz-delineador-intensidad-y-precision-a-prueba-de-agua/,Latin America,10 - NOIR,LÁPIZ DELINEADOR INTENSIDAD Y PRECISIÓN<br>A PRUEBA DE AGUA,,SIGNATURE DE CHANEL,,183750,
OutofStock,/lx/maquillaje/ojos/c/5x1x4/,,aeid5473,aeid5473_chanel,2022-11-03 16:31:14.699967,https://www.chanel.com,https://www.chanel.com/lx/maquillaje/p/187610/le-crayon-khol-lapiz-de-ojos-khol/,Latin America,61 - NOIR,LÁPIZ DE OJOS KHÔL,,LE CRAYON KHÔL,,187610,
OutofStock,/lx/maquillaje/ojos/c/5x1x4/,,aeid5473,aeid5473_chanel,2022-11-03 16:31:14.699967,https://www.chanel.com,https://www.chanel.com/lx/maquillaje/p/181020/le-crayon-yeux-lapiz-de-ojos/,Latin America,02 - BRUN - TEAK,LÁPIZ DE OJOS,,LE CRAYON YEUX,,181020,
OutofStock,/lx/maquillaje/ojos/c/5x1x4/,,aeid5473,aeid5473_chanel,2022-11-03 16:31:14.699967,https://www.chanel.com,https://www.chanel.com/lx/maquillaje/p/187949/stylo-yeux-waterproof-lapiz-de-ojos-delineador-y-khol-de-larga-duracion/,Latin America,949 - BLANC GRAPHIQUE,"LÁPIZ DE OJOS, DELINEADOR Y KHÔL DE LARGA DURACIÓN",,STYLO YEUX WATERPROOF,,187949,
OutofStock,/lx/maquillaje/ojos/c/5x1x4/,,aeid5473,aeid5473_chanel,2022-11-03 16:31:14.699967,https://www.chanel.com,https://www.chanel.com/lx/maquillaje/p/182204/stylo-ombre-et-contour-lapiz-3en1-sombra-de-ojos-delineador-y-khol/,Latin America,04 - ELECTRIC BROWN,"LÁPIZ 3 EN 1: SOMBRA DE OJOS, DELINEADOR Y KHÔL",,STYLO OMBRE ET CONTOUR,,182204,
OutofStock,/lx/maquillaje/labios/c/5x1x1/,,aeid5473,aeid5473_chanel,2022-11-03 16:31:14.699967,https://www.chanel.com,https://www.chanel.com/lx/maquillaje/p/151147/rouge-allure-edicion-limitada-coleccion-n5-holiday-2021-la-barra-de-labios-color-intenso/,Latin America,147 - EMBLÉMATIQUE,EDICIÓN LIMITADA - COLECCIÓN N°5 HOLIDAY 2021<br>LA BARRA DE LABIOS COLOR INTENSO,,ROUGE ALLURE,,151147,
OutofStock,/lx/tratamiento/sueros/c/6x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 16:31:14.699967,https://www.chanel.com,https://www.chanel.com/lx/tratamiento/p/140885/n1-de-chanel-serum-revitalizante-previene-y-corrige-la-aparicion-de-los-5-signos-de-la-edad/,Latin America,,PREVIENE Y CORRIGE LA APARICION DE LOS 5 SIGNOS DE LA EDAD<br>,, N°1 DE CHANEL SÉRUM REVITALIZANTE,,140885,"50 ml ,30 ml "
OutofStock,/lx/perfumes/femeninas/c/7x1x1/,,aeid5473,aeid5473_chanel,2022-11-03 16:31:14.699967,https://www.chanel.com,https://www.chanel.com/lx/perfumes/p/125530/n5-eau-de-parfum-vaporizador/,Latin America,,EAU DE PARFUM VAPORIZADOR,,N°5,,125530,"100 ml ,50 ml ,200 ml "
OutofStock,/lx/perfumes/estuches/c/7x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 16:31:14.699967,https://www.chanel.com,https://www.chanel.com/lx/perfumes/p/105717/n5-les-savons/,Latin America,,LES SAVONS,,N°5,,105717,
