Availability,Context_Identifier,Execution_Id,Feed_Code,Record_Create_By,Record_Create_Date,Site,Source,Source_Country,color,description,material,name,price,product_id,size
OutofStock,/my/makeup/brushes-and-accessories/c/5x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 17:42:25.767690,https://www.chanel.com,https://www.chanel.com/my/makeup/p/137500/miroir-double-facettes-mirror-duo/,Malaysia,,MIRROR DUO,,MIROIR DOUBLE FACETTES,MYR 125,137500,
OutofStock,/my/makeup/brushes-and-accessories/c/5x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 17:42:25.767690,https://www.chanel.com,https://www.chanel.com/my/makeup/p/138840/pinceau-fond-de-teint-n100-fluid-foundation-brush/,Malaysia,,FLUID FOUNDATION BRUSH,,PINCEAU FOND DE TEINT N°100 ,MYR 148,138840,
OutofStock,/my/makeup/brushes-and-accessories/c/5x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 17:42:25.767690,https://www.chanel.com,https://www.chanel.com/my/makeup/p/138846/petit-pinceau-kabuki-kabuki-brush/,Malaysia,,KABUKI BRUSH,,PETIT PINCEAU KABUKI,MYR 200,138846,
OutofStock,/my/makeup/brushes-and-accessories/c/5x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 17:42:25.767690,https://www.chanel.com,https://www.chanel.com/my/makeup/p/138847/pinceau-poudre-n106-powder-brush/,Malaysia,,POWDER BRUSH,,PINCEAU POUDRE N°106,MYR 230,138847,
OutofStock,/my/makeup/brushes-and-accessories/c/5x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 17:42:25.767690,https://www.chanel.com,https://www.chanel.com/my/makeup/p/138842/pinceau-teint-2-en-1-fluide-et-poudre-n101-fluid-and-powder-foundation-brush/,Malaysia,,FLUID AND POWDER FOUNDATION BRUSH,,PINCEAU TEINT 2 EN 1 - FLUIDE ET POUDRE N°101 ,MYR 200,138842,
OutofStock,/my/makeup/brushes-and-accessories/c/5x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 17:42:25.767690,https://www.chanel.com,https://www.chanel.com/my/makeup/p/138850/pinceau-blush-n110-blush-brush/,Malaysia,,BLUSH BRUSH,,PINCEAU BLUSH N°110,MYR 200,138850,
OutofStock,/my/makeup/brushes-and-accessories/c/5x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 17:42:25.767690,https://www.chanel.com,https://www.chanel.com/my/makeup/p/138851/pinceau-duo-sourcils-n207-dual-ended-brow-brush-grooms-and-redefines/,Malaysia,,DUAL-ENDED BROW BRUSH: GROOMS AND REDEFINES,,PINCEAU DUO SOURCILS N°207,MYR 148,138851,
OutofStock,/my/makeup/lips/c/5x1x1/,,aeid5473,aeid5473_chanel,2022-11-03 17:42:25.767690,https://www.chanel.com,https://www.chanel.com/my/makeup/p/145385/n1-de-chanel-lip-and-cheek-balm-enhances-color-nourishes-plumps/,Malaysia,,ENHANCES COLOR - NOURISHES - PLUMPS,,N°1 DE CHANEL LIP AND CHEEK BALM,MYR 190,145385,
OutofStock,/my/makeup/nails/c/5x1x7/,,aeid5473,aeid5473_chanel,2022-11-03 17:42:25.767690,https://www.chanel.com,https://www.chanel.com/my/makeup/p/159945/le-vernis-longwear-nail-colour/,Malaysia,,LONGWEAR NAIL COLOUR,,LE VERNIS,MYR 115, 159945,
OutofStock,/my/fine-jewellery/camelia/c/3x2x1/,,aeid5473,aeid5473_chanel,2022-11-03 17:42:25.767690,https://www.chanel.com,https://www.chanel.com/my/fine-jewellery/p/J12037/bouton-de-camelia-necklace/,Malaysia,Yellow,"18K yellow gold, diamonds",Yellow gold,Bouton de Camélia necklace,"MYR 30,600",J12037,
OutofStock,/my/fine-jewellery/camelia/c/3x2x1/,,aeid5473,aeid5473_chanel,2022-11-03 17:42:25.767690,https://www.chanel.com,https://www.chanel.com/my/fine-jewellery/p/J12065/bouton-de-camelia-bracelet/,Malaysia,White,"18K white gold, diamonds",White gold,Bouton de Camélia bracelet,"MYR 114,150",J12065,
OutofStock,/my/makeup/eyes/c/5x1x4/,,aeid5473,aeid5473_chanel,2022-11-03 17:42:25.767690,https://www.chanel.com,https://www.chanel.com/my/makeup/p/184189/les-beiges-eyeshadow-palette-healthy-glow-natural-eyeshadow-palette/,Malaysia,WARM,HEALTHY GLOW NATURAL EYESHADOW PALETTE,,LES BEIGES EYESHADOW PALETTE,MYR 280,184189,
