Availability,Context_Identifier,Execution_Id,Feed_Code,Record_Create_By,Record_Create_Date,Site,Source,Source_Country,color,description,material,name,price,product_id,size
OutofStock,/mx/tratamiento/sueros/c/6x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 18:00:26.219371,https://www.chanel.com,https://www.chanel.com/mx/tratamiento/p/140880/n1-de-chanel-serum-revitalizante-previene-y-corrige-la-aparicion-de-los-5-signos-de-la-edad/,Mexico,,PREVIENE Y CORRIGE LA APARICION DE LOS 5 SIGNOS DE LA EDAD,, N°1 DE CHANEL SÉRUM REVITALIZANTE,"$2,770",140880,
OutofStock,/mx/tratamiento/tratamientos/c/6x1x12/,,aeid5473,aeid5473_chanel,2022-11-03 18:00:26.219371,https://www.chanel.com,https://www.chanel.com/mx/tratamiento/p/142550/sublimage-lextrait-tratamiento-reconstituyente-intensivo/,Mexico,,TRATAMIENTO RECONSTITUYENTE INTENSIVO,,SUBLIMAGE L'EXTRAIT,"$12,500",142550,
OutofStock,/mx/tratamiento/cremas/c/6x1x5/,,aeid5473,aeid5473_chanel,2022-11-03 18:00:26.219371,https://www.chanel.com,https://www.chanel.com/mx/tratamiento/p/141140/sublimage-la-creme-texture-supreme-maxima-regeneracion-de-la-piel/,Mexico,,MÁXIMA REGENERACIÓN DE LA PIEL,,SUBLIMAGE LA CRÈME Texture Suprême,"$9,150",141140,"50 g ,15 g "
OutofStock,/mx/tratamiento/ojos-y-labios/c/6x1x2/,,aeid5473,aeid5473_chanel,2022-11-03 18:00:26.219371,https://www.chanel.com,https://www.chanel.com/mx/tratamiento/p/141160/sublimage-la-creme-yeux-contorno-de-ojos-maxima-regeneracion/,Mexico,,CONTORNO DE OJOS MÁXIMA REGENERACIÓN,,SUBLIMAGE LA CRÈME YEUX,"$5,200",141160,
OutofStock,/mx/tratamiento/cremas/c/6x1x5/,,aeid5473,aeid5473_chanel,2022-11-03 18:00:26.219371,https://www.chanel.com,https://www.chanel.com/mx/tratamiento/p/141130/sublimage-la-creme-maxima-regeneracion-de-la-piel/,Mexico,,MÁXIMA REGENERACIÓN DE LA PIEL,,SUBLIMAGE LA CRÈME,"$9,150",141130,
OutofStock,/mx/tratamiento/cremas/c/6x1x5/,,aeid5473,aeid5473_chanel,2022-11-03 18:00:26.219371,https://www.chanel.com,https://www.chanel.com/mx/tratamiento/p/141120/sublimage-la-creme-texture-fine-maxima-regeneracion-de-la-piel/,Mexico,,MÁXIMA REGENERACIÓN DE LA PIEL,,SUBLIMAGE LA CRÈME Texture Fine,"$9,150",141120,
OutofStock,/mx/maquillaje/pinceles-y-accesorios/c/5x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 18:00:26.219371,https://www.chanel.com,https://www.chanel.com/mx/maquillaje/p/138840/pinceau-fond-de-teint-n100-brocha-para-base-de-maquillaje-fluida/,Mexico,,BROCHA PARA BASE DE MAQUILLAJE FLUIDA,,PINCEAU FOND DE TEINT N°100,"$1,380",138840,
OutofStock,/mx/maquillaje/tez/c/5x1x6/,,aeid5473,aeid5473_chanel,2022-11-03 18:00:26.219371,https://www.chanel.com,https://www.chanel.com/mx/maquillaje/p/184562/les-beiges-water-fresh-complexion-touch-unificar-iluminar-hidratar/,Mexico,B10,UNIFICAR – ILUMINAR – HIDRATAR.,,LES BEIGES WATER-FRESH COMPLEXION TOUCH,,184562,
OutofStock,/mx/tratamiento/exfoliantes-y-mascarillas/c/6x1x7/,,aeid5473,aeid5473_chanel,2022-11-03 18:00:26.219371,https://www.chanel.com,https://www.chanel.com/mx/tratamiento/p/141590/le-lift-skin-recovery-sleep-mask-firmeza-anti-arrugas/,Mexico,,FIRMEZA - ANTI-ARRUGAS,,LE LIFT SKIN-RECOVERY SLEEP MASK,"$2,710",141590,
OutofStock,/mx/tratamiento/ojos-y-labios/c/6x1x2/,,aeid5473,aeid5473_chanel,2022-11-03 18:00:26.219371,https://www.chanel.com,https://www.chanel.com/mx/tratamiento/p/141550/le-lift-flash-eye-revitalizer-firmeza-anti-arrugas/,Mexico,,FIRMEZA - ANTI-ARRUGAS,,LE LIFT FLASH EYE REVITALIZER,"$3,245",141550,
