Availability,Context_Identifier,Execution_Id,Feed_Code,Record_Create_By,Record_Create_Date,Site,Source,Source_Country,color,description,material,name,price,product_id,size
InStock,/nl/huidverzorging/serums/c/6x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 18:20:10.725412,https://www.chanel.com,https://www.chanel.com/nl/huidverzorging/p/140885/n1-de-chanel-serum-revitalisant-voorkomt-en-corrigeert-de-5-tekenen-van-veroudering/,Netherlands,,VOORKOMT EN CORRIGEERT DE 5 TEKENEN VAN VEROUDERING,,N°1 DE CHANEL SÉRUM REVITALISANT,€ 138,140885,"50 ml ,30 ml "
InStock,/nl/huidverzorging/serums/c/6x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 18:20:10.725412,https://www.chanel.com,https://www.chanel.com/nl/huidverzorging/p/140885/n1-de-chanel-serum-revitalisant-voorkomt-en-corrigeert-de-5-tekenen-van-veroudering/,Netherlands,,VOORKOMT EN CORRIGEERT DE 5 TEKENEN VAN VEROUDERING,,N°1 DE CHANEL SÉRUM REVITALISANT,€ 138,140885,"50 ml ,30 ml "
InStock,/nl/huidverzorging/cremes/c/6x1x5/,,aeid5473,aeid5473_chanel,2022-11-03 18:20:10.725412,https://www.chanel.com,https://www.chanel.com/nl/huidverzorging/p/141180/sublimage-lextrait-de-creme-ultiem-regenererende-en-herstellende-creme/,Netherlands,,ULTIEM REGENERERENDE EN HERSTELLENDE CRÈME,,SUBLIMAGE L’EXTRAIT DE CRÈME,€ 530,141180,
InStock,/nl/huidverzorging/oog-en-lipverzorging/c/6x1x2/,,aeid5473,aeid5473_chanel,2022-11-03 18:20:10.725412,https://www.chanel.com,https://www.chanel.com/nl/huidverzorging/p/141160/sublimage-la-creme-yeux-ultiem-herstel-van-de-oogcontour/,Netherlands,,ULTIEM HERSTEL VAN DE OOGCONTOUR,,SUBLIMAGE LA CRÈME YEUX,€ 180,141160,
InStock,/nl/huidverzorging/cremes/c/6x1x5/,,aeid5473,aeid5473_chanel,2022-11-03 18:20:10.725412,https://www.chanel.com,https://www.chanel.com/nl/huidverzorging/p/141130/sublimage-la-creme-ultiem-herstel-van-de-huid/,Netherlands,,ULTIEM HERSTEL VAN DE HUID,,SUBLIMAGE LA CRÈME,€ 360,141130,
InStock,/nl/huidverzorging/cremes/c/6x1x5/,,aeid5473,aeid5473_chanel,2022-11-03 18:20:10.725412,https://www.chanel.com,https://www.chanel.com/nl/huidverzorging/p/141140/sublimage-la-creme-texture-supreme-ultiem-herstel-van-de-huid/,Netherlands,,ULTIEM HERSTEL VAN DE HUID,,SUBLIMAGE LA CRÈME Texture Suprême,€ 360,141140,
InStock,/nl/make-up/nagels/c/5x1x7/,,aeid5473,aeid5473_chanel,2022-11-03 18:20:10.725412,https://www.chanel.com,https://www.chanel.com/nl/make-up/p/159895/le-vernis-langhoudende-nagellak/,Netherlands,,LANGHOUDENDE NAGELLAK,,LE VERNIS,€ 28, 159895,
InStock,/nl/make-up/penselen-en-accessoires/c/5x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 18:20:10.725412,https://www.chanel.com,https://www.chanel.com/nl/make-up/p/138856/pinceau-duo-contour-yeux-retractable-n201-duopenseel-om-te-definieren-en-uit-te-werken/,Netherlands,,DUOPENSEEL: OM TE DEFINIËREN EN UIT TE WERKEN,,PINCEAU DUO CONTOUR YEUX RÉTRACTABLE N°201,€ 49,138856,
InStock,/nl/make-up/ogen/c/5x1x4/,,aeid5473,aeid5473_chanel,2022-11-03 18:20:10.725412,https://www.chanel.com,https://www.chanel.com/nl/make-up/p/187615/le-crayon-khol-kohlpotlood/,Netherlands,61 - NOIR,KOHLPOTLOOD,,LE CRAYON KHÔL,€ 25,187615,
InStock,/nl/huidverzorging/tonics-lotions/c/6x1x9/,,aeid5473,aeid5473_chanel,2022-11-03 18:20:10.725412,https://www.chanel.com,https://www.chanel.com/nl/huidverzorging/p/141020/hydra-beauty-micro-liquid-essence-hydraterend-verkwikkend-egaliserend/,Netherlands,,HYDRATEREND VERKWIKKEND EGALISEREND,,HYDRA BEAUTY MICRO LIQUID ESSENCE,€ 90,141020,
InStock,/nl/huidverzorging/tonics-lotions/c/6x1x9/,,aeid5473,aeid5473_chanel,2022-11-03 18:20:10.725412,https://www.chanel.com,https://www.chanel.com/nl/huidverzorging/p/143170/hydra-beauty-lotion-very-moist-hydratatie-bescherming-en-stralende-huid/,Netherlands,,"HYDRATATIE, BESCHERMING EN STRALENDE HUID",,HYDRA BEAUTY LOTION VERY MOIST,€ 53,143170,
InStock,/nl/huidverzorging/cremes/c/6x1x5/,,aeid5473,aeid5473_chanel,2022-11-03 18:20:10.725412,https://www.chanel.com,https://www.chanel.com/nl/huidverzorging/p/141070/hydra-beauty-micro-creme-hydraterend-verstevigend-versterkend/,Netherlands,,HYDRATEREND VERSTEVIGEND VERSTERKEND,,HYDRA BEAUTY MICRO CRÈME,€ 84,141070,
InStock,/nl/make-up/nagels/c/5x1x7/,,aeid5473,aeid5473_chanel,2022-11-03 18:20:10.725412,https://www.chanel.com,https://www.chanel.com/nl/make-up/p/159891/le-vernis-langhoudende-nagellak/,Netherlands,,LANGHOUDENDE NAGELLAK,,LE VERNIS,€ 28, 159891,
InStock,/nl/make-up/nagels/c/5x1x7/,,aeid5473,aeid5473_chanel,2022-11-03 18:20:10.725412,https://www.chanel.com,https://www.chanel.com/nl/make-up/p/159508/le-vernis-langhoudende-nagellak/,Netherlands,,LANGHOUDENDE NAGELLAK,,LE VERNIS,€ 28, 159508,
InStock,/nl/make-up/nagels/c/5x1x7/,,aeid5473,aeid5473_chanel,2022-11-03 18:20:10.725412,https://www.chanel.com,https://www.chanel.com/nl/make-up/p/159014/le-vernis-langhoudende-nagellak/,Netherlands,,LANGHOUDENDE NAGELLAK,,LE VERNIS,€ 28, 159014,
InStock,/nl/make-up/ogen/c/5x1x4/,,aeid5473,aeid5473_chanel,2022-11-03 18:20:10.725412,https://www.chanel.com,https://www.chanel.com/nl/make-up/p/151937/les-4-ombres-exclusieve-creatie-oogschaduw-met-veelzijdig-effect-editie-ombres-de-lune/,Netherlands,937 - OMBRES DE LUNE,OOGSCHADUW MET VEELZIJDIG EFFECT <br>EDITIE OMBRES DE LUNE,,LES 4 OMBRES - EXCLUSIEVE CREATIE,€ 57,151937,
InStock,/nl/make-up/nagels/c/5x1x7/,,aeid5473,aeid5473_chanel,2022-11-03 18:20:10.725412,https://www.chanel.com,https://www.chanel.com/nl/make-up/p/159014/le-vernis-langhoudende-nagellak/,Netherlands,,LANGHOUDENDE NAGELLAK,,LE VERNIS,€ 28, 159014,
InStock,/nl/brillen/brillen/c/2x1x2/,,aeid5473,aeid5473_chanel,2022-11-03 18:20:10.725412,https://www.chanel.com,https://www.chanel.com/nl/brillen/p/A75264X08222V371452NOCCI/vierkante-bril-donker-schildpad/,Netherlands,Donker schildpad,Donker schildpad,Acetaat & glazen parels,Vierkante bril,€ 460,A75264X08222V371452NOCCI,"Gemiddeld (52 mm) ,Groot (54 mm) "
OutofStock,/nl/horloges/j12/c/4x2x1/,,aeid5473,aeid5473_chanel,2022-11-03 18:20:10.725412,https://www.chanel.com,https://www.chanel.com/nl/horloges/p/H5702/j12-horloge-kaliber-12-1-38-mm/,Netherlands,Zwart,"Extreem sterk zwart keramiek en staal, diamanten urenindicatoren",Zwart keramiek,"J12 horloge Kaliber 12.1, 38 mm",€ 9 450,H5702,
OutofStock,/nl/horloges/j12/c/4x2x1/,,aeid5473,aeid5473_chanel,2022-11-03 18:20:10.725412,https://www.chanel.com,https://www.chanel.com/nl/horloges/p/H6185/j12-phantom-horloge-kaliber-12-1-38-mm/,Netherlands,Zwart,Extreem sterk zwart keramiek en staal,Zwart keramiek,"J12 Phantom horloge Kaliber 12.1, 38 mm",€ 8 400,H6185,
OutofStock,/nl/horloges/j12/c/4x2x1/,,aeid5473,aeid5473_chanel,2022-11-03 18:20:10.725412,https://www.chanel.com,https://www.chanel.com/nl/horloges/p/H5697/j12-horloge-kaliber-12-1-38-mm/,Netherlands,Zwart,Extreem sterk zwart keramiek en staal,Zwart keramiek,"J12 horloge Kaliber 12.1, 38 mm",€ 7 850,H5697,
InStock,/nl/huidverzorging/gommages-en-maskers/c/6x1x7/,,aeid5473,aeid5473_chanel,2022-11-03 18:20:10.725412,https://www.chanel.com,https://www.chanel.com/nl/huidverzorging/p/141249/le-blanc-masque-createur-de-lumiere-revitaliserend-verhlederend-herstellend/,Netherlands,,CRÉATEUR DE LUMIÈRE <br>REVITALISEREND - VERHLEDEREND - HERSTELLEND,,LE BLANC MASQUE,€ 76,141249,
InStock,/nl/make-up/nagels/c/5x1x7/,,aeid5473,aeid5473_chanel,2022-11-03 18:20:10.725412,https://www.chanel.com,https://www.chanel.com/nl/make-up/p/158350/le-gel-coat-gel-coat/,Netherlands,,GEL COAT,,LE GEL COAT,€ 28,158350,
InStock,/nl/huidverzorging/lichaamsverzorging/c/6x1x1/,,aeid5473,aeid5473_chanel,2022-11-03 18:20:10.725412,https://www.chanel.com,https://www.chanel.com/nl/huidverzorging/p/102050/lhuile-vanille-massageolie-voor-het-lichaam/,Netherlands,,MASSAGEOLIE VOOR HET LICHAAM,,L'HUILE VANILLE,€ 195,102050,
InStock,/nl/huidverzorging/olien/c/6x1x8/,,aeid5473,aeid5473_chanel,2022-11-03 18:20:10.725412,https://www.chanel.com,https://www.chanel.com/nl/huidverzorging/p/102030/lhuile-rose-massageolie-voor-het-lichaam/,Netherlands,,MASSAGEOLIE VOOR HET LICHAAM,,L'HUILE ROSE,€ 195,102030,
InStock,/nl/make-up/nagels/c/5x1x7/,,aeid5473,aeid5473_chanel,2022-11-03 18:20:10.725412,https://www.chanel.com,https://www.chanel.com/nl/make-up/p/158350/le-gel-coat-gel-coat/,Netherlands,,GEL COAT,,LE GEL COAT,€ 28,158350,
InStock,/nl/make-up/nagels/c/5x1x7/,,aeid5473,aeid5473_chanel,2022-11-03 18:20:10.725412,https://www.chanel.com,https://www.chanel.com/nl/make-up/p/158340/le-top-coat-snel-droog-en-glanzend/,Netherlands,,SNEL DROOG EN GLANZEND,,LE TOP COAT,€ 28,158340,
InStock,/nl/make-up/nagels/c/5x1x7/,,aeid5473,aeid5473_chanel,2022-11-03 18:20:10.725412,https://www.chanel.com,https://www.chanel.com/nl/make-up/p/158347/le-top-coat-top-coat-met-amberkleurige-schitteringen/,Netherlands,347 -  ÉTOILÉ,TOP COAT MET AMBERKLEURIGE SCHITTERINGEN,,LE TOP COAT,€ 28,158347,
