Availability,Context_Identifier,Execution_Id,Feed_Code,Record_Create_By,Record_Create_Date,Site,Source,Source_Country,color,description,material,name,price,product_id,size
OutofStock,/no/skincare/serums-concentrates/c/6x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 19:27:45.189421,https://www.chanel.com,https://www.chanel.com/no/skincare/p/141190/sublimage-lessence-fondamentale-ultimate-redefining-concentrate/,Norway,,ULTIMATE REDEFINING CONCENTRATE,,SUBLIMAGE L’ESSENCE FONDAMENTALE,NOK4 530,141190,
OutofStock,/no/skincare/serums-concentrates/c/6x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 19:27:45.189421,https://www.chanel.com,https://www.chanel.com/no/skincare/p/140885/n1-de-chanel-revitalizing-serum-prevents-and-corrects-the-appearance-of-the-5-signs-of-aging/,Norway,,PREVENTS AND CORRECTS THE APPEARANCE OF THE 5 SIGNS OF AGING,,N°1 DE CHANEL REVITALIZING SERUM,NOK1 515,140885,"50 ml ,30 ml "
OutofStock,/no/makeup/lips/c/5x1x1/,,aeid5473,aeid5473_chanel,2022-11-03 19:27:45.189421,https://www.chanel.com,https://www.chanel.com/no/makeup/p/145382/n1-de-chanel-lip-and-cheek-balm-enhances-colour-nourishes-plumps/,Norway,,ENHANCES COLOUR - NOURISHES - PLUMPS,,N°1 DE CHANEL LIP AND CHEEK BALM,NOK500,145382,
OutofStock,/no/skincare/toners-lotions/c/6x1x9/,,aeid5473,aeid5473_chanel,2022-11-03 19:27:45.189421,https://www.chanel.com,https://www.chanel.com/no/skincare/p/140730/n1-de-chanel-revitalizing-lotion-energises-refines-plumps/,Norway,,ENERGISES - REFINES - PLUMPS,,N°1 DE CHANEL REVITALIZING LOTION,NOK660,140730,
OutofStock,/no/skincare/mists/c/6x1x10/,,aeid5473,aeid5473_chanel,2022-11-03 19:27:45.189421,https://www.chanel.com,https://www.chanel.com/no/skincare/p/140790/n1-de-chanel-revitalizing-serum-in-mist-anti-pollution-refreshes-boosts-radiance/,Norway,,ANTI-POLLUTION - REFRESHES - BOOSTS RADIANCE,,N°1 DE CHANEL REVITALIZING SERUM-IN-MIST,NOK855,140790,
OutofStock,/no/skincare/cleansers-makeup-removers/c/6x1x4/,,aeid5473,aeid5473_chanel,2022-11-03 19:27:45.189421,https://www.chanel.com,https://www.chanel.com/no/skincare/p/140630/n1-de-chanel-powder-to-foam-cleanser-cleanses-purifies-illuminates/,Norway,,CLEANSES - PURIFIES - ILLUMINATES<br><br>,,N°1 DE CHANEL POWDER-TO-FOAM CLEANSER,NOK535,140630,
OutofStock,/no/makeup/lips/c/5x1x1/,,aeid5473,aeid5473_chanel,2022-11-03 19:27:45.189421,https://www.chanel.com,https://www.chanel.com/no/makeup/p/145382/n1-de-chanel-lip-and-cheek-balm-enhances-colour-nourishes-plumps/,Norway,,ENHANCES COLOUR - NOURISHES - PLUMPS,,N°1 DE CHANEL LIP AND CHEEK BALM,NOK500,145382,
OutofStock,/no/skincare/eyes-lips/c/6x1x2/,,aeid5473,aeid5473_chanel,2022-11-03 19:27:45.189421,https://www.chanel.com,https://www.chanel.com/no/skincare/p/141680/le-lift-eye-cream-smooths-firms/,Norway,,SMOOTHS - FIRMS,,LE LIFT EYE CREAM,NOK865,141680,
OutofStock,/no/makeup/eyes/c/5x1x4/,,aeid5473,aeid5473_chanel,2022-11-03 19:27:45.189421,https://www.chanel.com,https://www.chanel.com/no/makeup/p/151048/les-4-ombres-tweed-multi-effect-quadra-eyeshadow/,Norway,04 - TWEED BRUN ET ROSE,MULTI-EFFECT QUADRA EYESHADOW,,LES 4 OMBRES TWEED,NOK860,151048,
OutofStock,/no/makeup/eyes/c/5x1x4/,,aeid5473,aeid5473_chanel,2022-11-03 19:27:45.189421,https://www.chanel.com,https://www.chanel.com/no/makeup/p/175028/ombre-premiere-laque-longwear-liquid-eyeshadow/,Norway,28 - DESERT WIND,LONGWEAR LIQUID EYESHADOW,,OMBRE PREMIÈRE LAQUE,NOK355,175028,
