Availability,Context_Identifier,Execution_Id,Feed_Code,Record_Create_By,Record_Create_Date,Site,Source,Source_Country,color,description,material,name,price,product_id,size
InStock,/pl/pielegnacja-skory/serum/c/6x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 19:54:46.211213,https://www.chanel.com,https://www.chanel.com/pl/pielegnacja-skory/p/140885/n1-de-chanel-serum-rewitalizujace-zapobiega-pieciu-oznakom-starzenia-sie-skory-i-koryguje-juz-istniejace/,Poland,,ZAPOBIEGA PIĘCIU OZNAKOM STARZENIA SIĘ SKÓRY I KORYGUJE JUŻ ISTNIEJĄCE<br>,,N°1 DE CHANEL SERUM REWITALIZUJĄCE,658 PLN,140885,"50 ml ,30 ml "
InStock,/pl/pielegnacja-skory/oczy-i-usta/c/6x1x2/,,aeid5473,aeid5473_chanel,2022-11-03 19:54:46.211213,https://www.chanel.com,https://www.chanel.com/pl/pielegnacja-skory/p/141680/le-lift-creme-yeux-wygadzajacy-i-ujedrniajacy-krem-do-pielegnacji-okolic-oczu/,Poland,,WYGŁADZAJĄCY I UJĘDRNIAJĄCY KREM DO PIELĘGNACJI OKOLIC OCZU,,LE LIFT CRÈME YEUX,372 PLN,141680,
InStock,/pl/pielegnacja-skory/toniki-lotiony/c/6x1x9/,,aeid5473,aeid5473_chanel,2022-11-03 19:54:46.211213,https://www.chanel.com,https://www.chanel.com/pl/pielegnacja-skory/p/142500/sublimage-la-lotion-supreme-optymalna-regeneracja-skory/,Poland,,OPTYMALNA REGENERACJA SKÓRY,,SUBLIMAGE LA LOTION SUPRÊME,689 PLN,142500,
InStock,/pl/pielegnacja-skory/nawilzanie/c/6x1x5/,,aeid5473,aeid5473_chanel,2022-11-03 19:54:46.211213,https://www.chanel.com,https://www.chanel.com/pl/pielegnacja-skory/p/141790/le-lift-krem-wygadzajacy-i-ujedrniajacy/,Poland,,KREM WYGŁADZAJĄCY I UJĘDRNIAJĄCY,,LE LIFT,573 PLN,141790,
InStock,/pl/pielegnacja-skory/nawilzanie/c/6x1x5/,,aeid5473,aeid5473_chanel,2022-11-03 19:54:46.211213,https://www.chanel.com,https://www.chanel.com/pl/pielegnacja-skory/p/141780/le-lift-creme-krem-wygadzajacy-i-ujedrniajacy/,Poland,,KREM WYGŁADZAJĄCY I UJĘDRNIAJĄCY,,LE LIFT CRÈME,573 PLN,141780,
InStock,/pl/pielegnacja-skory/demakijaz/c/6x1x4/,,aeid5473,aeid5473_chanel,2022-11-03 19:54:46.211213,https://www.chanel.com,https://www.chanel.com/pl/pielegnacja-skory/p/144360/sublimage-lhuile-en-gel-de-demaquillage-rozswietlajacy-zel-oczyszczajacy-zamieniajacy-sie-w-olejek-optymalny-komfort/,Poland,,ROZŚWIETLAJĄCY ŻEL OCZYSZCZAJĄCY ZAMIENIAJĄCY SIĘ W OLEJEK - OPTYMALNY KOMFORT,,SUBLIMAGE L'HUILE-EN-GEL DE DEMAQUILLAGE,477 PLN,144360,
InStock,/pl/pielegnacja-skory/demakijaz/c/6x1x4/,,aeid5473,aeid5473_chanel,2022-11-03 19:54:46.211213,https://www.chanel.com,https://www.chanel.com/pl/pielegnacja-skory/p/144330/sublimage-le-savon-de-soin-delikatne-mydo-rozswietlajace-do-mycia-twarzy/,Poland,,DELIKATNE MYDŁO ROZŚWIETLAJĄCE DO MYCIA TWARZY,,SUBLIMAGE LE SAVON DE SOIN,456 PLN,144330,
InStock,/pl/pielegnacja-skory/serum/c/6x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 19:54:46.211213,https://www.chanel.com,https://www.chanel.com/pl/pielegnacja-skory/p/141490/sublimage-lessence-lumiere-absolutna-perfekcja-skory/,Poland,,ABSOLUTNA PERFEKCJA SKÓRY,,SUBLIMAGE L’ESSENCE LUMIÈRE,1 971 PLN,141490,
InStock,/pl/pielegnacja-skory/serum/c/6x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 19:54:46.211213,https://www.chanel.com,https://www.chanel.com/pl/pielegnacja-skory/p/141190/sublimage-lessence-fondamentale-optymalna-gestosc-skory/,Poland,,OPTYMALNA GĘSTOŚĆ SKÓRY,,SUBLIMAGE L’ESSENCE FONDAMENTALE,1 923 PLN,141190,
InStock,/pl/pielegnacja-skory/toniki-lotiony/c/6x1x9/,,aeid5473,aeid5473_chanel,2022-11-03 19:54:46.211213,https://www.chanel.com,https://www.chanel.com/pl/pielegnacja-skory/p/144260/sublimage-la-lotion-lumiere-exfoliante-tonik-zuszczajacy-przywracajacy-skorze-blask/,Poland,,"TONIK ZŁUSZCZAJĄCY, PRZYWRACAJĄCY SKÓRZE BLASK",,SUBLIMAGE LA LOTION LUMIÈRE EXFOLIANTE,712 PLN,144260,
InStock,/pl/makijaz/usta/c/5x1x1/,,aeid5473,aeid5473_chanel,2022-11-03 19:54:46.211213,https://www.chanel.com,https://www.chanel.com/pl/makijaz/p/163817/rouge-allure-lextrait-intensywna-pomadka-skoncentrowany-blask-i-pielegnacja-z-wymiennym-wkadem/,Poland,817,INTENSYWNA POMADKA<br>SKONCENTROWANY BLASK I PIELĘGNACJA Z WYMIENNYM WKŁADEM,,ROUGE ALLURE L'EXTRAIT,260 PLN,163817,
InStock,/pl/zapachy/kobiety/c/7x1x1/,,aeid5473,aeid5473_chanel,2022-11-03 19:54:46.211213,https://www.chanel.com,https://www.chanel.com/pl/zapachy/p/116830/coco-mademoiselle-krem-do-ciaa/,Poland,,KREM DO CIAŁA,,COCO MADEMOISELLE,382 PLN,116830,
InStock,/pl/pielegnacja-skory/ciao/c/6x1x1/,,aeid5473,aeid5473_chanel,2022-11-03 19:54:46.211213,https://www.chanel.com,https://www.chanel.com/pl/pielegnacja-skory/p/141640/le-lift-wygadzajacy-i-odzywczy-krem-do-rak-wyrownujacy-koloryt-skory/,Poland,,WYGŁADZAJĄCY I ODŻYWCZY KREM DO RĄK WYRÓWNUJĄCY KOLORYT SKÓRY,,LE LIFT,311 PLN,141640,
InStock,/pl/pielegnacja-skory/nawilzanie/c/6x1x5/,,aeid5473,aeid5473_chanel,2022-11-03 19:54:46.211213,https://www.chanel.com,https://www.chanel.com/pl/pielegnacja-skory/p/143090/hydra-beauty-nutrition-krem-odzywczo-ochronny/,Poland,,KREM ODŻYWCZO-OCHRONNY,,HYDRA BEAUTY NUTRITION,315 PLN,143090,
InStock,/pl/pielegnacja-skory/nawilzanie/c/6x1x5/,,aeid5473,aeid5473_chanel,2022-11-03 19:54:46.211213,https://www.chanel.com,https://www.chanel.com/pl/pielegnacja-skory/p/143030/hydra-beauty-creme-nawilzanie-ochrona-blask/,Poland,,"NAWILŻANIE, OCHRONA, BLASK",,HYDRA BEAUTY CRÈME,309 PLN,143030,
InStock,/pl/pielegnacja-skory/nawilzanie/c/6x1x5/,,aeid5473,aeid5473_chanel,2022-11-03 19:54:46.211213,https://www.chanel.com,https://www.chanel.com/pl/pielegnacja-skory/p/141180/sublimage-lextrait-de-creme-ultimate-regeneration-and-restoring-cream/,Poland,,Ultimate Regeneration and Restoring Cream,,SUBLIMAGE L’EXTRAIT DE CRÈME,2 517 PLN,141180,
