Availability,Context_Identifier,Execution_Id,Feed_Code,Record_Create_By,Record_Create_Date,Site,Source,Source_Country,color,description,material,name,price,product_id,size
InStock,/pt/maquilhagem/labios/c/5x1x1/,,aeid5473,aeid5473_chanel,2022-11-03 20:24:18.713522,https://www.chanel.com,https://www.chanel.com/pt/maquilhagem/p/171924/rouge-coco-baume-o-balsamo-com-cor-hidratante-de-intensidade-sob-medida-para-labios-mais-bonitos-dia-apos-dia/,Portugal,924 - FALL FOR ME,"O BÁLSAMO COM COR HIDRATANTE, DE INTENSIDADE SOB MEDIDA, PARA LÁBIOS MAIS BONITOS DIA APÓS DIA",,ROUGE COCO BAUME,38 €,171924,
InStock,/pt/maquilhagem/labios/c/5x1x1/,,aeid5473,aeid5473_chanel,2022-11-03 20:24:18.713522,https://www.chanel.com,https://www.chanel.com/pt/maquilhagem/p/145382/n1-de-chanel-balsamo-para-labios-e-macas-do-rosto-realca-a-cor-nutre-da-volume/,Portugal,,REALÇA A COR - NUTRE - DÁ VOLUME,,N°1 DE CHANEL BÁLSAMO PARA LÁBIOS E MAÇÃS DO ROSTO,45 €,145382,
InStock,/pt/maquilhagem/labios/c/5x1x1/,,aeid5473,aeid5473_chanel,2022-11-03 20:24:18.713522,https://www.chanel.com,https://www.chanel.com/pt/maquilhagem/p/163817/rouge-allure-lextrait-o-batom-alta-intensidade-extrato-de-luz-e-de-tratamento-recarregavel/,Portugal,817,O BATOM ALTA INTENSIDADE<br>EXTRATO DE LUZ E DE TRATAMENTO RECARREGÁVEL<br>,,ROUGE ALLURE L'EXTRAIT ,55 €,163817,
InStock,/pt/maquilhagem/labios/c/5x1x1/,,aeid5473,aeid5473_chanel,2022-11-03 20:24:18.713522,https://www.chanel.com,https://www.chanel.com/pt/tratamento/p/195050/boy-de-chanel-le-baume-a-levres-balsamo-hidratante-e-sem-brilho-para-os-labios/,Portugal,,BÁLSAMO HIDRATANTE E SEM BRILHO PARA OS LÁBIOS,,BOY DE CHANEL LE BAUME À LÈVRES,38 €,195050,
InStock,/pt/maquilhagem/tez/c/5x1x6/,,aeid5473,aeid5473_chanel,2022-11-03 20:24:18.713522,https://www.chanel.com,https://www.chanel.com/pt/maquilhagem/p/186880/les-beiges-baume-a-levres-balsamo-hidratante-para-labios-ar-saudavel-com-cor/,Portugal,MEDIUM,BÁLSAMO HIDRATANTE PARA LÁBIOS. <br>AR SAUDÁVEL COM COR,,LES BEIGES BAUME À LÈVRES,36 €,186880,
InStock,/pt/maquilhagem/labios/c/5x1x1/,,aeid5473,aeid5473_chanel,2022-11-03 20:24:18.713522,https://www.chanel.com,https://www.chanel.com/pt/maquilhagem/p/188162/le-crayon-levres-lapis-de-labios-longa-duracao/,Portugal,162 - NUDE BRUN,LÁPIS DE LÁBIOS LONGA DURAÇÃO,,LE CRAYON LÈVRES,26 €,188162,
InStock,/pt/maquilhagem/olhos/c/5x1x4/,,aeid5473,aeid5473_chanel,2022-11-03 20:24:18.713522,https://www.chanel.com,https://www.chanel.com/pt/maquilhagem/p/151048/les-4-ombres-tweed-sombras-para-palpebras-efeitos-multiplos/,Portugal,04 - TWEED BRUN ET ROSE,SOMBRAS PARA PÁLPEBRAS EFEITOS MÚLTIPLOS,,LES 4 OMBRES TWEED,78 €,151048,
InStock,/pt/maquilhagem/labios/c/5x1x1/,,aeid5473,aeid5473_chanel,2022-11-03 20:24:18.713522,https://www.chanel.com,https://www.chanel.com/pt/maquilhagem/p/171900/rouge-coco-baume-tratamento-hidratante-reparador/,Portugal,,TRATAMENTO HIDRATANTE REPARADOR,,ROUGE COCO BAUME,38 €,171900,
InStock,/pt/maquilhagem/labios/c/5x1x1/,,aeid5473,aeid5473_chanel,2022-11-03 20:24:18.713522,https://www.chanel.com,https://www.chanel.com/pt/maquilhagem/p/156774/rouge-coco-gloss-top-coat/,Portugal,774 - EXCITATION,TOP COAT,,ROUGE COCO GLOSS,34 €,156774,
InStock,/pt/maquilhagem/olhos/c/5x1x4/,,aeid5473,aeid5473_chanel,2022-11-03 20:24:18.713522,https://www.chanel.com,https://www.chanel.com/pt/maquilhagem/p/192410/inimitable-waterproof-mascara-definicao/,Portugal,10 - NOIR,MÁSCARA DEFINIÇÃO,,INIMITABLE WATERPROOF,38 €,192410,
