Availability,Context_Identifier,Execution_Id,Feed_Code,Record_Create_By,Record_Create_Date,Site,Source,Source_Country,color,description,material,name,price,product_id,size
OutofStock,/ru/makeup/brushes-and-accessories/c/5x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 21:32:16.510809,https://www.chanel.com,https://www.chanel.com/ru/makeup/p/138848/precision-powder-brush-n107-precision-powder-brush/,Russia,,ВЫСОКОТОЧНАЯ КИСТЬ ДЛЯ ПУДРЫ,,PINCEAU POUDRE PRÉCISION N°107,,138848,
OutofStock,/ru/makeup/brushes-and-accessories/c/5x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 21:32:16.510809,https://www.chanel.com,https://www.chanel.com/ru/makeup/p/138846/petit-pinceau-kabuki-kabuki-brush/,Russia,,КИСТЬ ДЛЯ ПУДРЫ КАБУКИ,,PETIT PINCEAU KABUKI,,138846,
OutofStock,/ru/makeup/brushes-and-accessories/c/5x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 21:32:16.510809,https://www.chanel.com,https://www.chanel.com/ru/makeup/p/138160/pinceau-fond-de-teint-retractable-retractable-foundation-brush/,Russia,,СКЛАДНАЯ КИСТЬ ДЛЯ ТОНАЛЬНОГО СРЕДСТВА,,PINCEAU FOND DE TEINT RÉTRACTABLE,,138160,
OutofStock,/ru/makeup/brushes-and-accessories/c/5x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 21:32:16.510809,https://www.chanel.com,https://www.chanel.com/ru/makeup/p/138849/pinceau-contour-n109-contouring-brush/,Russia,,КИСТЬ ДЛЯ СКУЛЬПТУРИРОВАНИЯ,,PINCEAU CONTOUR N°109 ,,138849,
OutofStock,/ru/makeup/brushes-and-accessories/c/5x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 21:32:16.510809,https://www.chanel.com,https://www.chanel.com/ru/makeup/p/138847/pinceau-poudre-n106-powder-brush/,Russia,,КИСТЬ ДЛЯ ПУДРЫ,,PINCEAU POUDRE N°106,,138847,
OutofStock,/ru/makeup/brushes-and-accessories/c/5x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 21:32:16.510809,https://www.chanel.com,https://www.chanel.com/ru/makeup/p/138850/pinceau-blush-n110-blush-brush/,Russia,,КИСТЬ ДЛЯ РУМЯН,,PINCEAU BLUSH N°110,,138850,
OutofStock,/ru/fragrance/men/c/7x1x2/,,aeid5473,aeid5473_chanel,2022-11-03 21:32:16.510809,https://www.chanel.com,https://www.chanel.com/ru/fragrance/p/107180/bleu-de-chanel-parfum-spray/,Russia,,МУЖСКИЕ ДУХИ-СПРЕЙ,,BLEU DE CHANEL,"12,600.00 RUB",107180,"100 ml ,50 ml ,150 ml "
OutofStock,/ru/makeup/brushes-and-accessories/c/5x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 21:32:16.510809,https://www.chanel.com,https://www.chanel.com/ru/makeup/p/138851/pinceau-duo-sourcils-n207-dual-ended-brow-brush-grooms-and-redefines/,Russia,,ДВУСТОРОННЯЯ КИСТЬ ДЛЯ коррекции и фиксирования формы БРОВЕЙ,,PINCEAU DUO SOURCILS N°207,,138851,
OutofStock,/ru/makeup/brushes-and-accessories/c/5x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 21:32:16.510809,https://www.chanel.com,https://www.chanel.com/ru/makeup/p/138852/pinceau-ombreur-rond-n204-eyeshadow-brush/,Russia,,КИСТЬ ДЛЯ ТЕНЕЙ,,PINCEAU OMBREUR ROND N°204,,138852,
OutofStock,/ru/makeup/eyes/c/5x1x4/,,aeid5473,aeid5473_chanel,2022-11-03 21:32:16.510809,https://www.chanel.com,https://www.chanel.com/ru/makeup/p/183750/signature-de-chanel-precise-intense-waterproof-eyeliner-pencil/,Russia,10 - NOIR,ВОДОСТОЙКИЙ КАРАНДАШ ДЛЯ ГЛАЗ − ЧЕТКОСТЬ И ИНТЕНСИВНОСТЬ,,SIGNATURE DE CHANEL,,183750,
