Availability,Context_Identifier,Execution_Id,Feed_Code,Record_Create_By,Record_Create_Date,Site,Source,Source_Country,color,description,material,name,price,product_id,size
OutofStock,/ch-de/hautpflege/cremes/c/6x1x5/,,aeid5473,aeid5473_chanel,2022-11-03 18:51:57.649696,https://www.chanel.com,https://www.chanel.com/ch-de/hautpflege/p/141790/le-lift-creme-riche-glaettend-festigend/,Switzerland,,GLÄTTEND - FESTIGEND,,LE LIFT CRÈME RICHE,176 CHF,141790,
OutofStock,/ch-de/make-up/pinsel-und-accessoires/c/5x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 18:51:57.649696,https://www.chanel.com,https://www.chanel.com/ch-de/make-up/p/137500/miroir-double-facettes-taschenspiegel-mit-zwei-facetten/,Switzerland,,TASCHENSPIEGEL MIT ZWEI FACETTEN,,MIROIR DOUBLE FACETTES,49 CHF,137500,
OutofStock,/ch-de/hautpflege/augen-und-lippenpflege/c/6x1x2/,,aeid5473,aeid5473_chanel,2022-11-03 18:51:57.649696,https://www.chanel.com,https://www.chanel.com/ch-de/hautpflege/p/141680/le-lift-creme-yeux-glaettend-festigend/,Switzerland,,GLÄTTEND - FESTIGEND,,LE LIFT CRÈME YEUX,115 CHF,141680,
OutofStock,/ch-de/hautpflege/cremes/c/6x1x5/,,aeid5473,aeid5473_chanel,2022-11-03 18:51:57.649696,https://www.chanel.com,https://www.chanel.com/ch-de/hautpflege/p/141780/le-lift-creme-glaettend-festigend/,Switzerland,,GLÄTTEND - FESTIGEND,,LE LIFT CRÈME,176 CHF,141780,
OutofStock,/ch-de/hautpflege/reinigung/c/6x1x4/,,aeid5473,aeid5473_chanel,2022-11-03 18:51:57.649696,https://www.chanel.com,https://www.chanel.com/ch-de/hautpflege/p/144330/sublimage-le-savon-de-soin-sanft-reinigende-seife-fuer-leuchtkraft/,Switzerland,,SANFT REINIGENDE SEIFE FÜR LEUCHTKRAFT,,SUBLIMAGE LE SAVON DE SOIN,120 CHF,144330,
OutofStock,/ch-de/make-up/pinsel-und-accessoires/c/5x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 18:51:57.649696,https://www.chanel.com,https://www.chanel.com/ch-de/make-up/p/138856/pinceau-duo-contour-yeux-retractable-n201-doppelseitiger-pinsel-definieren-und-verblenden/,Switzerland,,DOPPELSEITIGER PINSEL: DEFINIEREN UND VERBLENDEN,,PINCEAU DUO CONTOUR YEUX RÉTRACTABLE N°201,62 CHF,138856,
OutofStock,/ch-de/make-up/pinsel-und-accessoires/c/5x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 18:51:57.649696,https://www.chanel.com,https://www.chanel.com/ch-de/make-up/p/186097/les-beiges-maxi-pinceau-kabuki-grosser-kabuki-pinsel-fuer-gesicht-und-koerper/,Switzerland,,GROSSER KABUKI-PINSEL. FÜR GESICHT UND KÖRPER.,,LES BEIGES MAXI PINCEAU KABUKI,62 CHF,186097,
OutofStock,/ch-de/parfum/herren/c/7x1x2/,,aeid5473,aeid5473_chanel,2022-11-03 18:51:57.649696,https://www.chanel.com,https://www.chanel.com/ch-de/parfum/p/121250/allure-homme-aftershave-emulsion/,Switzerland,,AFTERSHAVE-EMULSION,,ALLURE HOMME,67 CHF,121250,
OutofStock,/ch-de/hautpflege/seren/c/6x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 18:51:57.649696,https://www.chanel.com,https://www.chanel.com/ch-de/hautpflege/p/140885/n1-de-chanel-revitalisierendes-serum-wirkt-vorbeugend-und-korrigierend-auf-die-5-sichtbaren-zeichen-der-hautalterung/,Switzerland,,WIRKT VORBEUGEND UND KORRIGIEREND AUF DIE 5 SICHTBAREN ZEICHEN DER HAUTALTERUNG,,N°1 DE CHANEL REVITALISIERENDES SERUM,179 CHF,140885,"50 ml ,30 ml "
OutofStock,/ch-de/hautpflege/cremes/c/6x1x5/,,aeid5473,aeid5473_chanel,2022-11-03 18:51:57.649696,https://www.chanel.com,https://www.chanel.com/ch-de/hautpflege/p/143030/hydra-beauty-creme-hydratation-schutz-leuchtkraft/,Switzerland,,HYDRATATION – SCHUTZ – LEUCHTKRAFT,,HYDRA BEAUTY CRÈME,98 CHF,143030,
OutofStock,/ch-de/hautpflege/koerperpflege/c/6x1x1/,,aeid5473,aeid5473_chanel,2022-11-03 18:51:57.649696,https://www.chanel.com,https://www.chanel.com/ch-de/hautpflege/p/141640/le-lift-la-creme-main-glaettend-ausgleichend-hautdichte-erhoehend/,Switzerland,,GLÄTTEND - AUSGLEICHEND - HAUTDICHTE ERHÖHEND,,LE LIFT LA CRÈME MAIN,80 CHF,141640,
