Availability,Context_Identifier,Execution_Id,Feed_Code,Record_Create_By,Record_Create_Date,Site,Source,Source_Country,color,description,material,name,price,product_id,size
OutofStock,/ae/skincare/serums-concentrates/c/6x1x3/,,aeid5473,aeid5473_chanel,2022-11-04 00:29:56.687145,https://www.chanel.com,https://www.chanel.com/ae/skincare/p/140885/n1-de-chanel-revitalizing-serum-prevents-and-corrects-the-appearance-of-the-5-signs-of-aging/,UAE,,يمنع ظهور العلامات الخمس لتقدم سن البشرة ويصححها,,N°1 DE CHANEL SÉRUM REVITALISANT,AED ٦٥٥,140885,"50 ml ,30 ml "
OutofStock,/ae/skincare/moisturisers/c/6x1x5/,,aeid5473,aeid5473_chanel,2022-11-04 00:29:56.687145,https://www.chanel.com,https://www.chanel.com/ae/skincare/p/141180/sublimage-lextrait-de-creme-ultimate-revitalising-and-restoring-cream/,UAE,,<br>كريم مثالي لتجديد البشرة وإصلاحها,,SUBLIMAGE L’EXTRAIT DE CRÈME,AED ٢ ٣٩٥,141180,
OutofStock,/ae/skincare/eyes-lips/c/6x1x2/,,aeid5473,aeid5473_chanel,2022-11-04 00:29:56.687145,https://www.chanel.com,https://www.chanel.com/ae/skincare/p/141160/sublimage-la-creme-yeux-ultimate-revitalisation-eye-cream/,UAE,,إعادة تجديد مطلقة لمحيط العينين,,SUBLIMAGE LA CRÈME YEUX,AED ٨٣٠,141160,
OutofStock,/ae/skincare/moisturisers/c/6x1x5/,,aeid5473,aeid5473_chanel,2022-11-04 00:29:56.687145,https://www.chanel.com,https://www.chanel.com/ae/skincare/p/141140/sublimage-la-creme-ultimate-skin-revitalisation-texture-supreme/,UAE,,قدرة عالية على التجديد,,SUBLIMAGE LA CRÈME Texture Suprême,AED ١ ٦٩٥,141140,
OutofStock,/ae/skincare/moisturisers/c/6x1x5/,,aeid5473,aeid5473_chanel,2022-11-04 00:29:56.687145,https://www.chanel.com,https://www.chanel.com/ae/skincare/p/141130/sublimage-la-creme-ultimate-skin-revitalisation/,UAE,,قدرة عالية على التجديد,,SUBLIMAGE LA CRÈME ,AED ١ ٦٩٥,141130,
OutofStock,/ae/skincare/cleansers-makeup-removers/c/6x1x4/,,aeid5473,aeid5473_chanel,2022-11-04 00:29:56.687145,https://www.chanel.com,https://www.chanel.com/ae/skincare/p/141370/lhuile-anti-pollution-cleansing-oil/,UAE,,زيت مزيل للماكياج ومضاد للتلوث,,L’HUILE,AED ١٩٠,141370,
OutofStock,/ae/skincare/moisturisers/c/6x1x5/,,aeid5473,aeid5473_chanel,2022-11-04 00:29:56.687145,https://www.chanel.com,https://www.chanel.com/ae/skincare/p/141120/sublimage-la-creme-ultimate-skin-revitalisation-texture-fine/,UAE,,قدرة عالية على التجديد,,SUBLIMAGE LA CRÈME Texture Fine,AED ١ ٦٩٥,141120,
OutofStock,/ae/makeup/lips/c/5x1x1/,,aeid5473,aeid5473_chanel,2022-11-04 00:29:56.687145,https://www.chanel.com,https://www.chanel.com/ae/makeup/p/145382/n1-de-chanel-lip-and-cheek-balm-enhances-colour-nourishes-plumps/,UAE,,يُحسّن االون - يُغذي - يُعزز الامتلاء,,N°1 DE CHANEL BAUME LÈVRES ET JOUES,AED ٢١٠,145382,
OutofStock,/ae/makeup/complexion/c/5x1x6/,,aeid5473,aeid5473_chanel,2022-11-04 00:29:56.687145,https://www.chanel.com,https://www.chanel.com/ae/makeup/p/186921/les-beiges-blush-stick-sheer-blush-in-a-stick-for-a-healthy-glow/,UAE,BLUSH N°21,قلم تلوين الوجنتين لإشراقة صحية وطبيعية.,,LES BEIGES STICK BLUSH,AED ٢١٠,186921,
OutofStock,/ae/makeup/lips/c/5x1x1/,,aeid5473,aeid5473_chanel,2022-11-04 00:29:56.687145,https://www.chanel.com,https://www.chanel.com/ae/makeup/p/171924/rouge-coco-baume-a-hydrating-tinted-lip-balm-that-offers-buildable-colour-for-better-looking-lips-day-after-day/,UAE,924 - FALL FOR ME,بلسم بأصباغ مرطّب، بكثافة قابلة للزيادة لشفاه أكثر جمالًا يومًا بعد يوم.,,ROUGE COCO BAUME,AED ١٨٠,171924,
