Availability,Context_Identifier,Execution_Id,Feed_Code,Record_Create_By,Record_Create_Date,Site,Source,Source_Country,color,description,material,name,price,product_id,size
InStock,/us/skincare/cleansers-makeup-removers/c/6x1x4/,,aeid5473,aeid5473_chanel,2022-11-04 00:15:58.809136,https://www.chanel.com,https://www.chanel.com/us/skincare/p/141450/la-mousse-anti-pollution-cleansing-cream-to-foam/,USA,,Anti-Pollution Cleansing Cream-to-Foam,,LA MOUSSE,$50,141450,
InStock,/us/skincare/body/c/6x1x1/,,aeid5473,aeid5473_chanel,2022-11-04 00:15:58.809136,https://www.chanel.com,https://www.chanel.com/us/skincare/p/144010/sublimage-la-creme-corps-et-decollete-the-regenerating-radiance-fresh-body-cream/,USA,,The Regenerating Radiance Fresh Body Cream,,SUBLIMAGE LA CRÈME CORPS ET DÉCOLLETÉ,$295,144010,
InStock,/us/skincare/moisturizers/c/6x1x5/,,aeid5473,aeid5473_chanel,2022-11-04 00:15:58.809136,https://www.chanel.com,https://www.chanel.com/us/skincare/p/140640/n1-de-chanel-revitalizing-eye-cream-anti-dark-circles-anti-puffiness-smooths/,USA,,Anti-Dark Circles – Anti-Puffiness – Smooths,,N°1 DE CHANEL REVITALIZING EYE CREAM,$75,140640,
InStock,/us/skincare/masks-exfoliators/c/6x1x7/,,aeid5473,aeid5473_chanel,2022-11-04 00:15:58.809136,https://www.chanel.com,https://www.chanel.com/us/skincare/p/142280/le-gommage-anti-pollution-exfoliating-gel/,USA,,Anti-Pollution Exfoliating Gel,,LE GOMMAGE,$50,142280,
InStock,/us/skincare/body/c/6x1x1/,,aeid5473,aeid5473_chanel,2022-11-04 00:15:58.809136,https://www.chanel.com,https://www.chanel.com/us/skincare/p/140350/la-creme-main-nourish-soften-brighten/,USA,,Nourish - Soften - Brighten,,LA CRÈME MAIN,$50,140350,
InStock,/us/fragrance/men/c/7x1x2/,,aeid5473,aeid5473_chanel,2022-11-04 00:15:58.809136,https://www.chanel.com,https://www.chanel.com/us/fragrance/p/107180/bleu-de-chanel-parfum-spray/,USA,,Parfum Spray,,BLEU DE CHANEL,$160,107180,"3.4 FL. OZ. ,1.7 FL. OZ. ,5 FL. OZ. "
InStock,/us/skincare/serums/c/6x1x3/,,aeid5473,aeid5473_chanel,2022-11-04 00:15:58.809136,https://www.chanel.com,https://www.chanel.com/us/skincare/p/141190/sublimage-lessence-fondamentale-ultimate-redefining-concentrate/,USA,,Ultimate Redefining Concentrate,,SUBLIMAGE L’ESSENCE FONDAMENTALE,$500,141190,
InStock,/us/makeup/lips/c/5x1x1/,,aeid5473,aeid5473_chanel,2022-11-04 00:15:58.809136,https://www.chanel.com,https://www.chanel.com/us/makeup/p/162567/rouge-allure-velvet-luminous-matte-lip-colour/,USA,56 - ROUGE CHARNEL,Luminous Matte Lip Colour,,ROUGE ALLURE VELVET,$42,162567,
InStock,/us/makeup/nails/c/5x1x7/,,aeid5473,aeid5473_chanel,2022-11-04 00:15:58.809136,https://www.chanel.com,https://www.chanel.com/us/makeup/p/159965/le-vernis-longwear-nail-colour/,USA,,Longwear Nail Colour,,LE VERNIS,$30, 159965,
InStock,/us/makeup/brushes-and-accessories/c/5x1x3/,,aeid5473,aeid5473_chanel,2022-11-04 00:15:58.809136,https://www.chanel.com,https://www.chanel.com/us/makeup/p/138842/les-pinceaux-de-chanel-2-in-1-foundation-brush-fluid-and-powder-n101/,USA,,2-in-1 Foundation Brush Fluid and Powder N°101,,LES PINCEAUX DE CHANEL,$50,138842,
