Availability,Context_Identifier,Execution_Id,Feed_Code,Record_Create_By,Record_Create_Date,Site,Source,Source_Country,color,description,material,name,price,product_id,size
InStock,/fi/makeup/eyes/c/5x1x4/,,aeid5473,aeid5473_chanel,2022-11-03 13:40:55.443978,https://www.chanel.com,https://www.chanel.com/fi/makeup/p/191710/le-volume-revolution-de-chanel-extreme-volume-mascara-3d-printed-brush/,Finland,10 - NOIR,EXTREME VOLUME MASCARA <br>3D-PRINTED BRUSH<br>,,LE VOLUME RÉVOLUTION DE CHANEL,40 €,191710,
InStock,/fi/makeup/eyes/c/5x1x4/,,aeid5473,aeid5473_chanel,2022-11-03 13:40:55.443978,https://www.chanel.com,https://www.chanel.com/fi/makeup/p/151048/les-4-ombres-tweed-multi-effect-quadra-eyeshadow/,Finland,04 - TWEED BRUN ET ROSE,MULTI-EFFECT QUADRA EYESHADOW,,LES 4 OMBRES TWEED,82 €,151048,
InStock,/fi/makeup/eyes/c/5x1x4/,,aeid5473,aeid5473_chanel,2022-11-03 13:40:55.443978,https://www.chanel.com,https://www.chanel.com/fi/makeup/p/195910/inimitable-extreme-definition-and-smudgeproof-mascara/,Finland,10 - NOIR PUR - PURE BLACK,DEFINITION AND SMUDGEPROOF MASCARA,,INIMITABLE EXTRÊME,40 €,195910,
InStock,/fi/makeup/eyes/c/5x1x4/,,aeid5473,aeid5473_chanel,2022-11-03 13:40:55.443978,https://www.chanel.com,https://www.chanel.com/fi/makeup/p/192410/inimitable-waterproof-definition-mascara/,Finland,10 - NOIR,DEFINITION MASCARA,,INIMITABLE WATERPROOF,40 €,192410,
InStock,/fi/makeup/eyes/c/5x1x4/,,aeid5473,aeid5473_chanel,2022-11-03 13:40:55.443978,https://www.chanel.com,https://www.chanel.com/fi/makeup/p/191310/le-volume-ultra-noir-de-chanel-volume-mascara-intense-black/,Finland,90 - NOIR INTENSE,VOLUME MASCARA<br>INTENSE BLACK,,LE VOLUME ULTRA-NOIR DE CHANEL,40 €,191310,
InStock,/fi/makeup/eyes/c/5x1x4/,,aeid5473,aeid5473_chanel,2022-11-03 13:40:55.443978,https://www.chanel.com,https://www.chanel.com/fi/makeup/p/195710/inimitable-definition-mascara/,Finland,10 - NOIR BLACK,DEFINITION MASCARA,,INIMITABLE,40 €,195710,
InStock,/fi/makeup/brushes-and-accessories/c/5x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 13:40:55.443978,https://www.chanel.com,https://www.chanel.com/fi/makeup/p/138856/pinceau-duo-contour-yeux-retractable-n201-dual-ended-brush-defines-and-blends/,Finland,,DUAL-ENDED BRUSH: DEFINES AND BLENDS,,PINCEAU DUO CONTOUR YEUX RÉTRACTABLE N°201,51 €,138856,
OutofStock,/fi/makeup/brushes-and-accessories/c/5x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 13:40:55.443978,https://www.chanel.com,https://www.chanel.com/fi/makeup/p/186097/les-beiges-oversize-kabuki-brush-oversize-kabuki-brush-for-face-and-body/,Finland,,OVERSIZE KABUKI BRUSH FOR FACE AND BODY.,,LES BEIGES OVERSIZE KABUKI BRUSH,53 €,186097,
InStock,/fi/makeup/lips/c/5x1x1/,,aeid5473,aeid5473_chanel,2022-11-03 13:40:55.443978,https://www.chanel.com,https://www.chanel.com/fi/makeup/p/145382/n1-de-chanel-lip-and-cheek-balm-enhances-colour-nourishes-plumps/,Finland,,ENHANCES COLOUR - NOURISHES - PLUMPS,,N°1 DE CHANEL LIP AND CHEEK BALM,47 €,145382,
InStock,/fi/fragrance/bath-and-body/c/7x1x7/,,aeid5473,aeid5473_chanel,2022-11-03 13:40:55.443978,https://www.chanel.com,https://www.chanel.com/fi/fragrance/p/116945/coco-mademoiselle-moisturising-body-lotion/,Finland,,MOISTURISING BODY LOTION,,COCO MADEMOISELLE,61 €,116945,
