Availability,Context_Identifier,Execution_Id,Feed_Code,Record_Create_By,Record_Create_Date,Site,Source,Source_Country,color,description,material,name,price,product_id,size
InStock,/de/make-up/augen/c/5x1x4/,,aeid5473,aeid5473_chanel,2022-11-02 19:29:14.130817,https://www.chanel.com,https://www.chanel.com/de/make-up/p/181014/le-crayon-yeux-augenkonturenstift/,Germany,01 - NOIR BLACK,AUGENKONTURENSTIFT,,LE CRAYON YEUX,25 €,181014,
InStock,/de/make-up/augen/c/5x1x4/,,aeid5473,aeid5473_chanel,2022-11-02 19:29:14.130817,https://www.chanel.com,https://www.chanel.com/de/make-up/p/187615/le-crayon-khol-khol-schminkstift-fuer-die-augen/,Germany,61 - NOIR,KHÔL-SCHMINKSTIFT FÜR DIE AUGEN,,LE CRAYON KHÔL,25 €,187615,
InStock,/de/make-up/augen/c/5x1x4/,,aeid5473,aeid5473_chanel,2022-11-02 19:29:14.130817,https://www.chanel.com,https://www.chanel.com/de/make-up/p/182204/stylo-ombre-et-contour-3-in-1-stift-lidschatten-eyeliner-und-kajal/,Germany,04 - ELECTRIC BROWN,"3-IN-1 STIFT: LIDSCHATTEN, EYELINER UND KAJAL",,STYLO OMBRE ET CONTOUR,33 €,182204,
InStock,/de/make-up/augen/c/5x1x4/,,aeid5473,aeid5473_chanel,2022-11-02 19:29:14.130817,https://www.chanel.com,https://www.chanel.com/de/make-up/p/187014/stylo-yeux-waterproof-eyeliner-und-kajal-mit-langem-halt/,Germany,10 - ÉBÈNE,EYELINER UND KAJAL MIT LANGEM HALT,,STYLO YEUX WATERPROOF,27 €,187014,
InStock,/de/make-up/augen/c/5x1x4/,,aeid5473,aeid5473_chanel,2022-11-02 19:29:14.130817,https://www.chanel.com,https://www.chanel.com/de/make-up/p/187516/le-liner-de-chanel-hochpraeziser-fluessiger-eyeliner-langanhaltend-und-wasserfest/,Germany,516 - ROUGE NOIR,HOCHPRÄZISER FLÜSSIGER EYELINER ‒ LANGANHALTEND UND WASSERFEST,,LE LINER DE CHANEL,37 €,187516,
InStock,/de/hautpflege/augen-und-lippenpflege/c/6x1x2/,,aeid5473,aeid5473_chanel,2022-11-02 19:29:14.130817,https://www.chanel.com,https://www.chanel.com/de/hautpflege/p/141680/le-lift-creme-yeux-glaettend-festigend/,Germany,,GLÄTTEND - FESTIGEND,,LE LIFT CRÈME YEUX,78 €,141680,
InStock,/de/make-up/augen/c/5x1x4/,,aeid5473,aeid5473_chanel,2022-11-02 19:29:14.130817,https://www.chanel.com,https://www.chanel.com/de/make-up/p/175028/ombre-premiere-laque-fluessiger-lidschatten-mit-langem-halt/,Germany,28 - DESERT WIND,FLÜSSIGER LIDSCHATTEN MIT LANGEM HALT<br>,,OMBRE PREMIÈRE LAQUE,34 €,175028,
InStock,/de/make-up/lippen/c/5x1x1/,,aeid5473,aeid5473_chanel,2022-11-02 19:29:14.130817,https://www.chanel.com,https://www.chanel.com/de/make-up/p/145382/n1-de-chanel-balsam-fuer-lippen-und-wangen-schenkt-farbe-naehrt-polstert-auf/,Germany,,SCHENKT FARBE - NÄHRT - POLSTERT AUF,,N°1 DE CHANEL BALSAM FÜR LIPPEN UND WANGEN,45 €,145382,
InStock,/de/parfum/herren/c/7x1x2/,,aeid5473,aeid5473_chanel,2022-11-02 19:29:14.130817,https://www.chanel.com,https://www.chanel.com/de/parfum/p/121250/allure-homme-aftershave-emulsion/,Germany,,AFTERSHAVE-EMULSION,,ALLURE HOMME,50 €,121250,
InStock,/de/make-up/augen/c/5x1x4/,,aeid5473,aeid5473_chanel,2022-11-02 19:29:14.130817,https://www.chanel.com,https://www.chanel.com/de/make-up/p/184190/les-beiges-lidschatten-palette-lidschatten-palette-fuer-einen-natuerlichen-look/,Germany,TENDER,LIDSCHATTEN-PALETTE FÜR EINEN NATÜRLICHEN LOOK,,LES BEIGES LIDSCHATTEN-PALETTE,60 €,184190,
