Availability,Context_Identifier,Execution_Id,Feed_Code,Record_Create_By,Record_Create_Date,Site,Source,Source_Country,color,description,material,name,price,product_id,size
InStock,/lt/skincare/serums-concentrates/c/6x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 17:08:15.626351,https://www.chanel.com,https://www.chanel.com/lt/skincare/p/140885/n1-de-chanel-revitalizing-serum-prevents-and-corrects-the-appearance-of-the-5-signs-of-aging/,Lithuania,,PREVENTS AND CORRECTS THE APPEARANCE OF THE 5 SIGNS OF AGING,,N°1 DE CHANEL REVITALIZING SERUM,145 €,140885,"50 ml ,30 ml "
InStock,/lt/skincare/moisturisers/c/6x1x5/,,aeid5473,aeid5473_chanel,2022-11-03 17:08:15.626351,https://www.chanel.com,https://www.chanel.com/lt/skincare/p/141790/le-lift-rich-cream-smooths-firms/,Lithuania,,SMOOTHS - FIRMS,,LE LIFT RICH CREAM,126 €,141790,
InStock,/lt/skincare/eyes-lips/c/6x1x2/,,aeid5473,aeid5473_chanel,2022-11-03 17:08:15.626351,https://www.chanel.com,https://www.chanel.com/lt/skincare/p/141680/le-lift-eye-cream-smooths-firms/,Lithuania,,SMOOTHS - FIRMS,,LE LIFT EYE CREAM,82 €,141680,
InStock,/lt/skincare/cleansers-makeup-removers/c/6x1x4/,,aeid5473,aeid5473_chanel,2022-11-03 17:08:15.626351,https://www.chanel.com,https://www.chanel.com/lt/skincare/p/144330/sublimage-le-savon-de-soin-radiance-revealing-rich-cleansing-soap/,Lithuania,,RADIANCE-REVEALING RICH CLEANSING SOAP,,SUBLIMAGE LE SAVON DE SOIN,101 €,144330,
InStock,/lt/skincare/moisturisers/c/6x1x5/,,aeid5473,aeid5473_chanel,2022-11-03 17:08:15.626351,https://www.chanel.com,https://www.chanel.com/lt/skincare/p/141780/le-lift-cream-smooths-firms/,Lithuania,,SMOOTHS - FIRMS,,LE LIFT CREAM,126 €,141780,
InStock,/lt/skincare/toners-lotions/c/6x1x9/,,aeid5473,aeid5473_chanel,2022-11-03 17:08:15.626351,https://www.chanel.com,https://www.chanel.com/lt/skincare/p/142500/sublimage-la-lotion-supreme-ultimate-skin-revitalisation/,Lithuania,,ULTIMATE SKIN REVITALISATION,,SUBLIMAGE LA LOTION SUPRÊME,152 €,142500,
InStock,/lt/makeup/complexion/c/5x1x6/,,aeid5473,aeid5473_chanel,2022-11-03 17:08:15.626351,https://www.chanel.com,https://www.chanel.com/lt/makeup/p/184562/les-beiges-water-fresh-complexion-touch-even-illuminate-hydrate/,Lithuania,B10,EVEN – ILLUMINATE – HYDRATE,,LES BEIGES WATER-FRESH COMPLEXION TOUCH,65 €,184562,
InStock,/lt/makeup/lips/c/5x1x1/,,aeid5473,aeid5473_chanel,2022-11-03 17:08:15.626351,https://www.chanel.com,https://www.chanel.com/lt/makeup/p/171924/rouge-coco-baume-a-hydrating-tinted-lip-balm-that-offers-buildable-colour-for-better-looking-lips-day-after-day/,Lithuania,924 - FALL FOR ME,"A HYDRATING TINTED LIP BALM THAT OFFERS BUILDABLE COLOUR FOR BETTER-LOOKING LIPS, DAY AFTER DAY",,ROUGE COCO BAUME,40 €,171924,
InStock,/lt/skincare/serums-concentrates/c/6x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 17:08:15.626351,https://www.chanel.com,https://www.chanel.com/lt/skincare/p/141960/le-lift-serum-smooths-firms-fortifies/,Lithuania,,SMOOTHS - FIRMS - FORTIFIES,,LE LIFT SERUM ,131 €,141960,"30 ml ,50 ml "
OutofStock,/lt/watches/monsieur/c/4x2x6/,,aeid5473,aeid5473_chanel,2022-11-03 17:08:15.626351,https://www.chanel.com,https://www.chanel.com/lt/watches/p/H6596/monsieur-watch/,Lithuania,Black,"BEIGE GOLD, opaline dial with jumping hour and 240° retrograde minute",BEIGE GOLD,Monsieur Watch,,H6596,
OutofStock,/lt/fine-jewellery/camelia/c/3x2x1/,,aeid5473,aeid5473_chanel,2022-11-03 17:08:15.626351,https://www.chanel.com,https://www.chanel.com/lt/fine-jewellery/p/J12071/bouton-de-camelia-necklace/,Lithuania,White,"18K white gold, diamonds",White gold,Bouton de Camélia necklace,,J12071,
OutofStock,/lt/fine-jewellery/camelia/c/3x2x1/,,aeid5473,aeid5473_chanel,2022-11-03 17:08:15.626351,https://www.chanel.com,https://www.chanel.com/lt/fine-jewellery/p/J11660/extrait-de-camelia-necklace/,Lithuania,Pink,"18K pink gold, diamond",Pink gold,Extrait de Camélia necklace,,J11660,
OutofStock,/lt/fine-jewellery/camelia/c/3x2x1/,,aeid5473,aeid5473_chanel,2022-11-03 17:08:15.626351,https://www.chanel.com,https://www.chanel.com/lt/fine-jewellery/p/J12037/bouton-de-camelia-necklace/,Lithuania,Yellow,"18K yellow gold, diamonds",Yellow gold,Bouton de Camélia necklace,,J12037,
