Availability,Context_Identifier,Execution_Id,Feed_Code,Record_Create_By,Record_Create_Date,Site,Source,Source_Country,color,description,material,name,price,product_id,size
OutofStock,/sa/skincare/serums-concentrates/c/6x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 21:45:09.836756,https://www.chanel.com,https://www.chanel.com/sa/skincare/p/140885/n1-de-chanel-revitalizing-serum-prevents-and-corrects-the-appearance-of-the-5-signs-of-aging/,Kingdom Of Saudi Arabia,,يمنع ظهور العلامات الخمس لتقدم سن البشرة ويصححها,,N°1 DE CHANEL SÉRUM REVITALISANT,,140885,"50 ml ,30 ml "
OutofStock,/sa/skincare/cleansers-makeup-removers/c/6x1x4/,,aeid5473,aeid5473_chanel,2022-11-03 21:45:09.836756,https://www.chanel.com,https://www.chanel.com/sa/skincare/p/141450/la-mousse-anti-pollution-cleansing-cream-to-foam/,Kingdom Of Saudi Arabia,,كريم - رغوة منظّفة مضادة للتلوث,,LA MOUSSE,,141450,
OutofStock,/sa/skincare/cleansers-makeup-removers/c/6x1x4/,,aeid5473,aeid5473_chanel,2022-11-03 21:45:09.836756,https://www.chanel.com,https://www.chanel.com/sa/skincare/p/141370/lhuile-anti-pollution-cleansing-oil/,Kingdom Of Saudi Arabia,,زيت مزيل للماكياج ومضاد للتلوث,,L’HUILE,,141370,
OutofStock,/sa/skincare/serums-concentrates/c/6x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 21:45:09.836756,https://www.chanel.com,https://www.chanel.com/sa/skincare/p/141960/le-lift-serum-smooths-firms-fortifies/,Kingdom Of Saudi Arabia,,سيروم منعم وشاد للبشرة,,LE LIFT SERUM ,,141960,"30 ml ,50 ml "
OutofStock,/sa/skincare/eyes-lips/c/6x1x2/,,aeid5473,aeid5473_chanel,2022-11-03 21:45:09.836756,https://www.chanel.com,https://www.chanel.com/sa/skincare/p/141680/le-lift-eye-cream-smooths-firms/,Kingdom Of Saudi Arabia,,كريم منعم للعينين وشاد لها,,LE LIFT CRÈME YEUX,,141680,
OutofStock,/sa/skincare/masks-scrubs/c/6x1x7/,,aeid5473,aeid5473_chanel,2022-11-03 21:45:09.836756,https://www.chanel.com,https://www.chanel.com/sa/skincare/p/141910/camellia-repair-mask-multi-use-hydrating-and-comforting-mask/,Kingdom Of Saudi Arabia,,قناع مريح للبشرة ومرطب لها متعدد الاستعمالات,,CAMELLIA REPAIR MASK,,141910,
OutofStock,/sa/makeup/lips/c/5x1x1/,,aeid5473,aeid5473_chanel,2022-11-03 21:45:09.836756,https://www.chanel.com,https://www.chanel.com/sa/makeup/p/163817/rouge-allure-lextrait-high-intensity-lip-colour-concentrated-radiance-and-care-refillable/,Kingdom Of Saudi Arabia,817,أحمر شفاه عالي الكثافة<br>تركيز من النضارة والعناية<br>قابل لإعادة تعبئة,,ROUGE ALLURE L'EXTRAIT,,163817,
OutofStock,/sa/makeup/brushes-and-accessories/c/5x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 21:45:09.836756,https://www.chanel.com,https://www.chanel.com/sa/makeup/p/137500/miroir-double-facettes-mirror-duo/,Kingdom Of Saudi Arabia,,مرآة مزدوجة,,MIROIR DOUBLE FACETTES,,137500,
OutofStock,/sa/makeup/eyes/c/5x1x4/,,aeid5473,aeid5473_chanel,2022-11-03 21:45:09.836756,https://www.chanel.com,https://www.chanel.com/sa/makeup/p/187615/le-crayon-khol-crayon-khol/,Kingdom Of Saudi Arabia,61 - NOIR,قلم لرسم محيط العينين ذو تأنثير كثيف,,LE CRAYON KHÔL,,187615,
OutofStock,/sa/makeup/nails/c/5x1x7/,,aeid5473,aeid5473_chanel,2022-11-03 21:45:09.836756,https://www.chanel.com,https://www.chanel.com/sa/makeup/p/159885/le-vernis-longwear-nail-colour/,Kingdom Of Saudi Arabia,,طلاء أظافر بثبات طويل,,LE VERNIS,,المرجع 159885,
OutofStock,/sa/eyewear/sunglasses/c/2x1x1/,,aeid5473,aeid5473_chanel,2022-11-03 21:45:09.836756,https://www.chanel.com,https://www.chanel.com/sa/eyewear/p/A71491X08222S551256MOCCI/cat-eye-sunglasses-white/,Kingdom Of Saudi Arabia,أبيض,أبيض. العدسات: رمادي، متدرّجة,أسيتات، لآلئ زجاجية,نظارات شمسية بإطار عيون القطة,,A71491X08222S551256MOCCI,"بديل ,مقاس قياسي "
OutofStock,/sa/eyewear/eyeglasses/c/2x1x2/,,aeid5473,aeid5473_chanel,2022-11-03 21:45:09.836756,https://www.chanel.com,https://www.chanel.com/sa/eyewear/p/A75238X06081V169852MOCCI/rectangle-eyeglasses-brown/,Kingdom Of Saudi Arabia,بنّي,بنّي,أسيتات، معدن,نظارات طبية بإطار مستطيل,,A75238X06081V169852MOCCI,"متوسطة (52 mm) ,كبير (54 mm) "
OutofStock,/sa/makeup/eyes/c/5x1x4/,,aeid5473,aeid5473_chanel,2022-11-03 21:45:09.836756,https://www.chanel.com,https://www.chanel.com/sa/makeup/p/151937/les-4-ombres-exclusive-creation-multi-effect-quadra-eyeshadow-ombres-de-lune-edition/,Kingdom Of Saudi Arabia,937 - OMBRES DE LUNE,مستحضر رباعي لتظليل الجفون متعدد التأثيرات - إصدار OMBRES DE LUNE,,LES 4 OMBRES - EXCLUSIVE CREATION,,151937,
OutofStock,/sa/makeup/eyes/c/5x1x4/,,aeid5473,aeid5473_chanel,2022-11-03 21:45:09.836756,https://www.chanel.com,https://www.chanel.com/sa/makeup/p/182457/duo-lumiere-multi-use-illuminating-eye-gloss/,Kingdom Of Saudi Arabia,457,ملمّع معزّز لإشراق العينين متعدد الاستعمالات,,DUO LUMIÈRE,,182457,
OutofStock,/sa/makeup/eyes/c/5x1x4/,,aeid5473,aeid5473_chanel,2022-11-03 21:45:09.836756,https://www.chanel.com,https://www.chanel.com/sa/makeup/p/182350/le-gel-sourcils-longwear-eyebrow-gel/,Kingdom Of Saudi Arabia,350 - TRANSPARENT,جل يدوم طويلًا للحاجبين,,LE GEL SOURCILS,,182350,
OutofStock,/sa/fragrance/bath-and-body/c/7x1x7/,,aeid5473,aeid5473_chanel,2022-11-03 21:45:09.836756,https://www.chanel.com,https://www.chanel.com/sa/fragrance/p/121060/allure-homme-after-shave-lotion/,Kingdom Of Saudi Arabia,,لوسيون لما بعد الحلاقة,,ALLURE HOMME,,121060,
OutofStock,/sa/eyewear/eyeglasses/c/2x1x2/,,aeid5473,aeid5473_chanel,2022-11-03 21:45:09.836756,https://www.chanel.com,https://www.chanel.com/sa/eyewear/p/A75243X08101V362252MOCCI/butterfly-eyeglasses-black-gold/,Kingdom Of Saudi Arabia,أسود، ذهبي,أسود، ذهبي,أسيتات,نظارات طبية بإطار الفراشة,,A75243X08101V362252MOCCI,"متوسطة (52 mm) ,كبير (54 mm) "
