Availability,Context_Identifier,Execution_Id,Feed_Code,Record_Create_By,Record_Create_Date,Site,Source,Source_Country,color,description,material,name,price,product_id,size
InStock,/si/skincare/toners-lotions/c/6x1x9/,,aeid5473,aeid5473_chanel,2022-11-03 23:22:11.990800,https://www.chanel.com,https://www.chanel.com/si/skincare/p/144260/sublimage-la-lotion-lumiere-exfoliante-ultimate-light-renewing-exfoliating-lotion/,Slovenia,,ULTIMATE LIGHT-RENEWING EXFOLIATING LOTION,,SUBLIMAGE LA LOTION LUMIÈRE EXFOLIANTE,158 €,144260,
InStock,/si/skincare/moisturisers/c/6x1x5/,,aeid5473,aeid5473_chanel,2022-11-03 23:22:11.990800,https://www.chanel.com,https://www.chanel.com/si/skincare/p/144290/sublimage-la-creme-lumiere-ultimate-revitalisation-and-radiance/,Slovenia,,ULTIMATE REVITALISATION AND RADIANCE,,SUBLIMAGE LA CRÈME LUMIÈRE,399 €,144290,
InStock,/si/skincare/serums-concentrates/c/6x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 23:22:11.990800,https://www.chanel.com,https://www.chanel.com/si/skincare/p/140885/n1-de-chanel-revitalizing-serum-prevents-and-corrects-the-appearance-of-the-5-signs-of-aging/,Slovenia,,PREVENTS AND CORRECTS THE APPEARANCE OF THE 5 SIGNS OF AGING,,N°1 DE CHANEL REVITALIZING SERUM,145 €,140885,"50 ml ,30 ml "
InStock,/si/makeup/eyes/c/5x1x4/,,aeid5473,aeid5473_chanel,2022-11-03 23:22:11.990800,https://www.chanel.com,https://www.chanel.com/si/makeup/p/151048/les-4-ombres-tweed-multi-effect-quadra-eyeshadow/,Slovenia,04 - TWEED BRUN ET ROSE,MULTI-EFFECT QUADRA EYESHADOW,,LES 4 OMBRES TWEED,82 €,151048,
OutofStock,/si/skincare/massage-accessories/c/6x1x14/,,aeid5473,aeid5473_chanel,2022-11-03 23:22:11.990800,https://www.chanel.com,https://www.chanel.com/si/skincare/p/141880/le-lift-pro-massage-tool-corrects-redefines-smooths/,Slovenia,,CORRECTS - REDEFINES - SMOOTHS,,LE LIFT PRO MASSAGE TOOL,83 €,141880,
InStock,/si/skincare/moisturisers/c/6x1x5/,,aeid5473,aeid5473_chanel,2022-11-03 23:22:11.990800,https://www.chanel.com,https://www.chanel.com/si/skincare/p/141740/le-lift-pro-creme-volume-corrects-redefines-plumps/,Slovenia,,CORRECTS - REDEFINES - PLUMPS,,LE LIFT PRO CRÈME VOLUME,158 €,141740,
InStock,/si/skincare/moisturisers/c/6x1x5/,,aeid5473,aeid5473_chanel,2022-11-03 23:22:11.990800,https://www.chanel.com,https://www.chanel.com/si/skincare/p/140240/le-lift-fluid-smooths-firms-mattifies/,Slovenia,,SMOOTHS - FIRMS - MATTIFIES,,LE LIFT FLUID,126 €,140240,
InStock,/si/skincare/serums-concentrates/c/6x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 23:22:11.990800,https://www.chanel.com,https://www.chanel.com/si/skincare/p/141840/le-lift-pro-concentre-contours-corrects-redefines-tightens/,Slovenia,,CORRECTS - REDEFINES - TIGHTENS,,LE LIFT PRO CONCENTRÉ CONTOURS,163 €,141840,
InStock,/si/skincare/moisturisers/c/6x1x5/,,aeid5473,aeid5473_chanel,2022-11-03 23:22:11.990800,https://www.chanel.com,https://www.chanel.com/si/skincare/p/141180/sublimage-lextrait-de-creme-ultimate-revitalising-and-restoring-cream/,Slovenia,,ULTIMATE REVITALISING AND RESTORING CREAM,,SUBLIMAGE L'EXTRAIT DE CRÈME,557 €,141180,
InStock,/si/skincare/eyes-lips/c/6x1x2/,,aeid5473,aeid5473_chanel,2022-11-03 23:22:11.990800,https://www.chanel.com,https://www.chanel.com/si/skincare/p/141160/sublimage-la-creme-yeux-ultimate-revitalisation-eye-cream/,Slovenia,,ULTIMATE REVITALISATION EYE CREAM,,SUBLIMAGE LA CRÈME YEUX,189 €,141160,
