Availability,Context_Identifier,Execution_Id,Feed_Code,Record_Create_By,Record_Create_Date,Site,Source,Source_Country,color,description,material,name,price,product_id,size
InStock,/es/maquillaje/unas/c/5x1x7/,,aeid5473,aeid5473_chanel,2022-11-02 21:42:23.893530,https://www.chanel.com,https://www.chanel.com/es/maquillaje/p/158250/la-base-camelia-una-base-fortificante-protectora-y-alisadora/,Spain,,"UNA BASE FORTIFICANTE, PROTECTORA Y ALISADORA",,LA BASE CAMÉLIA,32 €,158250,
InStock,/es/maquillaje/unas/c/5x1x7/,,aeid5473,aeid5473_chanel,2022-11-02 21:42:23.893530,https://www.chanel.com,https://www.chanel.com/es/maquillaje/p/159907/le-vernis-larga-duracion-edicion-limitada-coleccion-otono-invierno-2021/,Spain,907 - ROUGE BRUN,LARGA DURACIÓN<br>EDICIÓN LIMITADA - COLECCIÓN OTOÑO-INVIERNO 2021,,LE VERNIS,28 €,159907,
InStock,/es/maquillaje/unas/c/5x1x7/,,aeid5473,aeid5473_chanel,2022-11-02 21:42:23.893530,https://www.chanel.com,https://www.chanel.com/es/maquillaje/p/159899/le-vernis-larga-duracion/,Spain,,LARGA DURACIÓN,,LE VERNIS,28 €, 159899,
InStock,/es/maquillaje/unas/c/5x1x7/,,aeid5473,aeid5473_chanel,2022-11-02 21:42:23.893530,https://www.chanel.com,https://www.chanel.com/es/maquillaje/p/159895/le-vernis-larga-duracion/,Spain,,LARGA DURACIÓN,,LE VERNIS,28 €, 159895,
InStock,/es/maquillaje/unas/c/5x1x7/,,aeid5473,aeid5473_chanel,2022-11-02 21:42:23.893530,https://www.chanel.com,https://www.chanel.com/es/maquillaje/p/159937/le-vernis-larga-duracion/,Spain,,LARGA DURACIÓN,,LE VERNIS,28 €, 159937,
InStock,/es/maquillaje/unas/c/5x1x7/,,aeid5473,aeid5473_chanel,2022-11-02 21:42:23.893530,https://www.chanel.com,https://www.chanel.com/es/maquillaje/p/159941/le-vernis-larga-duracion/,Spain,,LARGA DURACIÓN,,LE VERNIS,28 €, 159941,
InStock,/es/maquillaje/labios/c/5x1x1/,,aeid5473,aeid5473_chanel,2022-11-02 21:42:23.893530,https://www.chanel.com,https://www.chanel.com/es/maquillaje/p/145382/n1-de-chanel-balsamo-para-labios-y-mejillas-realza-el-color-nutre-rellena/,Spain,,REALZA EL COLOR – NUTRE – RELLENA,,N°1 DE CHANEL BÁLSAMO PARA LABIOS Y MEJILLAS,45 €,145382,
InStock,/es/maquillaje/unas/c/5x1x7/,,aeid5473,aeid5473_chanel,2022-11-02 21:42:23.893530,https://www.chanel.com,https://www.chanel.com/es/maquillaje/p/159939/le-vernis-larga-duracion/,Spain,,LARGA DURACIÓN,,LE VERNIS,28 €, 159939,
InStock,/es/maquillaje/ojos/c/5x1x4/,,aeid5473,aeid5473_chanel,2022-11-02 21:42:23.893530,https://www.chanel.com,https://www.chanel.com/es/maquillaje/p/187615/le-crayon-khol-lapiz-khol/,Spain,61 - NOIR,LÁPIZ KHÔL,,LE CRAYON KHÔL,25 €,187615,
InStock,/es/tratamiento/sueros/c/6x1x3/,,aeid5473,aeid5473_chanel,2022-11-02 21:42:23.893530,https://www.chanel.com,https://www.chanel.com/es/tratamiento/p/140885/n1-de-chanel-serum-revitalizante-previene-y-corrige-la-aparicion-de-los-5-signos-de-la-edad/,Spain,,PREVIENE Y CORRIGE LA APARICION DE LOS 5 SIGNOS DE LA EDAD,, N°1 DE CHANEL SÉRUM REVITALIZANTE,138 €,140885,"50 ml ,30 ml "
InStock,/es/tratamiento/cremas/c/6x1x5/,,aeid5473,aeid5473_chanel,2022-11-02 21:42:23.893530,https://www.chanel.com,https://www.chanel.com/es/tratamiento/p/144030/sublimage-le-baume-tratamiento-regenerador-protector-y-calmante/,Spain,,"TRATAMIENTO REGENERADOR, PROTECTOR Y CALMANTE",,SUBLIMAGE LE BAUME,360 €,144030,
InStock,/es/tratamiento/ojos-y-labios/c/6x1x2/,,aeid5473,aeid5473_chanel,2022-11-02 21:42:23.893530,https://www.chanel.com,https://www.chanel.com/es/tratamiento/p/141680/le-lift-creme-yeux-reafirmante-alisadora/,Spain,,"REAFIRMANTE, ALISADORA",,LE LIFT CRÈME YEUX,78 €,141680,
OutofStock,/es/joyeria/camelia/c/3x2x1/,,aeid5473,aeid5473_chanel,2022-11-02 21:42:23.893530,https://www.chanel.com,https://www.chanel.com/es/joyeria/p/J12071/collar-bouton-de-camelia/,Spain,Blanco,Oro blanco de 18 quilates y diamantes,Oro blanco,Collar Bouton de Camélia,7 600 €,J12071,
