Availability,Context_Identifier,Execution_Id,Feed_Code,Record_Create_By,Record_Create_Date,Site,Source,Source_Country,color,description,material,name,price,product_id,size
InStock,/se/skincare/serums-concentrates/c/6x1x3/,,aeid5473,aeid5473_chanel,2022-11-02 21:19:40.268954,https://www.chanel.com,https://www.chanel.com/se/skincare/p/140885/n1-de-chanel-revitalizing-serum-prevents-and-corrects-the-appearance-of-the-5-signs-of-aging/,Sweden,,PREVENTS AND CORRECTS THE APPEARANCE OF THE 5 SIGNS OF AGING,,N°1 DE CHANEL REVITALIZING SERUM,1 580 SEK,140885,"50 ml ,30 ml "
InStock,/se/skincare/eyes-lips/c/6x1x2/,,aeid5473,aeid5473_chanel,2022-11-02 21:19:40.268954,https://www.chanel.com,https://www.chanel.com/se/skincare/p/141160/sublimage-la-creme-yeux-ultimate-revitalisation-eye-cream/,Sweden,,ULTIMATE REVITALISATION EYE CREAM,,SUBLIMAGE LA CRÈME YEUX,2 075 SEK,141160,
InStock,/se/skincare/moisturisers/c/6x1x5/,,aeid5473,aeid5473_chanel,2022-11-02 21:19:40.268954,https://www.chanel.com,https://www.chanel.com/se/skincare/p/141130/sublimage-la-creme-ultimate-skin-revitalisation/,Sweden,,ULTIMATE SKIN REVITALISATION,,SUBLIMAGE LA CRÈME,4 150 SEK,141130,
InStock,/se/skincare/moisturisers/c/6x1x5/,,aeid5473,aeid5473_chanel,2022-11-02 21:19:40.268954,https://www.chanel.com,https://www.chanel.com/se/skincare/p/141120/sublimage-la-creme-ultimate-skin-revitalisation-texture-fine/,Sweden,,ULTIMATE SKIN REVITALISATION - TEXTURE FINE,,SUBLIMAGE LA CRÈME,4 150 SEK,141120,
InStock,/se/skincare/moisturisers/c/6x1x5/,,aeid5473,aeid5473_chanel,2022-11-02 21:19:40.268954,https://www.chanel.com,https://www.chanel.com/se/skincare/p/141140/sublimage-la-creme-ultimate-skin-revitalisation-texture-supreme/,Sweden,,ULTIMATE SKIN REVITALISATION - TEXTURE SUPRÊME,,SUBLIMAGE LA CRÈME,4 150 SEK,141140,
InStock,/se/skincare/eyes-lips/c/6x1x2/,,aeid5473,aeid5473_chanel,2022-11-02 21:19:40.268954,https://www.chanel.com,https://www.chanel.com/se/skincare/p/147890/sublimage-lessence-fondamentale-yeux-redefining-and-radiance-renewing-eye-serum/,Sweden,,REDEFINING AND RADIANCE-RENEWING EYE SERUM,,SUBLIMAGE L'ESSENCE FONDAMENTALE YEUX ,3 000 SEK,147890,
InStock,/se/makeup/lips/c/5x1x1/,,aeid5473,aeid5473_chanel,2022-11-02 21:19:40.268954,https://www.chanel.com,https://www.chanel.com/se/makeup/p/145382/n1-de-chanel-lip-and-cheek-balm-enhances-colour-nourishes-plumps/,Sweden,,ENHANCES COLOUR - NOURISHES - PLUMPS,,N°1 DE CHANEL LIP AND CHEEK BALM,515 SEK,145382,
InStock,/se/makeup/lips/c/5x1x1/,,aeid5473,aeid5473_chanel,2022-11-02 21:19:40.268954,https://www.chanel.com,https://www.chanel.com/se/skincare/p/195050/boy-de-chanel-lip-balm-moisturising-matte-lip-balm/,Sweden,,MOISTURISING MATTE LIP BALM,,BOY DE CHANEL LIP BALM,445 SEK,195050,
OutofStock,/se/fine-jewellery/coco-crush/c/3x2x5/,,aeid5473,aeid5473_chanel,2022-11-02 21:19:40.268954,https://www.chanel.com,https://www.chanel.com/se/fine-jewellery/p/J11785/coco-crush-ring/,Sweden,Beige,"Quilted motif, 18K BEIGE GOLD. Mini version.",BEIGE GOLD,Coco Crush ring,18 100 SEK,J11785,
InStock,/se/makeup/brushes-and-accessories/c/5x1x3/,,aeid5473,aeid5473_chanel,2022-11-02 21:19:40.268954,https://www.chanel.com,https://www.chanel.com/se/makeup/p/138856/pinceau-duo-contour-yeux-retractable-n201-dual-ended-brush-defines-and-blends/,Sweden,,DUAL-ENDED BRUSH: DEFINES AND BLENDS,,PINCEAU DUO CONTOUR YEUX RÉTRACTABLE N°201,570 SEK,138856,
