Availability,Context_Identifier,Execution_Id,Feed_Code,Record_Create_By,Record_Create_Date,Site,Source,Source_Country,color,description,material,name,price,product_id,size
OutofStock,/th/skincare/serums-concentrates/c/6x1x3/,,aeid5473,aeid5473_chanel,2022-11-02 20:59:28.806768,https://www.chanel.com,https://www.chanel.com/th/skincare/p/140885/n1-de-chanel-revitalizing-serum-prevents-and-corrects-the-appearance-of-the-5-signs-of-aging/,Thailand,,เซรั่มบำรุงผิวปกป้องและลดเลือนสัญญาณของความร่วงโรยแห่งวัยทั้ง 5 ประการ,,N°1 DE CHANEL REVITALIZING SERUM,"5,750 THB",140885,"50 ml ,30 ml "
OutofStock,/th/skincare/toners-lotions/c/6x1x9/,,aeid5473,aeid5473_chanel,2022-11-02 20:59:28.806768,https://www.chanel.com,https://www.chanel.com/th/skincare/p/140650/n1-de-chanel-revitalizing-essence-lotion-plumps-unifies-illuminates/,Thailand,,เอสเซนส์โลชั่นฟื้นบำรุงผิวให้ดูเอิบอิ่ม เรียบเนียน และเปล่งประกาย,,N°1 DE CHANEL REVITALIZING ESSENCE LOTION,"3,700 THB",140650,
OutofStock,/th/skincare/moisturisers/c/6x1x5/,,aeid5473,aeid5473_chanel,2022-11-02 20:59:28.806768,https://www.chanel.com,https://www.chanel.com/th/skincare/p/141180/sublimage-lextrait-de-creme-ultimate-revitalising-and-restoring-cream/,Thailand,,ครีมบำรุงผิวเพื่อผิวกำเนิดใหม่ได้รับการฟื้นฟูอย่างเต็มที่,,SUBLIMAGE L’EXTRAIT DE CRÈME,"20,200 THB",141180,
OutofStock,/th/skincare/serums-concentrates/c/6x1x3/,,aeid5473,aeid5473_chanel,2022-11-02 20:59:28.806768,https://www.chanel.com,https://www.chanel.com/th/skincare/p/144460/sublimage-lextrait-de-nuit-revitalising-and-replenishing-night-concentrate/,Thailand,,ไนท์เซรั่มเพื่อฟื้นบำรุงผิวอย่างล้ำลึกในยามค่ำคืน,,SUBLIMAGE L’EXTRAIT DE NUIT,"22,450 THB",144460,
OutofStock,/th/fragrance/bath-and-body/c/7x1x7/,,aeid5473,aeid5473_chanel,2022-11-02 20:59:28.806768,https://www.chanel.com,https://www.chanel.com/th/fragrance/p/105748/n5-the-body-lotion/,Thailand,,โลชั่นสำหรับผิวกาย N°5,,N°5,"2,650 THB",105748,
OutofStock,/th/skincare/eyes-lips/c/6x1x2/,,aeid5473,aeid5473_chanel,2022-11-02 20:59:28.806768,https://www.chanel.com,https://www.chanel.com/th/skincare/p/141160/sublimage-la-creme-yeux-ultimate-revitalisation-eye-cream/,Thailand,,อายครีมสำหรับบำรุงผิวรอบดวงตา,,SUBLIMAGE LA CRÈME YEUX,"7,900 THB",141160,
OutofStock,/th/skincare/treatment/c/6x1x12/,,aeid5473,aeid5473_chanel,2022-11-02 20:59:28.806768,https://www.chanel.com,https://www.chanel.com/th/skincare/p/142550/sublimage-lextrait-intense-restoring-treatment/,Thailand,,ทรีตเมนต์เข้มข้นเพื่อฟื้นบำรุงผิว,,SUBLIMAGE L’EXTRAIT,"19,000 THB",142550,
OutofStock,/th/makeup/brushes-and-accessories/c/5x1x3/,,aeid5473,aeid5473_chanel,2022-11-02 20:59:28.806768,https://www.chanel.com,https://www.chanel.com/th/makeup/p/138843/pinceau-eyeliner-n205-cream-eyeliner-brush/,Thailand,,แปรงสำหรับอายไลเนอร์เนื้อครีม,,PINCEAU EYELINER N°205,"1,250 THB",138843,
OutofStock,/th/watches/monsieur/c/4x2x6/,,aeid5473,aeid5473_chanel,2022-11-02 20:59:28.806768,https://www.chanel.com,https://www.chanel.com/th/watches/p/H6823/monsieur-superleggera-edition-watch/,Thailand,สีดำ,เซรามิกความทนทานสูงสีดำด้านและสตีล หน้าปัดสีดำด้านตกแต่งลายกิโยเช่ พร้อมระบบ Jumping Hour และ 240° Retrograde Minute,เซรามิกสีดำด้าน,นาฬิกา Monsieur. Superleggera Edition,"1,532,000 THB",H6823,
OutofStock,/th/watches/monsieur/c/4x2x6/,,aeid5473,aeid5473_chanel,2022-11-02 20:59:28.806768,https://www.chanel.com,https://www.chanel.com/th/watches/p/H6216/monsieur-marble-edition-watch/,Thailand,สีดำ,เซรามิกความทนทานสูงสีดำด้านและสตีล หน้าปัดหินอ่อนสีดำพร้อมระบบ Jumping Hour และ 240° Retrograde Minute,เซรามิกสีดำด้าน,นาฬิกา Monsieur. Marble Edition,"1,268,000 THB",H6216,
OutofStock,/th/watches/monsieur/c/4x2x6/,,aeid5473,aeid5473_chanel,2022-11-02 20:59:28.806768,https://www.chanel.com,https://www.chanel.com/th/watches/p/H6596/monsieur-watch/,Thailand,สีดำ,เบจโกลด์ หน้าปัดสีโอพาลีน พร้อมระบบ Jumping Hour และระบบ 240° Retrograde Minute,เบจโกลด์,นาฬิกา Monsieur,"1,694,000 THB",H6596,
OutofStock,/th/skincare/cleansers-makeup-removers/c/6x1x4/,,aeid5473,aeid5473_chanel,2022-11-02 20:59:28.806768,https://www.chanel.com,https://www.chanel.com/th/skincare/p/141470/le-lait-douceur-dhuile-anti-pollution-cleansing-milk-to-oil/,Thailand,,น้ำนมทำความสะอาดผิวที่แปรเปลี่ยนเป็นออยล์เพื่อเสริมการปกป้องผิวจากมลภาวะ,,LE LAIT DOUCEUR D’HUILE,"1,950 THB",141470,
OutofStock,/th/makeup/nails/c/5x1x7/,,aeid5473,aeid5473_chanel,2022-11-02 20:59:28.806768,https://www.chanel.com,https://www.chanel.com/th/makeup/p/159701/le-vernis-longwear-nail-colour/,Thailand,,ยาทาเล็บเพื่อสีสันติดทนนาน,,LE VERNIS,"1,050 THB",อ้างอิง 159701,
OutofStock,/th/makeup/nails/c/5x1x7/,,aeid5473,aeid5473_chanel,2022-11-02 20:59:28.806768,https://www.chanel.com,https://www.chanel.com/th/makeup/p/159703/le-vernis-longwear-nail-colour/,Thailand,,ยาทาเล็บเพื่อสีสันติดทนนาน,,LE VERNIS,"1,050 THB",อ้างอิง 159703,
OutofStock,/th/makeup/complexion/c/5x1x6/,,aeid5473,aeid5473_chanel,2022-11-02 20:59:28.806768,https://www.chanel.com,https://www.chanel.com/th/makeup/p/151887/eclat-lunaire-exclusive-creation-oversized-illuminating-face-powder/,Thailand,887 - OR ROSE,ไฮไลท์แบบแป้งขนาดโอเวอร์ไซส์,,ÉCLAT LUNAIRE - EXCLUSIVE CREATION,"3,100 THB",151887,
OutofStock,/th/makeup/lips/c/5x1x1/,,aeid5473,aeid5473_chanel,2022-11-02 20:59:28.806768,https://www.chanel.com,https://www.chanel.com/th/makeup/p/145385/n1-de-chanel-lip-and-cheek-balm-enhances-colour-nourishes-plumps/,Thailand,,บาล์มบำรุงปากและแก้มให้ดูเอิบอิ่มและมีสีสัน,,N°1 DE CHANEL LIP AND CHEEK BALM,"1,800 THB",145385,
OutofStock,/th/skincare/cleansers-makeup-removers/c/6x1x4/,,aeid5473,aeid5473_chanel,2022-11-02 20:59:28.806768,https://www.chanel.com,https://www.chanel.com/th/skincare/p/141440/le-lait-fraicheur-deau-anti-pollution-cleansing-milk-to-water/,Thailand,,น้ำนมทำความสะอาดผิวที่แปรเปลี่ยนเป็นน้ำเพื่อเสริมการปกป้องผิวจากมลภาวะ,,LE LAIT FRAÎCHEUR D’EAU,"1,950 THB",141440,
OutofStock,/th/makeup/nails/c/5x1x7/,,aeid5473,aeid5473_chanel,2022-11-02 20:59:28.806768,https://www.chanel.com,https://www.chanel.com/th/makeup/p/159590/le-vernis-longwear-nail-colour/,Thailand,,ยาทาเล็บเพื่อสีสันติดทนนาน,,LE VERNIS,"1,050 THB",อ้างอิง 159590,
OutofStock,/th/makeup/nails/c/5x1x7/,,aeid5473,aeid5473_chanel,2022-11-02 20:59:28.806768,https://www.chanel.com,https://www.chanel.com/th/makeup/p/159598/le-vernis-longwear-nail-colour/,Thailand,,ยาทาเล็บเพื่อสีสันติดทนนาน,,LE VERNIS,"1,050 THB",อ้างอิง 159598,
OutofStock,/th/makeup/complexion/c/5x1x6/,,aeid5473,aeid5473_chanel,2022-11-02 20:59:28.806768,https://www.chanel.com,https://www.chanel.com/th/makeup/p/167050/le-correcteur-de-chanel-longwear-concealer/,Thailand,B10,คอนซีลเลอร์ที่ช่วยลดเลือนจุดบกพร่องของสีผิว พร้อมคุณสมบัติติดทนนาน,,LE CORRECTEUR DE CHANEL,"1,600 THB",167050,
OutofStock,/th/makeup/eyes/c/5x1x4/,,aeid5473,aeid5473_chanel,2022-11-02 20:59:28.806768,https://www.chanel.com,https://www.chanel.com/th/makeup/p/151937/les-4-ombres-exclusive-creation-multi-effect-quadra-eyeshadow-ombres-de-lune-edition/,Thailand,937 - OMBRES DE LUNE,พาเล็ตต์อายแชโดว์สี่สีที่มอบเอฟเฟ็กต์หลากหลาย - รุ่น OMBRES DE LUNE,,LES 4 OMBRES - EXCLUSIVE CREATION,"2,650 THB",151937,
OutofStock,/th/makeup/nails/c/5x1x7/,,aeid5473,aeid5473_chanel,2022-11-02 20:59:28.806768,https://www.chanel.com,https://www.chanel.com/th/makeup/p/159590/le-vernis-longwear-nail-colour/,Thailand,,ยาทาเล็บเพื่อสีสันติดทนนาน,,LE VERNIS,"1,050 THB",อ้างอิง 159590,
