Availability,Context_Identifier,Execution_Id,Feed_Code,Record_Create_By,Record_Create_Date,Site,Source,Source_Country,color,description,material,name,price,product_id,size
OutofStock,/tr/skincare/moisturisers/c/6x1x5/,,aeid5473,aeid5473_chanel,2022-11-02 20:34:35.789449,https://www.chanel.com,https://www.chanel.com/tr/skincare/p/141780/le-lift-cream-smooths-firms/,Turkey,,SMOOTHS - FIRMS,,LE LIFT CREAM,2 270 TRY,141780,
OutofStock,/tr/skincare/serums-concentrates/c/6x1x3/,,aeid5473,aeid5473_chanel,2022-11-02 20:34:35.789449,https://www.chanel.com,https://www.chanel.com/tr/skincare/p/140885/n1-de-chanel-revitalizing-serum-prevents-and-corrects-the-appearance-of-the-5-signs-of-aging/,Turkey,,PREVENTS AND CORRECTS THE APPEARANCE OF THE 5 SIGNS OF AGING,,N°1 DE CHANEL REVITALIZING SERUM,2 610 TRY,140885,"50 ml ,30 ml "
OutofStock,/tr/skincare/cleansers-makeup-removers/c/6x1x4/,,aeid5473,aeid5473_chanel,2022-11-02 20:34:35.789449,https://www.chanel.com,https://www.chanel.com/tr/skincare/p/144360/sublimage-gel-to-oil-cleanser-ultimate-comfort-and-radiance-revealing-gel-to-oil-cleanser/,Turkey,,ULTIMATE COMFORT AND RADIANCE-REVEALING GEL-TO-OIL CLEANSER,,SUBLIMAGE GEL-TO-OIL CLEANSER,1 890 TRY,144360,
OutofStock,/tr/skincare/toners-lotions/c/6x1x9/,,aeid5473,aeid5473_chanel,2022-11-02 20:34:35.789449,https://www.chanel.com,https://www.chanel.com/tr/skincare/p/142500/sublimage-la-lotion-supreme-ultimate-skin-revitalisation/,Turkey,,ULTIMATE SKIN REVITALISATION,,SUBLIMAGE LA LOTION SUPRÊME,2 740 TRY,142500,
OutofStock,/tr/skincare/cleansers-makeup-removers/c/6x1x4/,,aeid5473,aeid5473_chanel,2022-11-02 20:34:35.789449,https://www.chanel.com,https://www.chanel.com/tr/skincare/p/144330/sublimage-le-savon-de-soin-radiance-revealing-rich-cleansing-soap/,Turkey,,RADIANCE-REVEALING RICH CLEANSING SOAP,,SUBLIMAGE LE SAVON DE SOIN,1 815 TRY,144330,
OutofStock,/tr/makeup/nails/c/5x1x7/,,aeid5473,aeid5473_chanel,2022-11-02 20:34:35.789449,https://www.chanel.com,https://www.chanel.com/tr/makeup/p/159895/le-vernis-longwear-nail-colour/,Turkey,,LONGWEAR NAIL COLOUR,,LE VERNIS,530 TRY, 159895,
OutofStock,/tr/skincare/serums-concentrates/c/6x1x3/,,aeid5473,aeid5473_chanel,2022-11-02 20:34:35.789449,https://www.chanel.com,https://www.chanel.com/tr/skincare/p/141490/sublimage-lessence-lumiere-ultimate-light-revealing-concentrate/,Turkey,,ULTIMATE LIGHT-REVEALING CONCENTRATE,,SUBLIMAGE L’ESSENCE LUMIÈRE,7 845 TRY,141490,
OutofStock,/tr/makeup/lips/c/5x1x1/,,aeid5473,aeid5473_chanel,2022-11-02 20:34:35.789449,https://www.chanel.com,https://www.chanel.com/tr/makeup/p/171924/rouge-coco-baume-a-hydrating-tinted-lip-balm-that-offers-buildable-colour-for-better-looking-lips-day-after-day/,Turkey,924 - FALL FOR ME,"A HYDRATING TINTED LIP BALM THAT OFFERS BUILDABLE COLOUR FOR BETTER-LOOKING LIPS, DAY AFTER DAY",,ROUGE COCO BAUME,720 TRY,171924,
OutofStock,/tr/makeup/brushes-and-accessories/c/5x1x3/,,aeid5473,aeid5473_chanel,2022-11-02 20:34:35.789449,https://www.chanel.com,https://www.chanel.com/tr/makeup/p/138856/pinceau-duo-contour-yeux-retractable-n201-dual-ended-brush-defines-and-blends/,Turkey,,DUAL-ENDED BRUSH: DEFINES AND BLENDS,,PINCEAU DUO CONTOUR YEUX RÉTRACTABLE N°201,925 TRY,138856,
OutofStock,/tr/watches/monsieur/c/4x2x6/,,aeid5473,aeid5473_chanel,2022-11-02 20:34:35.789449,https://www.chanel.com,https://www.chanel.com/tr/watches/p/H6823/monsieur-superleggera-edition-watch/,Turkey,Black,"Matte black highly resistant ceramic and steel, matte black guilloché type dial with jumping hour and 240° retrograde minute",Matte black ceramic,Monsieur. Superleggera Edition Watch,752 400 TRY,H6823,
OutofStock,/tr/watches/monsieur/c/4x2x6/,,aeid5473,aeid5473_chanel,2022-11-02 20:34:35.789449,https://www.chanel.com,https://www.chanel.com/tr/watches/p/H6596/monsieur-watch/,Turkey,Beige,"BEIGE GOLD, opaline dial with jumping hour and 240° retrograde minute",BEIGE GOLD,Monsieur Watch,831 600 TRY,H6596,
OutofStock,/tr/makeup/nails/c/5x1x7/,,aeid5473,aeid5473_chanel,2022-11-02 20:34:35.789449,https://www.chanel.com,https://www.chanel.com/tr/makeup/p/159500/le-vernis-longwear-nail-colour/,Turkey,,LONGWEAR NAIL COLOUR,,LE VERNIS,530 TRY, 159500,
OutofStock,/tr/fragrance/bath-and-body/c/7x1x7/,,aeid5473,aeid5473_chanel,2022-11-02 20:34:35.789449,https://www.chanel.com,https://www.chanel.com/tr/fragrance/p/118700/antaeus-deodorant-stick/,Turkey,,DEODORANT STICK,,ANTAEUS,700 TRY,118700,
OutofStock,/tr/fragrance/bath-and-body/c/7x1x7/,,aeid5473,aeid5473_chanel,2022-11-02 20:34:35.789449,https://www.chanel.com,https://www.chanel.com/tr/fragrance/p/124930/platinum-egoiste-deodorant-spray/,Turkey,,DEODORANT SPRAY,,PLATINUM ÉGOÏSTE,700 TRY,124930,
OutofStock,/tr/fragrance/bath-and-body/c/7x1x7/,,aeid5473,aeid5473_chanel,2022-11-02 20:34:35.789449,https://www.chanel.com,https://www.chanel.com/tr/fragrance/p/124060/platinum-egoiste-after-shave-lotion/,Turkey,,AFTER SHAVE LOTION,,PLATINUM ÉGOÏSTE,1 155 TRY,124060,
OutofStock,/tr/makeup/lips/c/5x1x1/,,aeid5473,aeid5473_chanel,2022-11-02 20:34:35.789449,https://www.chanel.com,https://www.chanel.com/tr/makeup/p/145382/n1-de-chanel-lip-and-cheek-balm-enhances-colour-nourishes-plumps/,Turkey,,ENHANCES COLOUR - NOURISHES - PLUMPS,,N°1 DE CHANEL LIP AND CHEEK BALM,850 TRY,145382,
OutofStock,/tr/makeup/nails/c/5x1x7/,,aeid5473,aeid5473_chanel,2022-11-02 20:34:35.789449,https://www.chanel.com,https://www.chanel.com/tr/makeup/p/159014/le-vernis-longwear-nail-colour/,Turkey,,LONGWEAR NAIL COLOUR,,LE VERNIS,530 TRY, 159014,
OutofStock,/tr/eyewear/optical/c/2x1x2/,,aeid5473,aeid5473_chanel,2022-11-02 20:34:35.789449,https://www.chanel.com,https://www.chanel.com/tr/eyewear/p/A75209X08101V168252MOCCI/cat-eye-eyeglasses-dark-tortoise-beige/,Turkey,Dark Tortoise & Beige,Dark Tortoise & Beige,Acetate,Cat Eye Eyeglasses,2 720 TRY,A75209X08101V168252MOCCI,"Medium (52 mm) ,Large (54 mm) ,Alternative fit ,Standard fit "
OutofStock,/tr/makeup/nails/c/5x1x7/,,aeid5473,aeid5473_chanel,2022-11-02 20:34:35.789449,https://www.chanel.com,https://www.chanel.com/tr/makeup/p/159014/le-vernis-longwear-nail-colour/,Turkey,,LONGWEAR NAIL COLOUR,,LE VERNIS,530 TRY, 159014,
OutofStock,/tr/makeup/eyes/c/5x1x4/,,aeid5473,aeid5473_chanel,2022-11-02 20:34:35.789449,https://www.chanel.com,https://www.chanel.com/tr/makeup/p/184190/les-beiges-eyeshadow-palette-healthy-glow-natural-eyeshadow-palette/,Turkey,TENDER,HEALTHY GLOW NATURAL EYESHADOW PALETTE,,LES BEIGES EYESHADOW PALETTE,1 135 TRY,184190,
OutofStock,/tr/watches/j12/c/4x2x1/,,aeid5473,aeid5473_chanel,2022-11-02 20:34:35.789449,https://www.chanel.com,https://www.chanel.com/tr/watches/p/H5702/j12-watch-calibre-12-1-38-mm/,Turkey,Black,"Black highly resistant ceramic and steel, diamond indicators",Black ceramic,"J12 Watch Calibre 12.1, 38 mm",170 100 TRY,H5702,
OutofStock,/tr/eyewear/optical/c/2x1x2/,,aeid5473,aeid5473_chanel,2022-11-02 20:34:35.789449,https://www.chanel.com,https://www.chanel.com/tr/eyewear/p/A75238X06081V169852MOCCI/rectangle-eyeglasses-brown/,Turkey,Brown,Brown,Acetate & Metal,Rectangle Eyeglasses,2 900 TRY,A75238X06081V169852MOCCI,"Medium (52 mm) ,Large (54 mm) "
OutofStock,/tr/eyewear/optical/c/2x1x2/,,aeid5473,aeid5473_chanel,2022-11-02 20:34:35.789449,https://www.chanel.com,https://www.chanel.com/tr/eyewear/p/A75239X06081V371451MOCCI/cat-eye-eyeglasses-dark-tortoise/,Turkey,Dark Tortoise,Dark Tortoise,Acetate & Metal,Cat Eye Eyeglasses,3 200 TRY,A75239X06081V371451MOCCI,"Medium (51 mm) ,Large (53 mm) "
OutofStock,/tr/eyewear/sunglasses/c/2x1x1/,,aeid5473,aeid5473_chanel,2022-11-02 20:34:35.789449,https://www.chanel.com,https://www.chanel.com/tr/eyewear/p/A71353X02569S261053NOCCI/square-sunglasses-black/,Turkey,Black,Black,Acetate & Diamanté,Square Sunglasses,8 130 TRY,A71353X02569S261053NOCCI,"Alternative fit ,Standard fit "
OutofStock,/tr/skincare/body-care/c/6x1x1/,,aeid5473,aeid5473_chanel,2022-11-02 20:34:35.789449,https://www.chanel.com,https://www.chanel.com/tr/skincare/p/102040/lhuile-orient-body-massage-oil/,Turkey,,BODY MASSAGE OIL,,L'HUILE ORIENT,3 685 TRY,102040,
OutofStock,/tr/fragrance/women/c/7x1x1/,,aeid5473,aeid5473_chanel,2022-11-02 20:34:35.789449,https://www.chanel.com,https://www.chanel.com/tr/fragrance/p/136420/chance-eau-fraiche-eau-de-toilette-spray/,Turkey,,EAU DE TOILETTE SPRAY,,CHANCE EAU FRAÎCHE,2 365 TRY,136420,"100 ml ,35 ml ,50 ml ,150 ml "
OutofStock,/tr/skincare/oils/c/6x1x8/,,aeid5473,aeid5473_chanel,2022-11-02 20:34:35.789449,https://www.chanel.com,https://www.chanel.com/tr/skincare/p/102020/lhuile-jasmin-body-massage-oil/,Turkey,,BODY MASSAGE OIL,,L'HUILE JASMIN,3 685 TRY,102020,
OutofStock,/tr/makeup/nails/c/5x1x7/,,aeid5473,aeid5473_chanel,2022-11-02 20:34:35.789449,https://www.chanel.com,https://www.chanel.com/tr/makeup/p/159012/le-vernis-longwear-nail-colour/,Turkey,,LONGWEAR NAIL COLOUR,,LE VERNIS,530 TRY, 159012,
OutofStock,/tr/skincare/oils/c/6x1x8/,,aeid5473,aeid5473_chanel,2022-11-02 20:34:35.789449,https://www.chanel.com,https://www.chanel.com/tr/skincare/p/102030/lhuile-rose-body-massage-oil/,Turkey,,BODY MASSAGE OIL,,L'HUILE ROSE,3 685 TRY,102030,
OutofStock,/tr/skincare/body-care/c/6x1x1/,,aeid5473,aeid5473_chanel,2022-11-02 20:34:35.789449,https://www.chanel.com,https://www.chanel.com/tr/skincare/p/102050/lhuile-vanille-body-massage-oil/,Turkey,,BODY MASSAGE OIL,,L'HUILE VANILLE,3 685 TRY,102050,
OutofStock,/tr/skincare/mists/c/6x1x10/,,aeid5473,aeid5473_chanel,2022-11-02 20:34:35.789449,https://www.chanel.com,https://www.chanel.com/tr/skincare/p/141050/hydra-beauty-essence-mist-hydration-protection-radiance-energising-mist/,Turkey,,HYDRATION PROTECTION RADIANCE ENERGISING MIST,,HYDRA BEAUTY ESSENCE MIST,1 060 TRY,141050,
OutofStock,/tr/makeup/nails/c/5x1x7/,,aeid5473,aeid5473_chanel,2022-11-02 20:34:35.789449,https://www.chanel.com,https://www.chanel.com/tr/makeup/p/158340/le-top-coat-quick-dry-and-shine/,Turkey,,QUICK DRY AND SHINE,,LE TOP COAT,530 TRY,158340,
OutofStock,/tr/skincare/oils/c/6x1x8/,,aeid5473,aeid5473_chanel,2022-11-02 20:34:35.789449,https://www.chanel.com,https://www.chanel.com/tr/skincare/p/102000/huile-de-jasmin-revitalizing-facial-oil-with-jasmine-extract/,Turkey,,REVITALIZING FACIAL OIL WITH JASMINE EXTRACT,,HUILE DE JASMIN,2 080 TRY,102000,
OutofStock,/tr/fragrance/men/c/7x1x2/,,aeid5473,aeid5473_chanel,2022-11-02 20:34:35.789449,https://www.chanel.com,https://www.chanel.com/tr/fragrance/p/102930/paris-riviera-les-eaux-de-chanel-body-lotion/,Turkey,,LES EAUX DE CHANEL - BODY LOTION,,PARIS - RIVIERA,1 095 TRY,102930,
OutofStock,/tr/makeup/nails/c/5x1x7/,,aeid5473,aeid5473_chanel,2022-11-02 20:34:35.789449,https://www.chanel.com,https://www.chanel.com/tr/makeup/p/158347/le-top-coat-shimmering-amber-top-coat/,Turkey,347 -  ÉTOILÉ,SHIMMERING AMBER TOP COAT,,LE TOP COAT,530 TRY,158347,
OutofStock,/tr/fragrance/men/c/7x1x2/,,aeid5473,aeid5473_chanel,2022-11-02 20:34:35.789449,https://www.chanel.com,https://www.chanel.com/tr/fragrance/p/102940/paris-edimbourg-les-eaux-de-chanel-body-lotion/,Turkey,,LES EAUX DE CHANEL - BODY LOTION,,PARIS - EDIMBOURG,1 095 TRY,102940,
OutofStock,/tr/makeup/nails/c/5x1x7/,,aeid5473,aeid5473_chanel,2022-11-02 20:34:35.789449,https://www.chanel.com,https://www.chanel.com/tr/makeup/p/158350/le-gel-coat-longwear-top-coat/,Turkey,,LONGWEAR TOP COAT,,LE GEL COAT,530 TRY,158350,
OutofStock,/tr/eyewear/optical/c/2x1x2/,,aeid5473,aeid5473_chanel,2022-11-02 20:34:35.789449,https://www.chanel.com,https://www.chanel.com/tr/eyewear/p/A75192X01060V339547RUNI/round-eyeglasses-gold/,Turkey,Gold,Gold,Metal,Round Eyeglasses,3 680 TRY,A75192X01060V339547RUNI,"Small (47 mm) ,Medium (51 mm) ,Large (53 mm) "
OutofStock,/tr/skincare/masks-scrubs/c/6x1x7/,,aeid5473,aeid5473_chanel,2022-11-02 20:34:35.789449,https://www.chanel.com,https://www.chanel.com/tr/skincare/p/141360/le-masque-anti-pollution-vitamin-clay-mask/,Turkey,,ANTI-POLLUTION VITAMIN CLAY MASK,,LE MASQUE,985 TRY,141360,
OutofStock,/tr/watches/premiere/c/4x2x2/,,aeid5473,aeid5473_chanel,2022-11-02 20:34:35.789449,https://www.chanel.com,https://www.chanel.com/tr/watches/p/H5252/premiere-camelia-skeleton/,Turkey,Black,White gold and diamonds,White gold,Première Camélia Skeleton,,H5252,
OutofStock,/tr/watches/boy-friend/c/4x2x3/,,aeid5473,aeid5473_chanel,2022-11-02 20:34:35.789449,https://www.chanel.com,https://www.chanel.com/tr/watches/p/H6250/boy-friend-skeleton-x-ray-watch/,Turkey,Black,"Large version, sapphire crystal, white gold and diamonds, shiny black alligator pattern calfskin strap",Sapphire,BOY·FRIEND Skeleton X-Ray Watch,,H6250,
OutofStock,/tr/skincare/cleansers-makeup-removers/c/6x1x4/,,aeid5473,aeid5473_chanel,2022-11-02 20:34:35.789449,https://www.chanel.com,https://www.chanel.com/tr/skincare/p/141480/le-gel-anti-pollution-cleansing-gel/,Turkey,,ANTI-POLLUTION CLEANSING GEL,,LE GEL,735 TRY,141480,
OutofStock,/tr/watches/premiere/c/4x2x2/,,aeid5473,aeid5473_chanel,2022-11-02 20:34:35.789449,https://www.chanel.com,https://www.chanel.com/tr/watches/p/H5251/premiere-camelia-skeleton/,Turkey,Black,White gold and diamonds,White gold,Première Camélia Skeleton,,H5251,
OutofStock,/tr/watches/boy-friend/c/4x2x3/,,aeid5473,aeid5473_chanel,2022-11-02 20:34:35.789449,https://www.chanel.com,https://www.chanel.com/tr/watches/p/H6674/boy-friend-watch/,Turkey,Silver,"Medium version, white gold and diamonds, alligator pattern calfskin strap",White gold,BOY·FRIEND Watch,,H6674,
OutofStock,/tr/watches/premiere/c/4x2x2/,,aeid5473,aeid5473_chanel,2022-11-02 20:34:35.789449,https://www.chanel.com,https://www.chanel.com/tr/watches/p/H2437/premiere-mini/,Turkey,Silver,White gold and diamonds,White gold,Première Mini,,H2437,
OutofStock,/tr/watches/premiere/c/4x2x2/,,aeid5473,aeid5473_chanel,2022-11-02 20:34:35.789449,https://www.chanel.com,https://www.chanel.com/tr/watches/p/H3260/premiere-jewellery-watch/,Turkey,Silver,"Large version, white gold and diamonds, black lacquer dial",White gold,Première Jewellery Watch,,H3260,
OutofStock,/tr/watches/j12/c/4x2x1/,,aeid5473,aeid5473_chanel,2022-11-02 20:34:35.789449,https://www.chanel.com,https://www.chanel.com/tr/watches/p/H4562/j12-skeleton-flying-tourbillon-watch-38-mm/,Turkey,Black,"White gold and matt black highly resistant ceramic, diamond bezel, openwork dial",White gold,"J12 Skeleton Flying Tourbillon Watch, 38 mm",,H4562,
OutofStock,/tr/eyewear/sunglasses/c/2x1x1/,,aeid5473,aeid5473_chanel,2022-11-02 20:34:35.789449,https://www.chanel.com,https://www.chanel.com/tr/eyewear/p/A71395X06081S621253QOCCI/butterfly-sunglasses-dark-blue/,Turkey,Dark Blue,"Dark Blue. Lenses: Blue, Gradient",Acetate & Metal,Butterfly Sunglasses,7 940 TRY,A71395X06081S621253QOCCI,"Alternative fit ,Standard fit "
OutofStock,/tr/eyewear/sunglasses/c/2x1x1/,,aeid5473,aeid5473_chanel,2022-11-02 20:34:35.789449,https://www.chanel.com,https://www.chanel.com/tr/eyewear/p/A71473X08101S266753NOCCI/rectangle-sunglasses-black-white/,Turkey,Black & White,Black & White. Lenses: Grey,Acetate,Rectangle Sunglasses,8 700 TRY,A71473X08101S266753NOCCI,"Alternative fit ,Standard fit "
OutofStock,/tr/watches/j12/c/4x2x1/,,aeid5473,aeid5473_chanel,2022-11-02 20:34:35.789449,https://www.chanel.com,https://www.chanel.com/tr/watches/p/H6500/j12-paradoxe-watch-calibre-12-1-38-mm/,Turkey,Black,"White gold and black highly resistant ceramic, diamond case, bezel and dial",Black ceramic,"J12 Paradoxe Watch Calibre 12.1, 38 mm",,H6500,
OutofStock,/tr/watches/j12/c/4x2x1/,,aeid5473,aeid5473_chanel,2022-11-02 20:34:35.789449,https://www.chanel.com,https://www.chanel.com/tr/watches/p/H7380/j12-diamond-tourbillon-watch-calibre-5-38-mm/,Turkey,Black,"Matte black highly resistant ceramic, openwork dial",Matte black ceramic,"J12 Diamond Tourbillon Watch Calibre 5, 38 mm",,H7380,
OutofStock,/tr/watches/j12/c/4x2x1/,,aeid5473,aeid5473_chanel,2022-11-02 20:34:35.789449,https://www.chanel.com,https://www.chanel.com/tr/watches/p/H3384/j12-jewellery-watch-38-mm/,Turkey,Silver,"Black highly resistant ceramic and white gold, baguette-cut diamond bezel and indicators",Black ceramic,"J12 Jewellery Watch, 38 mm",,H3384,
OutofStock,/tr/watches/j12/c/4x2x1/,,aeid5473,aeid5473_chanel,2022-11-02 20:34:35.789449,https://www.chanel.com,https://www.chanel.com/tr/watches/p/H2571/j12-watch-29-mm/,Turkey,Black,Black highly resistant ceramic and steel diamond bezel and indicators,Black ceramic,"J12 Watch, 29 mm",205 200 TRY,H2571,
OutofStock,/tr/eyewear/sunglasses/c/2x1x1/,,aeid5473,aeid5473_chanel,2022-11-02 20:34:35.789449,https://www.chanel.com,https://www.chanel.com/tr/eyewear/p/A71472X08101S726755MOCCI/square-sunglasses-black-blue/,Turkey,Black & Blue,Black & Blue. Lenses: Grey,Acetate,Square Sunglasses,8 700 TRY,A71472X08101S726755MOCCI,"Alternative fit ,Standard fit "
OutofStock,/tr/watches/premiere/c/4x2x2/,,aeid5473,aeid5473_chanel,2022-11-02 20:34:35.789449,https://www.chanel.com,https://www.chanel.com/tr/watches/p/H2032/premiere-mini/,Turkey,White,"White gold and pearls, dial set with diamonds",White gold,Première Mini,,H2032,
OutofStock,/tr/watches/j12/c/4x2x1/,,aeid5473,aeid5473_chanel,2022-11-02 20:34:35.789449,https://www.chanel.com,https://www.chanel.com/tr/watches/p/H7381/j12-diamond-tourbillon-watch-calibre-5-38-mm/,Turkey,Black,"Black highly resistant ceramic, diamond bezel, openwork dial",Black ceramic,"J12 Diamond Tourbillon watch Calibre 5, 38 mm",,H7381,
OutofStock,/tr/watches/j12/c/4x2x1/,,aeid5473,aeid5473_chanel,2022-11-02 20:34:35.789449,https://www.chanel.com,https://www.chanel.com/tr/watches/p/H6419/j12-watch-33-mm/,Turkey,Black,"Black highly resistant ceramic and steel, diamonds bezel and indicators",Black ceramic,"J12 Watch, 33 mm",225 000 TRY,H6419,
OutofStock,/tr/watches/j12/c/4x2x1/,,aeid5473,aeid5473_chanel,2022-11-02 20:34:35.789449,https://www.chanel.com,https://www.chanel.com/tr/watches/p/H0940/j12-chronograph-watch-41-mm/,Turkey,Silver,Black highly resistant ceramic and steel,Black ceramic,"J12 Chronograph Watch, 41 mm",185 400 TRY,H0940,
OutofStock,/tr/watches/j12/c/4x2x1/,,aeid5473,aeid5473_chanel,2022-11-02 20:34:35.789449,https://www.chanel.com,https://www.chanel.com/tr/watches/p/H5236/j12-xs-watch-19-mm/,Turkey,Silver,"Black highly resistant ceramic and steel, brilliant-cut diamond flange and bracelet",Black ceramic,"J12∙XS Watch, 19 mm",264 600 TRY,H5236,
OutofStock,/tr/watches/j12/c/4x2x1/,,aeid5473,aeid5473_chanel,2022-11-02 20:34:35.789449,https://www.chanel.com,https://www.chanel.com/tr/watches/p/H3101/j12-gmt-watch-41-mm/,Turkey,Silver,Matte black highly resistant ceramic and steel,Black ceramic,"J12 GMT Watch, 41 mm",158 400 TRY,H3101,
OutofStock,/tr/watches/j12/c/4x2x1/,,aeid5473,aeid5473_chanel,2022-11-02 20:34:35.789449,https://www.chanel.com,https://www.chanel.com/tr/watches/p/H4872/j12-xs-watch-19-mm/,Turkey,Silver,"Black leather gloves, black highly resistant ceramic and steel, diamond flange and loops",Black ceramic,"J12·XS Watch, 19 mm",136 800 TRY,H4872,
OutofStock,/tr/watches/j12/c/4x2x1/,,aeid5473,aeid5473_chanel,2022-11-02 20:34:35.789449,https://www.chanel.com,https://www.chanel.com/tr/watches/p/H4663/j12-xs-watch-19-mm/,Turkey,Silver,"Small black leather cuff, black highly resistant ceramic and steel, diamond flange",Black ceramic,"J12·XS Watch, 19 mm",93 600 TRY,H4663,
OutofStock,/tr/watches/boy-friend/c/4x2x3/,,aeid5473,aeid5473_chanel,2022-11-02 20:34:35.789449,https://www.chanel.com,https://www.chanel.com/tr/watches/p/H6586/boy-friend-watch/,Turkey,Silver,"Small version, steel and diamonds, quilted pattern calfskin strap and second strap included",Steel,BOY·FRIEND Watch,144 900 TRY,H6586,
OutofStock,/tr/watches/boy-friend/c/4x2x3/,,aeid5473,aeid5473_chanel,2022-11-02 20:34:35.789449,https://www.chanel.com,https://www.chanel.com/tr/watches/p/H7470/boy-friend-wanted-de-chanel-watch/,Turkey,Silver,"Medium version, steel, black satin-effect calfskin strap with CHANEL letters",Steel,BOY·FRIEND WANTED de CHANEL Watch,106 200 TRY,H7470,
OutofStock,/tr/watches/j12/c/4x2x1/,,aeid5473,aeid5473_chanel,2022-11-02 20:34:35.789449,https://www.chanel.com,https://www.chanel.com/tr/watches/p/H4665/j12-xs-watch-19-mm/,Turkey,Black,"Large black leather cuff, black highly resistant ceramic and steel, diamond flange and loops",Black ceramic,"J12·XS Watch, 19 mm",156 600 TRY,H4665,
