Availability,Context_Identifier,Execution_Id,Feed_Code,Record_Create_By,Record_Create_Date,Site,Source,Source_Country,color,description,material,name,price,product_id,size
OutofStock,/gb/watches/monsieur/c/4x2x6/,,aeid5473,aeid5473_chanel,2022-11-02 20:08:39.605669,https://www.chanel.com,https://www.chanel.com/gb/watches/p/H6672/monsieur-watch/,UK,Black,"White gold, opaline dial with jumping hour and 240° retrograde minute",White gold,Monsieur Watch,"£37,500",H6672,
OutofStock,/gb/makeup/lips/c/5x1x1/,,aeid5473,aeid5473_chanel,2022-11-02 20:08:39.605669,https://www.chanel.com,https://www.chanel.com/gb/makeup/p/145385/n1-de-chanel-lip-and-cheek-balm-enhances-colour-nourishes-plumps/,UK,,ENHANCES COLOUR - NOURISHES - PLUMPS,,N°1 DE CHANEL LIP AND CHEEK BALM,£38,145385,
OutofStock,/gb/watches/monsieur/c/4x2x6/,,aeid5473,aeid5473_chanel,2022-11-02 20:08:39.605669,https://www.chanel.com,https://www.chanel.com/gb/watches/p/H6596/monsieur-watch/,UK,Beige,"BEIGE GOLD, opaline dial with jumping hour and 240° retrograde minute",BEIGE GOLD,Monsieur Watch,"£40,000",H6596,
OutofStock,/gb/watches/monsieur/c/4x2x6/,,aeid5473,aeid5473_chanel,2022-11-02 20:08:39.605669,https://www.chanel.com,https://www.chanel.com/gb/watches/p/H6823/monsieur-superleggera-edition-watch/,UK,Black,"Matte black highly resistant ceramic and steel, matte black guilloché type dial with jumping hour and 240° retrograde minute",Matte black ceramic,Monsieur. Superleggera Edition Watch,"£36,000",H6823,
OutofStock,/gb/watches/monsieur/c/4x2x6/,,aeid5473,aeid5473_chanel,2022-11-02 20:08:39.605669,https://www.chanel.com,https://www.chanel.com/gb/watches/p/H6216/monsieur-marble-edition-watch/,UK,Black,"Matte black highly resistant ceramic and steel, black marble dial with jumping hour and 240° retrograde minute",Matte black ceramic,Monsieur. Marble Edition Watch,"£29,500",H6216,
OutofStock,/gb/makeup/complexion/c/5x1x6/,,aeid5473,aeid5473_chanel,2022-11-02 20:08:39.605669,https://www.chanel.com,https://www.chanel.com/gb/makeup/p/172712/ultra-le-teint-ultrawear-allday-comfort-flawless-finish-compact-foundation/,UK,B10,ULTRAWEAR – ALL–DAY COMFORT FLAWLESS FINISH COMPACT FOUNDATION,,ULTRA LE TEINT,£47,172712,
OutofStock,/gb/watches/premiere/c/4x2x2/,,aeid5473,aeid5473_chanel,2022-11-02 20:08:39.605669,https://www.chanel.com,https://www.chanel.com/gb/watches/p/3599594031172/premiere-gourmette-chain-watch/,UK,,"Small version, steel, white mother-of-pearl dial","Steel,Mother-of-pearl",Première Gourmette Chain Watch,"£3,720"," H3249, 3599594031172",22 x 16 x 6.2 mm
InStock,/gb/fragrance/bath-and-body/c/7x1x7/,,aeid5473,aeid5473_chanel,2022-11-02 20:08:39.605669,https://www.chanel.com,https://www.chanel.com/gb/fragrance/p/116965/coco-mademoiselle-foaming-shower-gel/,UK,,FOAMING SHOWER GEL,,COCO MADEMOISELLE,£45,116965,
InStock,/gb/fine-jewellery/coco-crush/c/3x2x5/,,aeid5473,aeid5473_chanel,2022-11-02 20:08:39.605669,https://www.chanel.com,https://www.chanel.com/gb/fine-jewellery/p/J11785/coco-crush-ring/,UK,Beige,"Quilted motif, 18K BEIGE GOLD. Mini version.",BEIGE GOLD,Coco Crush ring,"£1,410",J11785,"45 ,46 ,47 ,48 ,49 ,50 ,51 ,52 ,53 ,54 ,55 ,56 ,57 ,58 ,59 ,60 ,61 ,62 ,63 ,64 "
InStock,/gb/makeup/brushes-and-accessories/c/5x1x3/,,aeid5473,aeid5473_chanel,2022-11-02 20:08:39.605669,https://www.chanel.com,https://www.chanel.com/gb/makeup/p/138841/pinceau-estompe-teint-n102-fluid-foundation-blending-brush/,UK,,FLUID FOUNDATION-BLENDING BRUSH,,PINCEAU ESTOMPE TEINT N°102 ,£42,138841,
OutofStock,/gb/makeup/brushes-and-accessories/c/5x1x3/,,aeid5473,aeid5473_chanel,2022-11-02 20:08:39.605669,https://www.chanel.com,https://www.chanel.com/gb/makeup/p/138842/pinceau-teint-2-en-1-fluide-et-poudre-n101-fluid-and-powder-foundation-brush/,UK,,FLUID AND POWDER FOUNDATION BRUSH,,PINCEAU TEINT 2 EN 1 - FLUIDE ET POUDRE N°101 ,£42,138842,
OutofStock,/gb/watches/code-coco/c/4x2x8/,,aeid5473,aeid5473_chanel,2022-11-02 20:08:39.605669,https://www.chanel.com,https://www.chanel.com/gb/watches/p/3599594142687/code-coco-watch/,UK,,"Black highly resistant ceramic, steel and diamonds","Steel,Black ceramic,Diamond",CODE COCO watch,"£14,200"," H6027, 3599594142687",38.1 x 21.5 x 7.8 mm
OutofStock,/gb/watches/code-coco/c/4x2x8/,,aeid5473,aeid5473_chanel,2022-11-02 20:08:39.605669,https://www.chanel.com,https://www.chanel.com/gb/watches/p/3599594133111/code-coco-watch/,UK,,Steel and diamonds,"Steel,Diamond",CODE COCO watch,"£13,200"," H5812, 3599594133111",38.1 x 21.5 x 7.8 mm
InStock,/gb/makeup/eyes/c/5x1x4/,,aeid5473,aeid5473_chanel,2022-11-02 20:08:39.605669,https://www.chanel.com,https://www.chanel.com/gb/makeup/p/184189/les-beiges-eyeshadow-palette-healthy-glow-natural-eyeshadow-palette/,UK,WARM,HEALTHY GLOW NATURAL EYESHADOW PALETTE,,LES BEIGES EYESHADOW PALETTE,£50,184189,
InStock,/gb/makeup/brushes-and-accessories/c/5x1x3/,,aeid5473,aeid5473_chanel,2022-11-02 20:08:39.605669,https://www.chanel.com,https://www.chanel.com/gb/makeup/p/138844/angled-eyeliner-brush-n206-powder-and-cream-eyeliner-brush/,UK,,POWDER AND CREAM EYELINER BRUSH,,ANGLED EYELINER BRUSH N°206,£24,138844,
InStock,/gb/makeup/complexion/c/5x1x6/,,aeid5473,aeid5473_chanel,2022-11-02 20:08:39.605669,https://www.chanel.com,https://www.chanel.com/gb/makeup/p/132210/poudre-universelle-libre-natural-finish-loose-powder/,UK,10,NATURAL FINISH LOOSE POWDER,,POUDRE UNIVERSELLE LIBRE,£44,132210,
InStock,/gb/makeup/brushes-and-accessories/c/5x1x3/,,aeid5473,aeid5473_chanel,2022-11-02 20:08:39.605669,https://www.chanel.com,https://www.chanel.com/gb/makeup/p/138843/pinceau-eyeliner-n205-cream-eyeliner-brush/,UK,,CREAM EYELINER BRUSH,,PINCEAU EYELINER N°205,£24,138843,
InStock,/gb/eyewear/optical/c/2x1x2/,,aeid5473,aeid5473_chanel,2022-11-02 20:08:39.605669,https://www.chanel.com,https://www.chanel.com/gb/eyewear/p/A75261X01982V326254MUNI/pilot-eyeglasses-silver-white/,UK,Silver & White,Silver & White,Metal & Calfskin,Pilot Eyeglasses,£510,A75261X01982V326254MUNI,"Large (54 mm) ,Large (56 mm) "
InStock,/gb/makeup/complexion/c/5x1x6/,,aeid5473,aeid5473_chanel,2022-11-02 20:08:39.605669,https://www.chanel.com,https://www.chanel.com/gb/skincare/p/144270/sublimage-le-soin-perfecteur-ultimate-radiance-enhancing-priming-moisturiser/,UK,,ULTIMATE RADIANCE-ENHANCING PRIMING MOISTURISER,,SUBLIMAGE LE SOIN PERFECTEUR,£212,144270,
InStock,/gb/makeup/nails/c/5x1x7/,,aeid5473,aeid5473_chanel,2022-11-02 20:08:39.605669,https://www.chanel.com,https://www.chanel.com/gb/makeup/p/158350/le-gel-coat-longwear-top-coat/,UK,,LONGWEAR TOP COAT,,LE GEL COAT,£25,158350,
OutofStock,/gb/skincare/protection/c/6x1x6/,,aeid5473,aeid5473_chanel,2022-11-02 20:08:39.605669,https://www.chanel.com,https://www.chanel.com/gb/skincare/p/140565/cc-cream-super-active-complete-correction-spf-50/,UK,,SUPER ACTIVE COMPLETE CORRECTION SPF 50,,CC CREAM,£50,140565,
InStock,/gb/makeup/complexion/c/5x1x6/,,aeid5473,aeid5473_chanel,2022-11-02 20:08:39.605669,https://www.chanel.com,https://www.chanel.com/gb/makeup/p/144930/la-base-illuminatrice-glowing-makeup-primer-moisturizing-plumping/,UK,,GLOWING MAKEUP PRIMER MOISTURIZING-PLUMPING,,LA BASE ILLUMINATRICE,£43,144930,
InStock,/gb/makeup/nails/c/5x1x7/,,aeid5473,aeid5473_chanel,2022-11-02 20:08:39.605669,https://www.chanel.com,https://www.chanel.com/gb/makeup/p/158350/le-gel-coat-longwear-top-coat/,UK,,LONGWEAR TOP COAT,,LE GEL COAT,£25,158350,
InStock,/gb/fragrance/bath-and-body/c/7x1x7/,,aeid5473,aeid5473_chanel,2022-11-02 20:08:39.605669,https://www.chanel.com,https://www.chanel.com/gb/fragrance/p/124700/platinum-egoiste-deodorant-stick/,UK,,DEODORANT STICK,,PLATINUM ÉGOÏSTE,£35,124700,
InStock,/gb/watches/j12/c/4x2x1/,,aeid5473,aeid5473_chanel,2022-11-02 20:08:39.605669,https://www.chanel.com,https://www.chanel.com/gb/watches/p/3599594131117/j12-watch-calibre-12-1-38-mm/,UK,,"Black highly resistant ceramic and steel, diamond indicators","Black ceramic,Steel,Diamond","J12 Watch Calibre 12.1, 38 mm","£8,100"," H5702, 3599594131117",38 x 12.6 mm
InStock,/gb/fragrance/bath-and-body/c/7x1x7/,,aeid5473,aeid5473_chanel,2022-11-02 20:08:39.605669,https://www.chanel.com,https://www.chanel.com/gb/fragrance/p/118700/antaeus-deodorant-stick/,UK,,DEODORANT STICK,,ANTAEUS,£35,118700,
InStock,/gb/fragrance/men/c/7x1x2/,,aeid5473,aeid5473_chanel,2022-11-02 20:08:39.605669,https://www.chanel.com,https://www.chanel.com/gb/fragrance/p/123250/allure-homme-sport-after-shave-moisturiser/,UK,,AFTER SHAVE MOISTURISER,,ALLURE HOMME SPORT,£45,123250,
InStock,/gb/watches/j12/c/4x2x1/,,aeid5473,aeid5473_chanel,2022-11-02 20:08:39.605669,https://www.chanel.com,https://www.chanel.com/gb/watches/p/3599594147446/j12-phantom-watch-calibre-12-1-38-mm/,UK,,Black highly resistant ceramic and steel,"Black ceramic,Steel","J12 Phantom Watch Calibre 12.1, 38 mm","£7,200"," H6185, 3599594147446",38 x 12.6 mm
InStock,/gb/fragrance/men/c/7x1x2/,,aeid5473,aeid5473_chanel,2022-11-02 20:08:39.605669,https://www.chanel.com,https://www.chanel.com/gb/fragrance/p/123070/allure-homme-sport-after-shave-lotion/,UK,,AFTER SHAVE LOTION,,ALLURE HOMME SPORT,£52,123070,
