Availability,Context_Identifier,Execution_Id,Feed_Code,Record_Create_By,Record_Create_Date,Site,Source,Source_Country,color,description,material,name,price,product_id,size
OutofStock,/vn/nuoc-hoa/nu-gioi/c/7x1x1/,,aeid5473,aeid5473_chanel,2022-11-03 23:59:42.437083,https://www.chanel.com,https://www.chanel.com/vn/nuoc-hoa/p/125530/n5-eau-de-parfum-dang-xit/,Vietnam,,EAU DE PARFUM DẠNG XỊT,,N°5,,125530,"100 ml ,50 ml "
OutofStock,/vn/nuoc-hoa/nu-gioi/c/7x1x1/,,aeid5473,aeid5473_chanel,2022-11-03 23:59:42.437083,https://www.chanel.com,https://www.chanel.com/vn/nuoc-hoa/p/105720/n5-kem-duong-the/,Vietnam,,KEM DƯỠNG THỂ,,N°5,,105720,
OutofStock,/vn/nuoc-hoa/nu-gioi/c/7x1x1/,,aeid5473,aeid5473_chanel,2022-11-03 23:59:42.437083,https://www.chanel.com,https://www.chanel.com/vn/nuoc-hoa/p/105790/n5-nuoc-hoa-cho-toc/,Vietnam,,NƯỚC HOA CHO TÓC,,N°5,,105790,
OutofStock,/vn/nuoc-hoa/san-pham-phong-tam-cham-soc-co-the/c/7x1x7/,,aeid5473,aeid5473_chanel,2022-11-03 23:59:42.437083,https://www.chanel.com,https://www.chanel.com/vn/nuoc-hoa/p/105590/n5-leau-xit-toan-than/,Vietnam,,XỊT TOÀN THÂN,,N°5 L’EAU,,105590,
OutofStock,/vn/nuoc-hoa/san-pham-phong-tam-cham-soc-co-the/c/7x1x7/,,aeid5473,aeid5473_chanel,2022-11-03 23:59:42.437083,https://www.chanel.com,https://www.chanel.com/vn/nuoc-hoa/p/105640/n5-leau-sua-duong-the/,Vietnam,,SỮA DƯỠNG THỂ,,N°5 L’EAU,,105640,
OutofStock,/vn/nuoc-hoa/nu-gioi/c/7x1x1/,,aeid5473,aeid5473_chanel,2022-11-03 23:59:42.437083,https://www.chanel.com,https://www.chanel.com/vn/nuoc-hoa/p/105740/n5-sua-duong-the/,Vietnam,,SỮA DƯỠNG THỂ,,N°5,,105740,
OutofStock,/vn/trang-diem/moi/c/5x1x1/,,aeid5473,aeid5473_chanel,2022-11-03 23:59:42.437083,https://www.chanel.com,https://www.chanel.com/vn/trang-diem/p/145385/n1-de-chanel-lip-and-cheek-balm-len-mau-rang-ro-nuoi-duong-cang-mong/,Vietnam,,LÊN MÀU RẠNG RỠ - NUÔI DƯỠNG – CĂNG MỌNG,,N°1 DE CHANEL LIP AND CHEEK BALM,,145385,
OutofStock,/vn/trang-diem/moi/c/5x1x1/,,aeid5473,aeid5473_chanel,2022-11-03 23:59:42.437083,https://www.chanel.com,https://www.chanel.com/vn/trang-diem/p/171918/rouge-coco-baume-su-dung-deu-dan-son-duong-moi-co-mau-voi-sac-do-co-the-dieu-chinh-theo-y-thich-de-so-huu-doi-moi-mem-mai-va-dep-hon/,Vietnam,918 - MY ROSE,SỬ DỤNG ĐỀU ĐẶN SON DƯỠNG MÔI CÓ MÀU VỚI SẮC ĐỘ CÓ THỂ ĐIỀU CHỈNH THEO Ý THÍCH ĐỂ SỞ HỮU ĐÔI MÔI MỀM MẠI VÀ ĐẸP HƠN,,ROUGE COCO BAUME,,171918,
OutofStock,/vn/nuoc-hoa/san-pham-phong-tam-cham-soc-co-the/c/7x1x7/,,aeid5473,aeid5473_chanel,2022-11-03 23:59:42.437083,https://www.chanel.com,https://www.chanel.com/vn/nuoc-hoa/p/105748/n5-sua-duong-the-n5/,Vietnam,,SỮA DƯỠNG THỂ N°5,,N°5,,105748,
OutofStock,/vn/trang-suc/camelia/c/3x2x1/,,aeid5473,aeid5473_chanel,2022-11-03 23:59:42.437083,https://www.chanel.com,https://www.chanel.com/vn/trang-suc/p/J12037/day-chuyen-bouton-de-camelia/,Vietnam,Vàng,"Vàng vàng 18K, đính kim cương",Vàng vàng,Dây chuyền Bouton de Camélia,VND 172 380 000,J12037,
OutofStock,/vn/cham-soc-da/serum/c/6x1x3/,,aeid5473,aeid5473_chanel,2022-11-03 23:59:42.437083,https://www.chanel.com,https://www.chanel.com/vn/cham-soc-da/p/144460/sublimage-lextrait-de-nuit-tinh-chat-tai-tao-va-phuc-hoi-ban-dem/,Vietnam,,TINH CHẤT TÁI TẠO VÀ PHỤC HỒI BAN ĐÊM,,SUBLIMAGE L’EXTRAIT DE NUIT,,144460,
OutofStock,/vn/trang-suc/camelia/c/3x2x1/,,aeid5473,aeid5473_chanel,2022-11-03 23:59:42.437083,https://www.chanel.com,https://www.chanel.com/vn/trang-suc/p/J11660/day-chuyen-extrait-de-camelia/,Vietnam,Hồng,"Vàng hồng 18K, đính kim cương",Vàng hồng,Dây chuyền Extrait de Camélia,VND 75 850 000,J11660,
OutofStock,/vn/trang-suc/camelia/c/3x2x1/,,aeid5473,aeid5473_chanel,2022-11-03 23:59:42.437083,https://www.chanel.com,https://www.chanel.com/vn/trang-suc/p/J12065/vong-tay-bouton-de-camelia/,Vietnam,Trắng,"Vàng trắng 18K, đính kim cương",Vàng trắng,Vòng tay Bouton de Camélia,VND 641 770 000,J12065,
OutofStock,/vn/mat-kinh/mat-kinh/c/2x1x2/,,aeid5473,aeid5473_chanel,2022-11-03 23:59:42.437083,https://www.chanel.com,https://www.chanel.com/vn/mat-kinh/p/A75192X01060V339547RUNI/mat-kinh-dang-tron-vang-anh-kim/,Vietnam,Vàng ánh kim,Vàng ánh kim,Kim loại,Mắt kính dáng tròn,,A75192X01060V339547RUNI,"Nhỏ (47 mm) ,Trung bình (51 mm) ,Lớn (53 mm) "
OutofStock,/vn/mat-kinh/kinh-mat/c/2x1x1/,,aeid5473,aeid5473_chanel,2022-11-03 23:59:42.437083,https://www.chanel.com,https://www.chanel.com/vn/mat-kinh/p/A71485X02123S881254MOCCI/kinh-mat-dang-vuong-den/,Vietnam,Đen,Đen. Tròng kính: Trong suốt,Acetate & Calfskin,Kính mát dáng vuông,VND 11 680 000,A71485X02123S881254MOCCI,"Ve kính khác ,Ve kính tiêu chuẩn "
